"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Waste heat recovery for fuel cell electric vehicle with thermochemical energy storage","M. Nasri; I. Bürger; S. Michael; H. E. Friedrich","German Aerospace Center (DLR), Pfaffenwaldring 38-40, 70569 Stuttgart, Germany; German Aerospace Center (DLR), Pfaffenwaldring 38-40, 70569 Stuttgart, Germany; German Aerospace Center (DLR), Pfaffenwaldring 38-40, 70569 Stuttgart, Germany; German Aerospace Center (DLR), Pfaffenwaldring 38-40, 70569 Stuttgart, Germany","2016 Eleventh International Conference on Ecological Vehicles and Renewable Energies (EVER)","","2016","","","1","6","In this paper, different waste heat recovery concepts for a high temperature fuel cell range extender vehicle developed by the DLR Institute of Vehicle Concepts will be presented. These concepts use thermochemical heat storages to recover thermal energy from the powertrain waste heat and to re-use it for heating purpose before or during the drive. The focus will be on metal hydride storages, which have a higher specific energy density than the phase change energy storages and will thus be more advantageous for vehicle application. In order to investigate the developed waste heat recovery concepts in the entire vehicle, appropriate simulation models will be created in the simulation environment Modelica/Dymola, then integrated into an overall vehicle simulation model. It is found that the integration of the thermochemical heat storages into the fuel cell thermal management system leads to increase the range by up to 17 %.","","978-1-5090-2464-3978-1-5090-2463","10.1109/EVER.2016.7476439","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7476439","waste heat recovery;energy storage;fuel cell vehicle;thermochemical system;powertrain;thermal management","Heating;Fuels;Heat pumps;Vehicles;Magnetic circuits;Magnetoelectric effects;Waste heat","fuel cell vehicles;heat recovery;thermal energy storage;thermal management (packaging);waste heat;waste recovery","waste heat recovery;fuel cell electric vehicle;thermochemical energy storage;thermochemical heat storages;powertrain waste heat;metal hydride storages;energy density;phase change energy storages;Modelica;Dymola;vehicle simulation model;fuel cell thermal management system","","4","","7","","","","","IEEE","IEEE Conferences"
"Performance evaluation of a vehicle traction drive based on a Permanent Magnet synchronous motor equipped with a mechanical flux weakening device","N. Barbini; M. Bortolozzi; A. Tessarolo","Engineering and Architecture Department, University of Trieste, 34127, Italy; Engineering and Architecture Department, University of Trieste, 34127, Italy; Engineering and Architecture Department, University of Trieste, 34127, Italy","2016 Eleventh International Conference on Ecological Vehicles and Renewable Energies (EVER)","","2016","","","1","6","In permanent-magnet motors used for vehicle traction application a well-known problem is the need to weaken the flux at high speeds. This is generally done by injecting a suitable demagnetizing current along the d axis. An alternative method has been recently proposed by the authors based on an Interior-Permanent-Magnet (IPM) synchronous motor equipped with a mechanical device which activates at high speeds by centrifugal force causing a significant reduction in the permanent magnet flux with no need for injecting d-axis stator currents. The performance of a road vehicle traction drive employing this machine under a maximum-torque-per-ampere control is investigated in this paper assuming a typical driving cycle. It is shown that remarkable benefits can be achieved in terms of energy saving, overload capability enhancement and speed range extension potential.","","978-1-5090-2464-3978-1-5090-2463","10.1109/EVER.2016.7476372","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7476372","Automotive;efficiency improvement;ecological vehicles;flux weakening;speed range extension;permanent magnet motor;spoke-type motor;vehicle traction","Vehicles;Mobile communication;Rotors;Permanent magnet motors;Gears;Performance evaluation;Permanent magnets","performance evaluation;permanent magnet motors;road vehicles;stators;synchronous motor drives;traction","performance evaluation;vehicle traction drive;mechanical flux weakening device;demagnetizing current;interior-permanent-magnet synchronous motor;centrifugal force;permanent magnet flux;road vehicle traction drive;maximum-torque-per-ampere control;driving cycle;energy saving;overload capability enhancement","","","","4","","","","","IEEE","IEEE Conferences"
"Control optimization for increasing energy performance of existing buildings","B. Onose","Icpe SA, Splaiul Unirii 313, Bucharest, Romania","2016 Eleventh International Conference on Ecological Vehicles and Renewable Energies (EVER)","","2016","","","1","4","This paper presents the objective of the Energy IN TIME (EiT) project of developing more advanced control method for existing non-residential buildings. This approach will be based on advanced building simulation models to reduce the energy consumption and energy bill. The project methodology will cover the most accurate and up to date international standards for energy efficiency. A simulation reference models will be developed with both forecasted and real time data type: external (climate, energy tariffs), internal data (status, equipment, occupancy) and user behavior data. A continuous commissioning strategy will be develop to better cope with the deviations between operational plans and real operation of the building, together with a fault detection and diagnostic system, designed for overall system robustness and evaluating faulty operation scenarios. The project goes beyond existing building control techniques by implementing a prediction system for indoor comfort conditions and used behavior performance to further improve energy efficiency and equipment lifetime. This approach will allow the reduction of system inefficiencies and therefore will contribute significantly to improve building end-user comfort. EiT will centralize the remote control of different buildings in an automatic process and validate the solution in four different locations in Europe, with different climate typologies.","","978-1-5090-2464-3978-1-5090-2463","10.1109/EVER.2016.7476400","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7476400","building energy management system;energy efficiency;energy management;control optimization;energy performance;building simulation;commissioning;fault diagnostic system","Predictive models;Vehicles;Robustness;Buildings;Maintenance engineering","building management systems;buildings (structures);energy conservation;energy consumption;fault diagnosis;optimisation","advanced control method;advanced building simulation models;energy consumption;energy bill;energy efficiency;fault detection;diagnostic system;indoor comfort conditions","","","","9","","","","","IEEE","IEEE Conferences"
"Improvement of the back-EMF production capability of a hybrid-excited CPA","D. Elloumi; A. Ibala; R. Rebhi; A. Masmoudi","Research Laboratory on Renewable Energies and Electric Vehicles, Sfax Engineering School, Tunisia; Research Laboratory on Renewable Energies and Electric Vehicles, Sfax Engineering School, Tunisia; Research Laboratory on Renewable Energies and Electric Vehicles, Sfax Engineering School, Tunisia; Research Laboratory on Renewable Energies and Electric Vehicles, Sfax Engineering School, Tunisia","2016 Eleventh International Conference on Ecological Vehicles and Renewable Energies (EVER)","","2016","","","1","6","The paper is devoted to the improvement of the back-EMF production capability of a hybrid-excited claw pole alternator (HECPA) which has been introduced in a previous work. The concept was equipped by ferrite PMs in both stator and rotor. The improvement of the back-EMF production capability is gained thanks to the substitution of the ferrite PM linked to the rotor by a rare earth one. The study is initiated by the description of the HECPA concept and the analysis of the no-load flux paths generated by the rotor excitation and the stator ones. The investigation of the influence of the rotor PM substitution on the HECPA no-load features is carried out by a variable position magnetic equivalent circuit (MEC) whose results are validated by 3D finite element analysis (FEA).","","978-1-5090-2464-3978-1-5090-2463","10.1109/EVER.2016.7476414","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7476414","Hybrid-excited claw pole alternator;magnetic equivalent circuit;finite element analysis;rotor position;leakage flux;saturation;no-load features","Stators;Rotors;Topology;Reliability;DH-HEMTs;Magnetic fields","alternators;equivalent circuits;finite element analysis","back-EMF production capability;hybrid-excited CPA;hybrid-excited claw pole alternator;HECPA;no-load flux paths;rotor excitation;rotor PM substitution;magnetic equivalent circuit;MEC;3D finite element analysis;FEA","","1","","8","","","","","IEEE","IEEE Conferences"
"Mathematical modelling of the Marsh Funnel for measuring rheological properties of drilling nanofluids for energy efficient environment","A. Sedaghat; M. A. A. Omar; S. Damrah; M. Gaith","School of Engineering, Australian College of Kuwait, P.O. Box 1411, Safat 13015, Kuwait; School of Engineering, Australian College of Kuwait, P.O. Box 1411, Safat 13015, Kuwait; School of Engineering, Australian College of Kuwait, P.O. Box 1411, Safat 13015, Kuwait; School of Engineering, Australian College of Kuwait, P.O. Box 1411, Safat 13015, Kuwait","2016 Eleventh International Conference on Ecological Vehicles and Renewable Energies (EVER)","","2016","","","1","4","The oil and gas industry has recognized the use of nanofluids for improving production rates and also reducing energy demands. Nanofluids function in oil well drilling is to modify rheological and heat transfer properties of the base fluid. Skin friction is reduced by nanofluids which in turn reduces drilling torque and the corresponding power consumption. This also mitigates wear on drilling equipments. The lubrication effects of nanofluids are achieved through enhanced surface energy absorption and ball bearing effects. Marsh Funnel is the practical method to measure viscosity of the drilling fluids with or without nanoparticles. The discharge time is the only measured parameter during operation. In this study, a new mathematical model is introduced for determining discharge flow rate of the Marsh Funnel. Results of the present method are validated against some available experimental data for Newtonian fluids. The present method can be equally applied for nanofluids. Marsh funnel volume discharge rate and the corresponding time are two important measureable parameters that can be used to determine different rheological parameters of nanofluids. The oil well drilling nanolubricants may be promising in an energy efficient operational environment.","","978-1-5090-2464-3978-1-5090-2463","10.1109/EVER.2016.7476401","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7476401","drilling fluids;Marsh Funnel;Newtonian fluid;rheological properties;sustainability","Energy measurement;Volume measurement;Time measurement;Adaptation models;Lubrication;Viscosity","drilling (geotechnical);energy conservation;friction;gas industry;heat transfer;mathematical analysis;nanofluidics;petroleum industry;power consumption;rheology;viscosity","mathematical modelling;Marsh funnel;rheological properties;drilling nanofluids;energy efficient environment;gas industry;oil industry;production rates;nanofluids function;heat transfer properties;drilling torque;power consumption;drilling equipments;wear;surface energy absorption;ball bearing effects;drilling fluids;discharge flow;Newtonian fluids;rheological parameters;oil well drilling nanolubricants;energy efficient operational environment","","","","14","","","","","IEEE","IEEE Conferences"
"On the sizing of the PM excitation of a hybrid claw pole alternator","A. Ibala; A. Masmoudi","Research Laboratory on Renewable Energies and Electric Vehicles, Sfax Engineering School, Tunisia; Research Laboratory on Renewable Energies and Electric Vehicles, Sfax Engineering School, Tunisia","2016 Eleventh International Conference on Ecological Vehicles and Renewable Energies (EVER)","","2016","","","1","6","The paper is devoted to a 3D-finite element analysis (FEA) of a hybrid-excited claw pole alternator (HECPA) with emphasis on the sizing of the permanent magnet (PM) excitation and it effect on the back-EMF production capability and eddy current loss. The HECPA is equipped by three sources of excitation : (i) a toroidal field in the stator, (ii) a NdFeB PM in the rotor and (iii) two lateral ferrite PMs mounted on the magnetic collector. The study is initiated by the description of the topology of the HECPA. Then, an analysis of the flux paths through the magnetic circuit is carried out, prior an investigating by 3D FEA of the effects on the PMs widths on the back-EMF production capability as well as on the eddy current loss. The study is achieved by the a 3D FEA-based computation of the features of the HECPA with optimized PM excitation.","","978-1-5090-2464-3978-1-5090-2463","10.1109/EVER.2016.7476417","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7476417","Hybrid-excited claw pole alternator;sizing;PM excitation;3D flux paths;3D finite element analysis;back-EMF;iron loss","Rotors;Stator windings;Harmonic analysis;Eddy currents;Iron;Solids","alternators;eddy current losses;finite element analysis;magnetic circuits;magnetic flux;permanent magnet machines;rotors;stators","magnetic circuit;flux path analysis;HECPA topology;magnetic collector;lateral ferrite PM;rotor;stator;NdFeB PM;toroidal field;eddy current loss;back-EMF production capability;permanent magnet excitation sizing;hybrid-excited claw pole alternator;3D FEA;3D-finite element analysis;hybrid claw pole alternator PM excitation sizing","","1","","14","","","","","IEEE","IEEE Conferences"
"Study on energy ratio of switched reluctance motor drive based on open loop, CCC and DITC","Y. Hu; W. Ding","School of Electrical Engineering, Xi'an Jiaotong University, Shaanxi, 710049, China; School of Electrical Engineering, Xi'an Jiaotong University, Shaanxi, 710049, China","2016 Eleventh International Conference on Ecological Vehicles and Renewable Energies (EVER)","","2016","","","1","6","The purpose of this paper is to investigate a parameter-energy ratio (ER) to assess the `quality' of a switched reluctance motor drive (SRD). Definition and mathematical expression are shown firstly based on the energy conversion theory of electrical machineries. It is compared and analyzed that the effect on energy conversion caused by freewheeling current state in asymmetric half-bridge power converter. According to simulations of ψ-i trajectory on a SRM with 3-phase and 6/4 poles, the influential factors are then discussed by calculating the ERs of three different control strategies-open loop, current chopping control (CCC) and direct instantaneous torque control (DITC). An experimental platform is finally developed and the measured results show a tolerable agreement with simulations, which accounts for that the returnable state when two switches of a phase are turned off and a longer conduction time will reduce ER.","","978-1-5090-2464-3978-1-5090-2463","10.1109/EVER.2016.7476344","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7476344","switched reluctance motor;energy ratio;asymmetric half-bridge power converter;current chopping control;direct instantaneous torque control","Switches;Stators;Erbium;Switching circuits;Phase measurement;Quantum cascade lasers","electric current control;machine control;mathematical analysis;power convertors;reluctance motor drives;torque control","direct instantaneous torque control;open loop;current chopping control;IfI-i trajectory;asymmetric half-bridge power converter;energy conversion;freewheeling current state;characteristics of SRM also show that the electrical energy, absorbed;energy conversion theory;mathematical expression;parameter--energy ratio;DITC;CCC;open loop;switched reluctance motor drive;energy ratio","","","","14","","","","","IEEE","IEEE Conferences"
"Investigation of a concentrating photovoltaic thermal collector (CPVT) system","S. Haddad; K. Touafek; I. Tabet; Y. Amirat","Laboratoire de génie mécanique et matériaux LGMM, Université 20 août 1955 Skikda, 21000, Algeria; Unité de Recherche Appliquée en Energies Renouvelables URAER, Centre de Développement des Energies Renouvelables, CDER, 47133, Ghardaïa, Algeria; Unité de Recherche Appliquée en Energies Renouvelables URAER, Centre de Développement des Energies Renouvelables, CDER, 47133, Ghardaïa, Algeria; Ecole d'ingénieurs ISEN-Bretagne, 20 rue Cuirassé Bretagne, 29228 Brest Cedex 2, France","2016 Eleventh International Conference on Ecological Vehicles and Renewable Energies (EVER)","","2016","","","1","6","The overall problem with the use of photovoltaic (PV) system is the high cost of solar cells. This makes it attractive to concentrate irradiation on the PV module. With increased light concentration, there will be a demand for increased cooling of the PV cells in order to lower the working temperature. Hybrid photovoltaic/thermal (PVT) solar systems are less expensive devices than the two separate units which can simultaneously provide electricity and heat with higher conversion rates of the absorbed solar radiation than standard PV modules. In this paper, an investigation of a concentrating photovoltaic/thermal air collector realized at Renewable Research unit (UREAR Ghardaïa) in the south of Algeria is presented. The experimental study includes a comparison between the performance of the proposed CPVT hybrid system and those of separate PV and water heater panels.","","978-1-5090-2464-3978-1-5090-2463","10.1109/EVER.2016.7476398","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7476398","Energy;hybrid system;thermal collector;photovoltaic;thermal efficiency","Photovoltaic systems;Vehicles;Photovoltaic cells;Glass;Aluminum;Analytical models","hybrid power systems;photovoltaic power systems;solar absorber-convertors;thermal power stations","CPVT hybrid system;concentrating photovoltaic-thermal air collector;hybrid PVT solar systems;hybrid photovoltaic-thermal solar systems;working temperature;PV cells cooling;light concentration;PV module;solar cells;photovoltaic system","","1","","17","","","","","IEEE","IEEE Conferences"
"High voltage battery storage system for multiuse","A. Dietz; S. Hörlin; N. Graß","Institut ELSYS, University of applied sciences, Nuremberg, Keßlerplatz 12, D-90489 Germany; Institut ELSYS, University of applied sciences, Nuremberg, Keßlerplatz 12, D-90489, Germany; Institut ELSYS, University of applied sciences, Nuremberg, Keßlerplatz 12, D-90489, Germany","2016 Eleventh International Conference on Ecological Vehicles and Renewable Energies (EVER)","","2016","","","1","6","Battery storage systems for data centers and telecommunication systems which are available nowadays are merely operated as emergency power systems. During stand-by modus these systems are without any commercial benefit. Furthermore lead-acid battery systems which are usually applied cause enormous additional maintenance costs. Due to the increasing share of volatile renewable energy sources, large energy storage systems are required to ensure the grid stability. This energy storage must be capable to provide short-term balancing power for the grid on demand. To meet the requirements stated above a distributed battery storage system based on lithium iron phosphate (LiFePO4) cells has been developed. This storage system has been designed being able to realize other possible uses in addition to the necessary emergency power supply. However, for all additional applications and use cases the emergency power supply is always prior-ranked. Additional uses are for example the provision of balancing power as a service to the power grid, the increase of internal consumption of self-generated renewable energy (electricity is generated by photovoltaic plants during the day can be consumed by night). Furthermore, the storage system can be used as a charging station for electric vehicles. This multiuse creates a huge economic advantage compared to conventional emergency power supply systems.","","978-1-5090-2464-3978-1-5090-2463","10.1109/EVER.2016.7476434","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7476434","","Batteries;Inverters;Power system stability;Topology;Lithium;Servers;Vehicles","battery storage plants;emergency power supply;iron compounds;lead acid batteries;lithium compounds;phosphorus compounds;power grids;power system stability","electric vehicles;charging station;photovoltaic plants;lithium iron phosphate cells;short-term balancing power;grid stability;volatile renewable energy sources;maintenance costs;lead-acid battery systems;emergency power systems;telecommunication systems;data centers;high voltage battery storage system;LiFePO<sub>4</sub>","","","","9","","","","","IEEE","IEEE Conferences"
"Power quality in distribution networks with electric vehicle charging - a research methodology based on field tests and real data","A. Supponen; A. Rautiainen; J. Markkula; A. Mäkinen; P. Järventausta; S. Repo","Tampere University of Technology, Finland; Tampere University of Technology, Finland; Tampere University of Technology, Finland; Tampere University of Technology, Finland; Tampere University of Technology, Finland; Tampere University of Technology, Finland","2016 Eleventh International Conference on Ecological Vehicles and Renewable Energies (EVER)","","2016","","","1","11","In this paper power quality measurement results of electric vehicle (EV) battery charging are presented. The power quality issues of EV charging are a rising concern among power utilities, as a rapid penetration of EVs on automotive markets is expected to happen in a few years to come. For evaluating the impact of EV charging a series of field measurements are conducted and harmonic current profiles based on the measurements were created. Paper also discusses the calculation methodology of harmonic current flow in distribution networks using the harmonic profiles. For this purpose an OpenDSS based calculation tool is developed and preliminary simulation results are presented.","","978-1-5090-2464-3978-1-5090-2463","10.1109/EVER.2016.7476376","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7476376","Electric Vechicles;Power Quality;Harmonic currents;Distribution Network Analysis;OpenDSS","Voltage measurement;Power measurement;Load modeling;Automotive engineering;Planning;Current measurement;Inductance","battery powered vehicles;distribution networks;power supply quality;secondary cells","distribution networks;power quality measurement;electric vehicle battery charging;automotive markets;harmonic current flow;OpenDSS based calculation tool","","3","","8","","","","","IEEE","IEEE Conferences"
