"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Evaluation of energy consumption and carbon dioxide emissions for electric vehicles in Nordic climate conditions","A. Lajunen","Aalto University, School of Engineering, PO Box 14300, FI-00076, AALTO, Finland","2018 Thirteenth International Conference on Ecological Vehicles and Renewable Energies (EVER)","","2018","","","1","7","This research evaluates the energy consumption and carbon dioxide (CO<sub>2</sub>) emissions of electric vehicles in Nordic climate conditions. The energy sources and CO<sub>2</sub> emissions of electricity generation in the European Nordic countries were presented. The vehicle energy consumption was analyzed based on numerous simulations in different driving cycles and ambient conditions. Daily average energy consumption was calculated based on the temperature data from three different cities in Finland. Vehicle operation CO<sub>2</sub> emissions were calculated based on monthly average energy consumption and average CO<sub>2</sub> emissions of the electricity generation. The research results clearly show that the energy consumption of electric vehicles is much higher in cold climate conditions. Because the CO<sub>2</sub> emissions of the electricity generation are high during the winter months in Finland, the vehicle CO<sub>2</sub> emissions are much higher during winter months than in the summer. Due to the relatively low CO<sub>2</sub> emissions of the electricity generation in most of the Nordic countries, the CO<sub>2</sub> emissions from the vehicle production are more important during vehicle lifecycle.","","978-1-5386-5966-3978-1-5386-5965-6978-1-5386-5967","10.1109/EVER.2018.8362390","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8362390","energy consumption;carbon dioxide;electric vehicle;electricity generation;cold conditions","Energy consumption;Electric vehicles;Meteorology;Production;Batteries;Europe;Urban areas","air pollution control;electric vehicles;energy conservation;energy consumption","electric vehicles;cold climate conditions;electricity generation;vehicle production;vehicle lifecycle;carbon dioxide emissions;Nordic climate conditions;energy sources;European Nordic countries;vehicle energy consumption;energy consumption;CO<sub>2</sub>","","","","24","","","","","IEEE","IEEE Conferences"
"Energy consumption of parallel type hybrid electric vehicle with continuously variable transmission using electric oil pump","J. Wi; H. Kim; J. Yoo; H. Son; H. Kim; B. Kim","School of Mechanical Engineering, Sungkyunkwan University, 2066 Seobu-ro, Suwon-si, Republic of Korea; School of Mechanical Engineering, Sungkyunkwan University, 2066 Seobu-ro, Suwon-si, Republic of Korea; School of Mechanical Engineering, Sungkyunkwan University, 2066 Seobu-ro, Suwon-si, Republic of Korea; School of Mechanical Engineering, Sungkyunkwan University, 2066 Seobu-ro, Suwon-si, Republic of Korea; School of Mechanical Engineering, Sungkyunkwan University, 2066 Seobu-ro, Suwon-si, Republic of Korea; Eco-Vehicle R&amp;D Division, Hyundai Powertech, 95 Hyundaikia-ro, Hwaseong-si, Republic of Korea","2018 Thirteenth International Conference on Ecological Vehicles and Renewable Energies (EVER)","","2018","","","1","7","This paper presents a design of electrified hydraulic control system for a parallel type hybrid electric vehicle (HEV) with continuously variable transmission (CVT). Considering the hybrid characteristics and CVT feature which requires high line pressure to supply the demanded clamping force, three electrified hydraulic system: (1) 1-MOP+1-EOP, (2) 2-EOP and (3) 1-EOP were proposed and the energy consumption was evaluated. The EOP displacement was designed considering the demanded flow rate and pump efficiency. To investigate the amount of flow, pressure and energy consumption of the electrified hydraulic control system, an AMESim-MATLAB/Simulink co-simulator was developed for the target HEV, which consists of the vehicle powertrain and hydraulic system model. From the simulation results, it was found that 2-EOP system shows the smallest energy consumption while satisfying the required control, lubrication and leakage flow.","","978-1-5386-5966-3978-1-5386-5965-6978-1-5386-5967","10.1109/EVER.2018.8362364","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8362364","Hybrid electric vehicle;Electric oil pump;Continuously variable transmission;Energy consumption","Lubrication;Hybrid electric vehicles;Hydraulic systems;Torque;Engines;Mechanical power transmission;Energy consumption","hybrid electric vehicles;hydraulic systems;power transmission (mechanical);pumps;variable speed gear","parallel type hybrid electric vehicle;continuously variable transmission;electric oil pump;electrified hydraulic control system;EOP displacement;vehicle powertrain;line pressure;clamping force;flow rate;energy consumption;CVT feature;HEV;lubrication;leakage flow","","1","","10","","","","","IEEE","IEEE Conferences"
"Study of different topologies of DC-DC resonant converters for renewable energy applications","M. Arazi; A. Payman; M. B. Camara; B. Dakyo","GREAH Laboratory, University of Le Havre, France, 75, rue Bellot - 76058 Le Havre cedex France; GREAH Laboratory, University of Le Havre, France, 75, rue Bellot - 76058 Le Havre cedex France; GREAH Laboratory, University of Le Havre, France, 75, rue Bellot - 76058 Le Havre cedex France; GREAH Laboratory, University of Le Havre, France, 75, rue Bellot - 76058 Le Havre cedex France","2018 Thirteenth International Conference on Ecological Vehicles and Renewable Energies (EVER)","","2018","","","1","6","DC-DC resonant converters are increasingly used in renewable energy systems and hybrid electric vehicles because of their high power density and high efficiency. This paper establishes a global study of the most popular topologies of DC-DC resonant converters that is series, parallel, series-parallel, LLC and CLLC resonant converters. First harmonic approximation method (FHA) is used to define the equivalent circuit and to analyse the gain characteristics and limitations of each topology.","","978-1-5386-5966-3978-1-5386-5965-6978-1-5386-5967","10.1109/EVER.2018.8362398","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8362398","Resonant converters;high efficiency;equivalent model;Soft switching;wide voltage range;bi-directionnal converters","Resonant converters;Topology;Equivalent circuits;Resonant frequency;Capacitors;Zero voltage switching;RLC circuits","DC-DC power convertors;hybrid electric vehicles;renewable energy sources;resonant power convertors","DC-DC resonant converters;equivalent circuit;FHA;first harmonic approximation;CLLC resonant converters;LLC resonant converters;series-parallel resonant converters;hybrid electric vehicles;renewable energy systems","","1","","18","","","","","IEEE","IEEE Conferences"
"Energy savings for indoor lighting in a shopping mall: A case of study","F. M. Raimondi; D. Curto; V. Frazitta; D. Milone","Department of Energy, Information and Mathematical models (DEIM), University of Palermo, CEO Engosys, Palermo, Italy; Department of Energy, Information and Mathematical models (DEIM), University of Palermo, Palermo, Italy; Department of Energy, Information and Mathematical models (DEIM), University of Palermo, Palermo, Italy; Department of Energy, Information and Mathematical models (DEIM), University of Palermo, Palermo, Italy","2018 Thirteenth International Conference on Ecological Vehicles and Renewable Energies (EVER)","","2018","","","1","6","The paper presents an application of energy saving in the final users. In particular, the case of study evaluates the energy consumptions of a big shopping mall, located in the middle part of Italy, illuminated by fluorescent lamps. In order to reduce the energy demand, the case of study shows a first solution based on LED lamps; a second step considers the adding of a building automation system, maximizing the energy saving, thanks lighting sensors that module the luminous flux taking in count of natural lighting through skylights.","","978-1-5386-5966-3978-1-5386-5965-6978-1-5386-5967","10.1109/EVER.2018.8362351","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8362351","LED;energy saving;building automation system","LED lamps;Energy consumption;Fluorescent lamps;Layout;Building automation","building management systems;energy conservation;energy consumption;fluorescent lamps;LED lamps;lighting","energy savings;indoor lighting;energy consumptions;fluorescent lamps;energy demand;LED lamps;building automation system;natural lighting;shopping mall","","","","26","","","","","IEEE","IEEE Conferences"
"Combining mechanical, electrical and thermal energy conversion for ecological vehicle energy harvesting concepts","M. Schier; M. Nasri; W. Kraft; N. Kevlishvili; J. J. H. Paulides; L. Encica","German Aerospace Center, Pfaffenwaldring 38-40 D-70569 Stuttgart, Germany; German Aerospace Center, Pfaffenwaldring 38-40 D-70569 Stuttgart, Germany; German Aerospace Center, Pfaffenwaldring 38-40 D-70569 Stuttgart, Germany; German Aerospace Center, Pfaffenwaldring 38-40 D-70569 Stuttgart, Germany; AE-Group Industrieweg 78 5145 PW, Waalwijk, The Netherlands; AE-Group Industrieweg 78 5145 PW, Waalwijk, The Netherlands","2018 Thirteenth International Conference on Ecological Vehicles and Renewable Energies (EVER)","","2018","","","1","10","In comparison with common combustion motor driven vehicles future electric driven vehicles vary more in their reachable range because of the high drive train efficiency and the different energy demand requirements in different drive conditions. One of the main issues to improve the overall range is the minimization of energy consumption. On the one hand an adapted energy management strategy is needed to achieve a more comfortable and acceptable equalization in the range. On the other hand it is important to recuperate mechanical, electrical and thermal energy, both inside and from the vehicles wherever possible. For example, it is thinkable to use the kinetic energy of braking vehicles outside the vehicle to power traffic lights. If a combustion process is used, a lot of waste thermal energy can be reused from the tailpipe. Or solar energy may be used. If a vehicle has a varying duty-cycle it makes sense to adapt the powertrain to suit the power need. Whatever the available energy, it has to go hand in hand with minimizing the energy consumption. This paper is based on the knowledge and combination of future technologies [2], which are useful to collect and convert energy coming from different sources within a vehicle.","","978-1-5386-5966-3978-1-5386-5965-6978-1-5386-5967","10.1109/EVER.2018.8362363","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8362363","energy harvesting;waste heat conversion;thermoelecrtic generator;thermal storage;thermochemical storage;phase change material;shock absorber;magnetocaloric refrigeration","Waste heat;Turbines;Thermal energy;Generators;Resistance heating;Heat recovery;Phase change materials","braking;combustion;electric vehicles;energy consumption;energy harvesting;energy management systems;solar power","mechanical energy conversion;electrical energy conversion;thermal energy conversion;energy consumption;kinetic energy;waste thermal energy;solar energy;braking;future electric driven vehicle;combustion motor driven vehicles;ecological vehicle energy harvesting;energy demand requirements;energy management strategy;drive train efficiency","","","","15","","","","","IEEE","IEEE Conferences"
"Characterization on the no- and on-load operations of an improved claw pole machine","R. Omri; A. Ibala; A. Masmoudi","Research Laboratory of Renewable Energies and Electric Vehicles (RELEV), University of Sfax, ENIS, P.O. Box 1137, 3038 Sfax, Tunisia; Research Laboratory of Renewable Energies and Electric Vehicles (RELEV), University of Sfax, ENIS, P.O. Box 1137, 3038 Sfax, Tunisia; Research Laboratory of Renewable Energies and Electric Vehicles (RELEV), University of Sfax, ENIS, P.O. Box 1137, 3038 Sfax, Tunisia","2018 Thirteenth International Conference on Ecological Vehicles and Renewable Energies (EVER)","","2018","","","1","8","The paper deals with 3D FEA-based characterization of the no- and on-load features of a claw pole alternator (CPA) with an inter-pole permanent magnets (PMs) mounted in between the rotor claws, yielding the abbreviation IPM-CPA. The PMs play a dual role: (i) the eradication of the claw-to-claw leakage flux and (ii)the enhancement of the flux per pole. In order to highlight the effects of the inter pole PMs, the 3D-FEA is initiated by the characterization of the no- and on-load features of the conventional CPA. These latter are experimentally-validated. Then, the case of the IPM CPA is treated. The obtained features are systematically-compared to those exhibited by the conventional CPA. A special attention is paid to the investigation of the harmonic content of the armature phase voltage at no- and on-load operation.","","978-1-5386-5966-3978-1-5386-5965-6978-1-5386-5967","10.1109/EVER.2018.8362336","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8362336","Claw pole alternator;claw-to-claw leakage flux;inter-pole PMs;3D FEA;no- and on-load features;experimental validation","Harmonic analysis;Rotors;Three-dimensional displays;Magnetic circuits;Torque;Alternators;Iron","alternators;finite element analysis;permanent magnet generators;rotors","on-load operation;improved claw pole machine;on-load features;claw pole alternator;inter-pole permanent magnets;rotor claws;abbreviation IPM-CPA;dual role;claw-to-claw leakage flux;3D-FEA;conventional CPA;IPM CPA;no-load operations;interpole PM;armature phase voltage","","1","","14","","","","","IEEE","IEEE Conferences"
"3D-FEA based-comparison of different topologies of claw-pole alternators with a dual excitation","R. Omri; A. Ibala; A. Masmoudi","Research Laboratory of Renewable Energies and Electric Vehicles (RELEV), University of Sfax, ENIS, P.O. Box 1137, 3038 Sfax, Tunisia; Research Laboratory of Renewable Energies and Electric Vehicles (RELEV), University of Sfax, ENIS, P.O. Box 1137, 3038 Sfax, Tunisia; Research Laboratory of Renewable Energies and Electric Vehicles (RELEV), University of Sfax, ENIS, P.O. Box 1137, 3038 Sfax, Tunisia","2018 Thirteenth International Conference on Ecological Vehicles and Renewable Energies (EVER)","","2018","","","1","6","The paper deals with a 3D-FEA based comparison of four topologies of claw-pole alternators equipped with a dual excitation, namely: (i) the series-hybrid excited claw-pole alternator (SHECPA), (ii) the parallel-hybrid excited claw-pole alternator (PHECPA), (iii) the hybrid excited brushless claw-pole alternator (HEBCPA), and (iv) the PM-assisted hybrid excited brushless claw-pole alternator (PMA-HEBCPA). The study is initiated by a description of their topologies and an analysis of their rotor-stator flux linkages. Then, a special attention is paid to their back-EMF production capabilities, with emphasis on the no-load characteristics and the back-EMF wave-forms and harmonic contents. In order to highlight the possible improvements introduced by the dual excitation, the comparison is extended to the case of the conventional CPA which is taken as a reference.","","978-1-5386-5966-3978-1-5386-5965-6978-1-5386-5967","10.1109/EVER.2018.8362337","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8362337","Claw pole alternator;series-/parallel-hybrid excitation;brushless;stator-rotor flux linkage;3D-FEA;no-load characteristics;Back-EMF","Stator windings;Rotors;Magnetic circuits;Alternators;Topology;Windings","alternators;brushless machines;electric potential;finite element analysis;neodymium alloys;permanent magnet machines;rotors;stators","parallel-hybrid excited claw-pole alternator;hybrid excited brushless claw-pole alternator;claw-pole alternators;series-hybrid excited claw-pole alternator;3D-FEA","","","","6","","","","","IEEE","IEEE Conferences"
"FEA-assisted steady-state modelling of a spoke type IPM machine with enhanced flux weakening capability","N. Elloumi; A. Masmoudi; M. Bortolozzi; A. Tessarolo","University of Sfax, Research Laboratory on Renewable Energies and Electric Vehicles (RELEV), Sfax 3072, Tunisia; University of Sfax Research Laboratory on Renewable Energies and Electric Vehicles (RELEV), Sfax 3072, Tunisia,; University of Trieste Engineering and Architecture Department, 34127 Trieste, Italy; University of Trieste, Engineering and Architecture Department, 34127 Trieste, Italy","2018 Thirteenth International Conference on Ecological Vehicles and Renewable Energies (EVER)","","2018","","","1","5","Interior permanent magnet (IPM) machines with spoke-type design are possible candidates for various applications, including vehicle traction. One of their drawback is the high demagnetizing current required in the flux weakening region to let the motor achieve high speeds. This problem can be mitigated by equipping the motor with a mechanical devices consisting of mobile rotor yokes. These move radially by centrifugal force so as to reduce the air-gap flux at high speed with no need for demagnetizing current injection. This paper addresses the problem of modeling such IPM motor to study its steady-state behavior under different operating conditions, both in the full-flux and in the flux-weakening region of the speed range. The approach uses a limited set of non-linear finite element analysis to characterize the dependency of motor flux linkages on the stator currents and rotor position. Interpolating functions are then obtained to mathematically capture this dependency and plug it into the steady-state electromechanical equations of the motor. The effectiveness and accuracy of the method are assessed through on-load measurements taken on the modelled motor both in low and high speed operation.","","978-1-5386-5966-3978-1-5386-5965-6978-1-5386-5967","10.1109/EVER.2018.8362393","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8362393","Permanent magnet machines;finite element analysis;steady state analytical model","Mathematical model;Couplings;Permanent magnet motors;Interpolation;Steady-state;Traction motors;Rotors","finite element analysis;magnetic flux;permanent magnet motors;rotors;stators","FEA-assisted steady-state modelling;spoke type IPM machine;enhanced flux weakening capability;interior permanent magnet machines;spoke-type design;vehicle traction;high demagnetizing current;mechanical devices;mobile rotor yokes;centrifugal force;air-gap flux;IPM motor;steady-state behavior;flux-weakening region;nonlinear finite element analysis;motor flux linkages;stator currents;rotor position;steady-state electromechanical equations;on-load measurements","","","","8","","","","","IEEE","IEEE Conferences"
"Experimental investigation on different rainfall energy harvesting structures","G. Acciari; M. Caruso; M. Fricano; A. Imburgia; R. Miceli; P. Romano; G. Schettino; F. Viola","Dip. di Energia, ingegneria dell'Informazione e modelli Matematici, University of Palermo, Palermo, Italy; Dip. di Energia, ingegneria dell'Informazione e modelli Matematici, University of Palermo, Palermo, Italy; Dip. di Energia, ingegneria dell'Informazione e modelli Matematici, University of Palermo, Palermo, Italy; Dip. di Energia, ingegneria dell'Informazione e modelli Matematici, University of Palermo, Palermo, Italy; Dip. di Energia, ingegneria dell'Informazione e modelli Matematici, University of Palermo, Palermo, Italy; Dip. di Energia, ingegneria dell'Informazione e modelli Matematici, University of Palermo, Palermo, Italy; Dip. di Energia, ingegneria dell'Informazione e modelli Matematici, University of Palermo, Palermo, Italy; Dip. di Energia, ingegneria dell'Informazione e modelli Matematici, University of Palermo, Palermo, Italy","2018 Thirteenth International Conference on Ecological Vehicles and Renewable Energies (EVER)","","2018","","","1","5","In this paper proposes an experimental comparison between different rainfall harvesting devices and the study of the corresponding electrical rectifying circuit. More in detail, three harvesting structures are considered: the cantilever, the bridge and the floating circle. For each of the proposed structure, different waveforms have been acquired and discussed. The processed data have been compared in order to suggest the best choice for the rectifying circuit, from the simplest one to the most endorsed in the technical literature.","","978-1-5386-5966-3978-1-5386-5965-6978-1-5386-5967","10.1109/EVER.2018.8362346","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8362346","Rainfall energy harvester;piezoelectric effect","Bridge circuits;Rectifying circuits;Rain;Integrated circuit modeling;Transducers;Resistance;Energy harvesting","cantilevers;energy harvesting;piezoelectric transducers;rain;rectifying circuits","rainfall energy harvesting structures;rainfall harvesting devices;electrical rectifying circuit","","","","14","","","","","IEEE","IEEE Conferences"
"Automotive propulsion drive emulation using two cascaded inverters","Y. Boukadida; A. Masmoudi; G. M. Casolino; F. Marignetti; A. Andreoli; M. Albanesi","University of Sfax, Laboratory of Renewable Energies and Electric Vehicles, ENIS, P.O. Box 1173, 3038 Sfax, Tunisia; University of Sfax, Laboratory of Renewable Energies and Electric Vehicles, ENIS, P.O. Box 1173, 3038 Sfax, Tunisia; University of Cassino and South Lazio, Department of Electrical and Information Engineering, Via Gaetano di Biasio, 43, 03043 Cassino, Italy; University of Cassino and South Lazio, Department of Electrical and Information Engineering, Via Gaetano di Biasio, 43, 03043 Cassino, Italy; Loccioni Group via Fiume 16 60030 Angeli di Rosora, Ancona, Italy; Loccioni Group via Fiume 16 60030 Angeli di Rosora, Ancona, Italy","2018 Thirteenth International Conference on Ecological Vehicles and Renewable Energies (EVER)","","2018","","","1","7","The paper is devoted to the development of a numerically-controlled experimental bench dedicated to the testing of automotive electric drives. The bench is built around (i) a power system made up of two DC-AC converters with their AC sides connected through a three phase inductor, and (ii) a control system incorporating a NI PXI interface in which is embedded a real-time simulation HIL system. The control of the power system is simply achieved by two analog signals that are converted to PWM signals driving the switches of the DC-AC converters. The potentialities of the developed bench are highlighted through the emulation of different automotive cycles including acceleration and braking.","","978-1-5386-5966-3978-1-5386-5965-6978-1-5386-5967","10.1109/EVER.2018.8362333","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8362333","Automotive drive test;Hardware-In-the-Loop;Electric propulsion chain emulation;Vector control;Acceleration;Braking","Inverters;Roads;Power systems;Control systems;Propulsion;Traction motors;Torque","automotive electrics;DC-AC power convertors;electric drives;electric propulsion;embedded systems;PWM invertors","automotive propulsion drive emulation;cascaded inverters;DC-AC converters;AC sides;NI PXI interface;real-time simulation HIL system;analog signals;PWM signals;different automotive cycles;power system control;three-phase inductor;numerically-controlled experimental bench;automotive electric drive testing;control system","","","","6","","","","","IEEE","IEEE Conferences"
