"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Thermal properties of a special commuter vehicle concept","B. Mayer; M. Hubner; M. Schier","German Aerospace Center (DLR) - Institute of Vehicle Concepts, Pfaffenwaldring 38-40, 70569 Stuttgart, Germany; German Aerospace Center (DLR) - Institute of Vehicle Concepts, Pfaffenwaldring 38-40, 70569 Stuttgart, Germany; German Aerospace Center (DLR) - Institute of Vehicle Concepts, Pfaffenwaldring 38-40, 70569 Stuttgart, Germany","2015 Tenth International Conference on Ecological Vehicles and Renewable Energies (EVER)","","2015","","","1","4","Thermal management is one of the main energy consumers of today's electric vehicles. To optimize its energy use it is necessary to develop more efficient or new thermal systems. Detailed measurements of HVAC (Heating, Ventilation and Air Conditioning) system parameters are mandatory for designing, creating and evaluating new vehicle energy concepts. In further studies a virtual car was simulated using the Alternative Vehicles Library [1] created by the Institute of vehicle Concepts of German Aerospace Center. The paper is devoted to the measurements on a commercially available electric vehicle to verify the simulation results as well as to assess the mentioned parameters.","","978-1-4673-6785-1978-1-4673-6784","10.1109/EVER.2015.7113034","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7113034","thermal management;HVAC;thermal properties","Vehicles;Heating;Temperature measurement;Cooling;Energy consumption;Batteries;Temperature sensors","electric vehicles;HVAC;thermal management (packaging)","commuter electric vehicle concept;thermal management property;energy consumer;HVAC system;Institute of Vehicle Concepts of German Aerospace Center;alternative vehicle library;heating ventilation and air conditioning system","","4","","5","","","","","IEEE","IEEE Conferences"
"Commercial vehicle drive train technology and topology pre-selection","S. Graebener; M. Tarnowski; D. Goehlich","Methods for Product Development and Mechatronics Department, Technische Universitaet Berlin, Germany; Methods for Product Development and Mechatronics Department, Technische Universitaet Berlin, Germany; Methods for Product Development and Mechatronics Department, Technische Universitaet Berlin, Germany","2015 Tenth International Conference on Ecological Vehicles and Renewable Energies (EVER)","","2015","","","1","5","Electrification of the vehicle drive train is one proven path towards higher efficiency and lower emissions for road transportation. Light and heavy duty commercial vehicles account for up to 40 percent of the overall traffic volume and therefore are an interesting area to implement alternative propulsion systems. Contrary to passenger cars, the auxiliary units of urban commercial vehicles can account for a major amount of the energy consumption. Drive train topologies incorporating these auxiliaries can be very complex, especially if the main drive and the auxiliary drive are interlinked. To support researchers and developers selecting suitable concepts for further evaluation and for them to comprehend the available design space, this paper provides a structured methodology introducing a morphological analysis for commercial vehicles with energy intensive auxiliaries. Furthermore, a structured approach is offered in order to reduce the design space utilizing energy consumption simulation, requirement analysis and expert interviews. In a case study the methodology is applied to large street sweeping vehicles in metropolitan areas.","","978-1-4673-6785-1978-1-4673-6784","10.1109/EVER.2015.7113011","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7113011","commercial vehicle;electrified drive trains;morphological analysis;technology selection methodology","Vehicles;Topology;Batteries;Energy consumption;Fuel storage;Fuel cells","automobiles;electric drives;electric propulsion;electric vehicles;energy consumption;road traffic","vehicle drive train technology;topology pre-selection;road transportation;propulsion system;passenger car;morphological analysis;energy intensive auxiliary;energy consumption simulation;metropolitan area","","1","","10","","","","","IEEE","IEEE Conferences"
"Electric vehicle self-adaptive energy-saving cooling system design based on fuzzy control methods of fan and pump electromotors","Q. Wang; D. Liang; J. Wang","Xi'an Jiaotong University, Xianning Street, China; Xi'an Jiaotong University, Xianning Street, China; Xi'an Jiaotong University, Xianning Street, China","2015 Tenth International Conference on Ecological Vehicles and Renewable Energies (EVER)","","2015","","","1","4","Replacing the conventional cars with electric vehicles is generally considered a promising solution for the up-to-date energy shortage and atmospheric pollution problems. Loss is generated all the time in the traveling process of electric vehicles and it is eventually transformed to heat dissipating in ambient environment. Thermal management is a critical part in electric vehicle research to timely take away the heat, ensuring the system work properly. A self-adaptive cooling system with cooling fan and coolant pump being controlled adopting fuzzy law is proposed in this paper. The structure and parameters of the fuzzy controller are designed according to the actual cooling system working conditions. Simulation model is constructed in Matlab/Simulink environment based on the topology and control strategy studied above. Experimental prototype, including two permanent magnet synchronous motors (PMSM), power converters, control box, cooling fan and coolant pump are all manufactured and tested. The design scheme is verified by the testing results.","","978-1-4673-6785-1978-1-4673-6784","10.1109/EVER.2015.7113013","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7113013","electric vehicles;thermal management;cooling systems;fuzzy control","Coolants;Heat sinks;Electric vehicles;Heat pumps;Water heating","control system synthesis;cooling;electric vehicles;fans;fuzzy control;permanent magnet motors;pumps;synchronous motors","electric vehicle self-adaptive energy-saving cooling system design;fuzzy control method;cooling fan;pump electromotors;atmospheric pollution problem;heat dissipation;thermal management;coolant pump;fuzzy controller design;Matlab-Simulink environment;permanent magnet synchronous motors;PMSM;power converters;control box","","1","","7","","","","","IEEE","IEEE Conferences"
"Wheel slip controller for the regenerative braking of electric vehicle: Experimental results with a three wheels recreational hybrid vehicle","M. Boisvert; P. Micheau","Centre des technologies avanc&#x00E9;es, Universit&#x00E9; de Sherbrooke, 3000 Blvd de l'Universit&#x00E9;, QC, J1N 2W5, Canada; Mechanical Eng. Dpt, Universit&#x00E9; de Sherbrooke, 2500 Blvd de l'Universit&#x00E9;, QC, J1N 2W5, Canada","2015 Tenth International Conference on Ecological Vehicles and Renewable Energies (EVER)","","2015","","","1","5","In any hybrid or electrical vehicle, the electric motor can be used as an electric generator to impose a negative torque to the wheel providing the braking effect by recovering part of the kinetic energy used for charging the batteries. The main hypothesis of this study is to propose that a slip control is preferable to a braking torque control during the regenerative braking. The experimental results obtained with a three wheel recreational electric vehicle validate that the wheel slip control is an efficient regenerative braking strategy to ensure both the optimal energy recovery and the wheel adherence in spite of road uncertainties.","","978-1-4673-6785-1978-1-4673-6784","10.1109/EVER.2015.7112944","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7112944","Slip wheel;Slip control;Kalman estimator;nonlinear control;Regenerative braking;Electric Vehicles","Wheels;Vehicles;Torque;Roads;Kalman filters;Observers","electric motors;hybrid electric vehicles;regenerative braking;slip;wheels","wheel slip controller;regenerative braking strategy;electric vehicle;three-wheel recreational hybrid vehicle;electric motor;electric generator;negative torque;kinetic energy;battery charging;braking torque control;optimal energy recovery;wheel adherence;road uncertainty","","1","","14","","","","","IEEE","IEEE Conferences"
"Eletric vehicles impact using renewable energy","M. Longo; D. Zaninelli; F. Viola; P. Romano; R. Miceli","Department of Energy, Politecnico di Milano, Italy; Department of Energy, Politecnico di Milano, Italy; Dipartimento di Energia, ingegneria dell'Informazione e modelli Matematici, University of Palermo, Italy; Dipartimento di Energia, ingegneria dell'Informazione e modelli Matematici, University of Palermo, Italy; Dipartimento di Energia, ingegneria dell'Informazione e modelli Matematici, University of Palermo, Italy","2015 Tenth International Conference on Ecological Vehicles and Renewable Energies (EVER)","","2015","","","1","7","In this moment, the principle topics for the modern world are the reduction of environmental pollution and the production of energy from renewable sources (for example photovoltaic system, wind farm, hydroelectric plants, etc.). This particular attention is determined by different reasons, in particular from the Kyoto Protocol, and from different problems as greenhouse effect, acid rain and climate change. The scope of this work is to study, for different years (1997-2013) in Italy, the production of electric energy from renewable and non-renewable. At a later stage, the attention will be on the consumption of the electric energy divided for different sectors. In particular, we study the possible solutions in order to reduce emissions. This paper examines the integration of sources of renewable energy in all regions of Italy where the focus is on the possibility to reduce emission integrating the electric vehicles.","","978-1-4673-6785-1978-1-4673-6784","10.1109/EVER.2015.7113007","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7113007","electric vehicles;wind farm;green energy;vehicles fleet","Photovoltaic systems;Production;Green products;Shape","air pollution control;climate mitigation;electric vehicles;energy consumption;renewable energy sources","electric vehicle;renewable energy source;environmental pollution;electric energy production;photovoltaic system;wind farm;hydroelectric plant;Kyoto protocol;greenhouse effect;acid rain;climate change;Italy;electric energy consumption","","9","","15","","","","","IEEE","IEEE Conferences"
"Development of a route information-based control algorithm of a range extender for an RE-EV","Y. Bak; J. Pi; S. Ko; S. Park; J. Choi; H. Kim; D. Park","School of Mechanical Engineering, Sungkyunkwan University Suwon-si, Korea; School of Mechanical Engineering, Sungkyunkwan University Suwon-si, Korea; School of Mechanical Engineering, Sungkyunkwan University Suwon-si, Korea; School of Mechanical Engineering, Sungkyunkwan University Suwon-si, Korea; School of Mechanical Engineering, Sungkyunkwan University Suwon-si, Korea; School of Mechanical Engineering, Sungkyunkwan University Suwon-si, Korea; Automotive Electronics Dept., SANE, Anyang-si, Korea","2015 Tenth International Conference on Ecological Vehicles and Renewable Energies (EVER)","","2015","","","1","6","In a range-extended electric vehicle (RE-EV), the system efficiency decreases when the engine power is transmitted to the driving motor through the battery due to the charging and discharging energy conversion efficiency. To improve the system efficiency, a control algorithm is proposed using the route information. The control algorithm calculates the threshold power based on the battery charging amount and the demanded vehicle power from the target route. Using the threshold power, more engine power can be transmitted directly from the engine to the driving motor without charge and discharge process through the battery. It was found that the proposed algorithm reduces the fuel consumption of the target RE-EV, compared with the existing CD/CS control.","","978-1-4673-6785-1978-1-4673-6784","10.1109/EVER.2015.7113012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7113012","range-extended electric vehicle (RE-EV);route information;system efficiency","Engines;System-on-chip;Vehicles;Batteries;Discharges (electric)","automotive electrics;battery powered vehicles;energy conservation;energy consumption;fuel economy;hybrid electric vehicles;machine control","fuel consumption reduction;battery charging amount;threshold power;energy conversion efficiency;range-extended electric vehicle;RE-EV;range extender;route information-based control algorithm","","1","","10","","","","","IEEE","IEEE Conferences"
"Swiss Energy Strategy 2050: Research on photovoltaic electricity production","E. Schuepbach; U. Muntwyler; T. Schott; M. Jost; C. Renken; M. Lanz","Bern University of Applied Sciences BFH, Dept. Engineering and Information Technology, Institute for Energy and Mobility Research (IEM), Photovoltaic Laboratory, Jlcoweg 1, CH-3400 Burgdorf, Switzerland; Bern University of Applied Sciences BFH, Dept. Engineering and Information Technology, Institute for Energy and Mobility Research (IEM), Photovoltaic Laboratory, Jlcoweg 1, CH-3400 Burgdorf, Switzerland; Bern University of Applied Sciences BFH, Dept. Engineering and Information Technology, Institute for Energy and Mobility Research (IEM), Photovoltaic Laboratory, Jlcoweg 1, CH-3400 Burgdorf, Switzerland; Bern University of Applied Sciences BFH, Dept. Engineering and Information Technology, Institute for Energy and Mobility Research (IEM), Photovoltaic Laboratory, Jlcoweg 1, CH-3400 Burgdorf, Switzerland; Bern University of Applied Sciences BFH, Dept. Engineering and Information Technology, Institute for Energy and Mobility Research (IEM), Photovoltaic Laboratory, Jlcoweg 1, CH-3400 Burgdorf, Switzerland; Bern University of Applied Sciences BFH, Dept. Engineering and Information Technology, Institute for Energy and Mobility Research (IEM), Photovoltaic Laboratory, Jlcoweg 1, CH-3400 Burgdorf, Switzerland","2015 Tenth International Conference on Ecological Vehicles and Renewable Energies (EVER)","","2015","","","1","5","Research activities on electricity production from photovoltaics as carried out by the Photovoltaic Laboratory (PV LAB) at Bern University of Applied Sciences BFH, Burgdorf, Switzerland are presented. The activities are nested in one of the new Competence Centers for Energy Research set up by the Swiss Government in view of implementing the “Energy Strategy 2050”. Information on long-term energy yields is gained from measurements in a Swiss photovoltaic installation network. This unique network was started in the 1990s by the PV LAB, who today operates around 35 PV installations in Switzerland. The current research focus is on alpine sites as they produce a stable energy yield in winter. Photovoltaic-oriented buildings (PVOB) also contribute to electricity production in winter and form another research pillar of the PV LAB. In order to survey mounting work, the quality of PV modules in complex terrain or on façades of high-rising buildings, a new IR-multicopter was built.","","978-1-4673-6785-1978-1-4673-6784","10.1109/EVER.2015.7112992","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7112992","Energy Strategy 2050;Switzerland;Alps;winter;electricity;photovoltaics;photovoltaic-oriented buildings;survey;IR-multicopter","Production;Gain measurement;Photovoltaic systems;Buildings;Indexes","building integrated photovoltaics","Swiss energy strategy;photovoltaic electricity production;photovoltaic laboratory;PV LAB;Bern university of applied sciences BFH;Burgdorf;Switzerland;competence centers for energy research;Swiss government;long-term energy yield;Swiss photovoltaic installation network;PV installation;Switzerland;alpine site;photovoltaic-oriented building;PVOB;PV module;complex terrain;high-rising building facade;IR-muIticopter","","","","15","","","","","IEEE","IEEE Conferences"
"Thermal management concept for next generation vehicles","M. Schmitt; M. Nasri","German Aerospace Center (DLR), Pfaffenwaldring 38-40, 70569 Stuttgart, Germany; German Aerospace Center (DLR), Pfaffenwaldring 38-40, 70569 Stuttgart, Germany","2015 Tenth International Conference on Ecological Vehicles and Renewable Energies (EVER)","","2015","","","1","8","In this paper, a thermal management concept for future intercity and long-distance vehicles is described in which the waste heat from a fuel cell system was being used for heating the cabin inlet air. To this end, various waste heat utilization concepts are created with different location of heat-exchanges and PTC-heaters and then modeled in the simulation environment Modelica/Dymola. From the obtained simulation results, a suitable waste heat utilization concept is examined in the entire vehicle.","","978-1-4673-6785-1978-1-4673-6784","10.1109/EVER.2015.7113035","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7113035","thermal management;waste heat recovery;fuel cell vehicles;electric vehicle;cooling circuit;simulation","Heating;Waste heat;Cooling","air;fuel cell vehicles;heat exchangers;thermal management (packaging);waste heat","thermal management concept;next generation vehicles;intercity vehicles;long-distance vehicles;fuel cell system;cabin inlet air heating;waste heat utilization concept;heat exchangers;PTC-heaters;simulation environment ModeJica-Dymola;electric vehicles","","3","","5","","","","","IEEE","IEEE Conferences"
"An offshore wind energy conversion system based on a Permanent Magnet Synchronous Generator connected to grid -modeling and control strategies","M. S. Camara; M. B. Camara; B. Dakyo; H. Gualous","Laboratoire GREAH - Université Le Havre, 25 Rue Philippe Lebon, 76058, FRANCE; Laboratoire GREAH - Université Le Havre, 25 Rue Philippe Lebon, 76058, FRANCE; Laboratoire GREAH - Université Le Havre, 25 Rue Philippe Lebon, 76058, FRANCE; Laboratoire LUSAC - Université de Caen, Rue Louis Aragon, 50100 Cherbourg - Octeville, FRANCE","2015 Tenth International Conference on Ecological Vehicles and Renewable Energies (EVER)","","2015","","","1","6","This paper presents modeling and control strategies of 5MW Permanent Magnet Synchronous Generator (PMSG) for offshore wind energy conversion application. The PMSG is connected to electrical grid of 20kV phase to phase RMS voltage using a back-to-back converter. The contribution of this paper is focused on energy management strategies using “grid code”, where the required power profile is fixed by electrical grid manager without any consideration for wind speed variations. For this study, it is assumed that the available power is higher than required power for electrical grid. The proposed control strategies include a Maximum Power Tracking (MPPT) for PMSG speed control, active/reactive power control, and DC-bus voltage management. To show the performances of the control, some simulation results are presented and analyzed using Matlab/Simulink software.","","978-1-4673-6785-1978-1-4673-6784","10.1109/EVER.2015.7112924","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7112924","Active and reactive power control;AC/DC converter;DC/AC converter;DC-bus voltage control;Permanent Magnet Synchronous Generator (PMSG);Offshore wind energy management;Speed control;Maximum Power Point Tracking (MPPT);Wind energy conversion","Wind turbines;Voltage control;Wind energy;Velocity control;Wind speed;Permanent magnets;Maximum power point trackers","energy management systems;maximum power point trackers;offshore installations;permanent magnet generators;power grids;reactive power control;synchronous generators;velocity control;wind power plants","offshore wind energy conversion system;permanent magnet synchronous generators;electrical grid code modeling;phase to phase RMS voltage;back-to-back converter;energy management strategy;power profile;wind speed variations;maximum power point tracking;MPPT;PMSG speed control;active-reactive power control;DC-bus voltage management;Matlab-simulink software;power 5 MW;voltage 20 kV","","","","16","","","","","IEEE","IEEE Conferences"
"[PDF Not Yet Available In IEEE Xplore]","","","2015 Tenth International Conference on Ecological Vehicles and Renewable Energies (EVER)","","2015","","","1","1","The document that should appear here is not currently available.","","978-1-4673-6785-1978-1-4673-6784","10.1109/EVER.2015.7112999","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7112999","","Portable document format;IEEE Xplore","","","","","","","","","","","IEEE","IEEE Conferences"
