"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Parameter analysis of a new AFIPM for light electric vehicle application","C. Liu; Y. Wang; G. Lei; B. Ma; Y. Guo; J. Zhu","Province-Ministry Joint Key Laboratory of EFEAR, Hebei University of Technology, Tianjin 300130; Province-Ministry Joint Key Laboratory of EFEAR, Hebei University of Technology, Tianjin 300130; School of Electrical, Mechanical and Mechatronic System, University of Technology, Sydney, NSW 2007, Australia; School of Electrical, Mechanical and Mechatronic System, University of Technology, Sydney, NSW 2007, Australia; School of Electrical, Mechanical and Mechatronic System, University of Technology, Sydney, NSW 2007, Australia; School of Electrical, Mechanical and Mechatronic System, University of Technology, Sydney, NSW 2007, Australia","2017 20th International Conference on Electrical Machines and Systems (ICEMS)","","2017","","","1","5","The electrical machines are gaining more and more attentions nowadays, especially for the electric vehicle application. Compared with the radial flux machine, the axial flux machine can have higher torque density and efficiency due to its tight structure. However, most of the axial flux machines are designed with the surface mounted permanent magnets (PMs) rotor, where the reluctance torque ability is reduced. To improve the torque ability of the axial flux machine, a new axial flux interior permanent magnet machine (AFIPM) is proposed and analyzed in this paper. The rotor of the proposed AFIPM is manufactured by the rolling the electrical steels as a ring core, then the PMs are inserted in the holes of the rotor ring, the axial side of the rotor ring is designed with the several different steps to eliminate the harmonics of the back EMF as well. The static performance and electromagnetic parameters of the AFIPM is calculated and it shows that the reluctance torque ability of the AFIPM is very good, based on the 3D finite element method (FEM) and frozen magnetic permeability technology.","","978-1-5386-3246-8978-1-5386-3245-1978-1-5386-3247","10.1109/ICEMS.2017.8055984","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8055984","Electrical machine;electric vehicle;axial flux machine (AFM);3-D finite element method (FEM)","Rotors;Torque;Inductance;Stator cores;Stator windings;Permanent magnets","electric vehicles;finite element analysis;permanent magnet machines;rotors;synchronous motors;torque","rotor;electric vehicle;axial flux interior permanent magnet machine;permanent magnets rotor;axial flux machine;radial flux machine;electrical machines;AFIPM","","","","18","","","","","IEEE","IEEE Conferences"
"High specific power electrical machines: A system perspective","A. El-Refaie; M. Osama","Marquette University, Milwaukee, USA; GE Global Research Center, Munich, Germany","2017 20th International Conference on Electrical Machines and Systems (ICEMS)","","2017","","","1","6","There has been a growing need for high specific power electrical machines for a wide range of applications. These include hybrid/electric traction applications, aerospace applications and Oil and Gas applications. A lot of work has been done to accomplish significantly higher specific power electrical machines especially for aerospace applications. Several machine topologies as well as thermal management schemes have been proposed. Even though there has been a few publications that provided an overview of high-speed and high specific power electrical machines [1-3], the goal of this paper is to provide a more comprehensive review of high specific power electrical machines with special focus on machines that have been built and tested and are considered the leading candidates defining the state-of-the art. Another key objective of this paper is to highlight the key &#x201C;system-level&#x201D; tradeoffs involved in pushing electrical machines to higher specific power. Focusing solely on the machine specific power can lead to a sub-optimal solution at the system-level.","","978-1-5386-3246-8978-1-5386-3245-1978-1-5386-3247","10.1109/ICEMS.2017.8055931","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8055931","Density;Electrical;High;Machines;Perspective;Power;Specific","Cooling;Rotors;Traction motors;Topology;Oils;Aircraft;Aircraft propulsion","battery powered vehicles;electric machines;hybrid electric vehicles;thermal management (packaging);traction motor drives","high specific power electrical machines;hybrid/electric traction applications;aerospace applications;machine specific power;thermal management","","2","","32","","","","","IEEE","IEEE Conferences"
"Research on interturn short circuit fault location of rotor winding in synchronous electric machines","J. Li; W. Shi; Q. Li","School of Electrical and Electronic Engineering, North China Electric Power University, Baoding 071003, China; School of Electrical and Electronic Engineering, North China Electric Power University, Baoding 071003, China; School of Electrical and Electronic Engineering, North China Electric Power University, Baoding 071003, China","2017 20th International Conference on Electrical Machines and Systems (ICEMS)","","2017","","","1","4","Rotor winding interturn short circuit is the main fault of synchronous electric machines, it is of great significance to the safe and stable operation of the machine to discover and handle the fault timely. In view of this, the fault positioning method of rotor turn-to-turn short circuit of synchronous machines was studied. The mathematic expression of exciting magnetomotive force (e-m.m.f.), electromotiveforce (e.m.f.) and current of stator were deduced. we analyzed the characteristic harmonic of e-m.m.f., stator e.m.f. and current caused by rotor winding interturn short circuit; every harmonic amplitude variation of stator branch current was given in the relationship with rotor turn-to-turn short circuit. The different harmonic variation ratio of stator branch currents is only relevant to the position of the rotor interturn short-circuit coil and has a one-to-one relationship, so the rotor interturn short-circuit positioning method is presented. The method is verified by six-pole non-salient pole synchronous machines.","","978-1-5386-3246-8978-1-5386-3245-1978-1-5386-3247","10.1109/ICEMS.2017.8056040","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8056040","fault location;rotor interturn short circuit;synchronous electric machines;the harmonic characteristic","Harmonic analysis;Rotors;Stator windings;Windings;Circuit faults;Generators","electric potential;fault location;rotors;short-circuit currents;stators;synchronous machines","interturn short circuit fault location;rotor winding interturn short circuit;fault positioning method;synchronous machines;rotor interturn short-circuit positioning method;magnetomotive force;synchronous electric machine fault;synchronous machines rotor turn-to-turn short circuit;electromotive force;stator current;six-pole nonsalient pole synchronous machines","","","","12","","","","","IEEE","IEEE Conferences"
"A novel doubly-fed flux-modulation machine for electric vehicle propulsion","Y. Mao; S. Niu","Department of Electrical Engineering, The Hong Kong Polytechnic University, Hong Kong; Department of Electrical Engineering, The Hong Kong Polytechnic University, Hong Kong","2017 20th International Conference on Electrical Machines and Systems (ICEMS)","","2017","","","1","6","This paper presents a novel double-fed flux-modulation (DF-FM) machine which offers an effective electric solution for electric vehicle (EV) propulsion. This design can realize adjusted speed and torque transmission without planetary gearbox and brush system in EVs. Main advantages of this design involve high torque density, wide speed range operation and low friction loss. The steady and transient performance of this newly proposed DF-FM machine is analyzed using finite element method (FEM).","","978-1-5386-3246-8978-1-5386-3245-1978-1-5386-3247","10.1109/ICEMS.2017.8056237","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8056237","electric vehicle;finite element method;flux-modulation machine","Rotors;Windings;Torque;Wheels;Propulsion;Magnetic flux;Harmonic analysis","electric machines;electric propulsion;electric vehicles;finite element analysis;magnetic flux","electric vehicle propulsion;torque transmission;EV propulsion;torque density;DF-FM machine;double-fed flux-modulation machine;friction loss;finite element method;FEM","","","","12","","","","","IEEE","IEEE Conferences"
"Sliding mode control of axial field flux-switching permanent magnet machine","X. Yuan; W. Zhang; F. Yu; W. Gu","School of Electrical Engineering, Nantong University, Nantong, China; School of Electrical Engineering, Nantong University, Nantong, China; School of Electrical Engineering, Nantong University, Nantong, China; School of Electrical Engineering, Southeast University, Nanjing, China","2017 20th International Conference on Electrical Machines and Systems (ICEMS)","","2017","","","1","4","A novel 6/13-pole axial field flux-switching permanent magnet (AFFSPM) machine has the advantages of compact structure, large torque density, high efficiency and good fault tolerance. In order to reduce the influence of load mutation and the variation of system parameter on the control system of AFFSPM machine, and to improve the stability of drive system, the control method of AFFSPM machine is researched. In this paper, the sliding mode control method based on SVPWM is applied to the drive system of the AFFSPM machine. The simulation model of the drive system under the control strategy is established by MATLAB/Simulink. The waveforms of three-phase currents, speed and torque are researched and analyzed. The simulation results show that the drive system of the novel AFFSPM machine has good static and dynamic performances under the control of the sliding mode control strategy.","","978-1-5386-3246-8978-1-5386-3245-1978-1-5386-3247","10.1109/ICEMS.2017.8056087","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8056087","axial field flux-switching permanent magnet machine;electric vehicle;sliding mode control","Torque;Permanent magnet machines;Stator windings;Sliding mode control;Stator cores","fault tolerant control;machine control;magnetic flux;permanent magnet machines;torque;variable structure systems","fault tolerance;AFFSPM machine;axial field flux-switching permanent magnet machine;torque density;load mutation reduction;drive system stability;SVPWM;sliding mode control strategy;sliding mode control method;drive system;control system;system parameter","","","","24","","","","","IEEE","IEEE Conferences"
"A segmented rotor type switched reluctance machine for BSGs of hybrid electric vehicles: Concept, design and analysis","Z. Zhou; X. Sun; L. Chen; Z. Yang; S. Han; K. Li; J. Zhu; Y. Guo","School of Automobile and Traffic Engineering, Jiangsu University, Zhenjiang 212013, China; School of Automobile and Traffic Engineering, Jiangsu University, Zhenjiang 212013, China; Automotive Engineering Research Institute, Jiangsu University, Zhenjiang 212013, China; School of Electrical and Information Engineering, Jiangsu University, Zhenjiang 212013, China; School of Electrical and Information Engineering, Jiangsu University, Zhenjiang 212013, China; School of Electrical and Information Engineering, Jiangsu University, Zhenjiang 212013, China; School of Electrical, Mechanical and Mechatronic Systems, University of Technology, Sydney, Sydney, NSW 2007, Australia; School of Electrical, Mechanical and Mechatronic Systems, University of Technology, Sydney, Sydney, NSW 2007, Australia","2017 20th International Conference on Electrical Machines and Systems (ICEMS)","","2017","","","1","4","This paper proposes a novel 16/10 segmented rotor switched reluctance machine (SSRM) for belt-driven starter generators (BSGs) of hybrid electric vehicles. The stator of proposed SSRM consists of two types of stator poles: exciting pole and auxiliary pole, and the rotor of proposed SSRM is made up of a series of discrete segments. Firstly, the concept of the conventional SRM and proposed machine is presented. Secondly, the design rules of proposed SSRM are described. Finally, the finite element method (FEM) is employed to get the static characteristics of the proposed SSRM, including the magnetic flux distribution, magnetic flux density, inductance characteristic, torque characteristic and continuous torque. Result shows that the torque ripple of proposed SSRM is low.","","978-1-5386-3246-8978-1-5386-3245-1978-1-5386-3247","10.1109/ICEMS.2017.8056169","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8056169","Segmented rotor;exciting and auxiliary poles;discrete segments;static characteristics;finite element method;torque ripple","Rotors;Torque;Magnetic flux;Reluctance machines;Stator windings;Inductance","automotive components;finite element analysis;hybrid electric vehicles;magnetic flux;reluctance machines;rotors;starting;stators","hybrid electric vehicles;belt-driven starter generators;SSRM;BSG;segmented rotor type switched reluctance machine;finite element method;magnetic flux distribution;magnetic flux density","","1","","15","","","","","IEEE","IEEE Conferences"
"Optimal design of rotor topology of PM synchronous machine for high speed electric tools","C. Suo; K. Yang; G. Xiao; W. Tu; L. Tang","State Key Laborary of Advanced Electromagnetic Engineering and Technology, Wuhan, China; State Key Laborary of Advanced Electromagnetic Engineering and Technology, Wuhan, China; State Key Laborary of Advanced Electromagnetic Engineering and Technology, Wuhan, China; State Key Laborary of Advanced Electromagnetic Engineering and Technology, Wuhan, China; State Key Laborary of Advanced Electromagnetic Engineering and Technology, Wuhan, China","2017 20th International Conference on Electrical Machines and Systems (ICEMS)","","2017","","","1","5","Nowadays electric tools have been widely used in many fields, such as woodworking, home decoration and mechanical maintenance. Permanent magnet (PM) machine have many merits such as high efficiency, high torque density, and high structural reliability. Due to these advantages, PM machine is suitable for electric tools. Firstly, this paper compares two rotor topology including tangential interior PM (TPM) machine and V-shape interior PM (VPM) machine with material consumption, torque density and mechanical stability. Then, selecting VPM machine as optimized object, the rotor parameters, including magnet length, magnet thickness, rotor shape, i.e. All optimizations is present by finite element analysis (FEA) and validated by experiments.","","978-1-5386-3246-8978-1-5386-3245-1978-1-5386-3247","10.1109/ICEMS.2017.8056038","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8056038","electric tools;rotor topology;V-shape interior permanent magnet machine;rotor optimization","Torque;Rotors;Iron;Bars;Magnetic flux leakage;Torque measurement;Topology","finite element analysis;mechanical stability;permanent magnet machines;rotors;synchronous machines;torque","rotor topology;tangential interior PM machine;V-shape interior PM machine;VPM machine;magnet length;magnet thickness;rotor shape;PM synchronous machine;high speed electric tools;permanent magnet machine","","","","4","","","","","IEEE","IEEE Conferences"
"High-resistance connection fault severity detection in a permanent magnet synchronous machine drive system","J. Hang; Y. Li; S. Ding; C. Tang; Q. Wang","School of Electrical Engineering and Automation, Anhui University, China; School of Electrical Engineering and Automation, Anhui University, China; School of Electrical Engineering and Automation, Anhui University, China; School of Electrical Engineering and Automation, Anhui University, China; Collaborative Innovation Center of Industrial Energy saving and Power Quality Control, Anhui University, China","2017 20th International Conference on Electrical Machines and Systems (ICEMS)","","2017","","","1","4","This paper proposes a method for high-resistance connection (HRC) fault severity detection in a permanent magnet synchronous machine (PMSM), which helps in determining the scheduled maintenance. The proposed method is based on the zero sequence voltage component (ZSVC) and the stator currents. The PMSM mode in abc stationary frame is presented. The relationship between the ZSVC, the stator currents and the additional resistances of the faulty phases is established. The HRC fault severity detection is described by solving a binary linear equation group about the additional resistance of each faulty phase. The simulation is carried out to validate the proposed method. The results show that the HRC fault severity can be effectively detected by the proposed method in the PMSM drive system.","","978-1-5386-3246-8978-1-5386-3245-1978-1-5386-3247","10.1109/ICEMS.2017.8056039","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8056039","Fault diagnosis;fault severity detection;high-resistance connection;permanent magnet synchronous machine","Stator windings;Permanent magnet machines;Resistance;Mathematical model;Fault diagnosis;Simulation","fault diagnosis;machine control;permanent magnet machines;stators;synchronous machines;synchronous motor drives","ZSVC;stator currents;HRC fault severity detection;PMSM drive system;permanent magnet synchronous machine drive system;high-resistance connection fault severity detection;zero sequence voltage component;PMSM mode;abc stationary frame;binary linear equation","","2","","18","","","","","IEEE","IEEE Conferences"
"Optimal design of cooling system for water cooling motor used for mini electric vehicle","L. Cuiping; G. Zhengwei; L. Junhui; Z. Bing; D. Xiucui","Northeast Electric Power University, Jilin 132012, China; Northeast Electric Power University, Jilin 132012, China; Northeast Electric Power University, Jilin 132012, China; Changchun Electric Power Supply Company, State Grid Jilin Electric Power Company, Changchun 130021, China; Changchun Electric Power Supply Company, State Grid Jilin Electric Power Company, Changchun 130021, China","2017 20th International Conference on Electrical Machines and Systems (ICEMS)","","2017","","","1","4","Temperature rise is one of the main factors that affect the safe operation of electric vehicle. In order to improve the heat efficiency of the motor, the water-cooled motor of circular circumferential waterway for mini electric vehicle was studied as an object in this research, the structural parameters of the channel are optimized and analyzed from the following aspects: the width of the adjacent channel, the width and the height of the channel. A numerical model for coupling the fluid field and temperature field of a motor with different waterway parameters is established, comparing and analyzing the temperature rise distribution of different cooling structure parameters, the optimum cooling system parameters are obtained, which provides a reference for the design of the cooling system of the small and medium sized water cooling motor.","","978-1-5386-3246-8978-1-5386-3245-1978-1-5386-3247","10.1109/ICEMS.2017.8056319","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8056319","Electric vehicle;Water-cooled motor;Cooling system;Channel optimization","Cooling;Induction motors;Resistance;Temperature distribution;Mathematical model;Water heating;Windings","battery powered vehicles;cooling;design engineering;electric motors;electric vehicles;temperature distribution","optimum cooling system parameters;optimal design;mini electric vehicle;safe operation;heat efficiency;circular circumferential waterway;structural parameters;adjacent channel;temperature field;temperature rise distribution;cooling structure parameters;waterway parameters;water cooling motor;water-cooled motor;fluid field","","1","","12","","","","","IEEE","IEEE Conferences"
"A sensor-less vector control of brushless doubly-fed machine for stand-alone generator system","M. He; Z. Wei; X. Chen","State Key Laboratory of Advanced Electromagnetic Engineering and Technology, Huazhong University of Science and Technology, China; State Key Laboratory of Advanced Electromagnetic Engineering and Technology, Huazhong University of Science and Technology, China; State Key Laboratory of Advanced Electromagnetic Engineering and Technology, Huazhong University of Science and Technology, China","2017 20th International Conference on Electrical Machines and Systems (ICEMS)","","2017","","","1","5","This paper presents a sensor-less control method for a stand-alone ship shaft generation system based on brushless doubly-fed machine (BDFM) with a novel wound rotor structure. A speed estimation based on the Model Reference Adaptive is introduced into the control winding field-oriented control method. The control block diagram is set up including the adjustable model and reference model and relevant simulation is carried out. All studies show that the control method is verified and applicable in stand-alone generation system.","","978-1-5386-3246-8978-1-5386-3245-1978-1-5386-3247","10.1109/ICEMS.2017.8056514","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8056514","Brushless doubly-fed machine (BDFM);Stand-alone generator system;Speed estimation;State observer;Model reference adaptive system (MRAS)","Rotors;Mathematical model;Observers;Windings;Adaptation models;Generators","brushless machines;machine vector control;model reference adaptive control systems;rotors;shafts;ships","stand-alone ship shaft generation system;novel wound rotor structure;speed estimation;Model Reference Adaptive;control winding field-oriented control method;control block diagram;adjustable model;reference model;sensor-less vector control;brushless doubly-fed machine;BDFM","","","","9","","","","","IEEE","IEEE Conferences"
