"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"A novel circularly polarized dsrc band square microstrip antenna using minkowski fractal structure for vehicular communication","T. Mondal; S. Samanta; R. Ghatak; S. R. Bhadra Chaudhuri","NA; NA; NA; Member","2014 IEEE International Conference on Vehicular Electronics and Safety","","2014","","","141","146","This paper proposes the design of a novel Minkowski circularly polarized square microstrip fractal antenna to operate within the full range of 75MHz DSRC band (Dedicated Short-Range CommunicationsIEEE 802.11p) with the center frequency at 5.9GHz for vehicle to vehicle communication purpose in an Intelligent Transport System (ITS). Compared to the conventional square patch, the use of Minkowski fractal reduces the overall area of the patch considerably at 5.9GHz with 7.4dBi Gain. More than 3dB Gain is maintained throughout a Bandwidth of 600MHz (5.6GHz to 6.2GHz). Axial Ratio of the antenna is also achieved below 3dB for the entire 267MHz Bandwidth from 5.73GHz to 6GHz.","","978-1-4799-1882","10.1109/ICVES.2014.7063738","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7063738","","Conferences;Vehicular and wireless technologies;Safety","antenna radiation patterns;intelligent transportation systems;microstrip antennas","novel circularly polarized DSRC band square microstrip antenna;Minkowski fractal structure;vehicular communication;dedicated short-range communications;vehicle to vehicle communication purpose;Intelligent Transport System;ITS;frequency 5.9 GHz;bandwidth 600 MHz","","4","","9","","","","","IEEE","IEEE Conferences"
"An effective and intelligent driver assistance and warning system for sustained safety","S. K. Thirupuranthakam; A. Negi","NA; NA","2014 IEEE International Conference on Vehicular Electronics and Safety","","2014","","","40","43","A brand new vehicle's operational safety as compared to a vehicle in service for several years is expected to be better. As a vehicle ages, sustained operational safety of the driver, passengers and the vehicle are of at most importance. In this paper, we shall view from a systems perspective, the parameters that account for the vehicle deterioration and present an analysis to determine the vehicle safety particularly at high speeds. Based on the analysis, a framework using neural networks and a rule based system is presented for enhancing the driver's ability to perceive danger.","","978-1-4799-1882","10.1109/ICVES.2014.7063721","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7063721","","Vehicles;Acceleration;Neural networks;Degradation;Roads;Training data;Safety","driver information systems;knowledge based systems;neural nets;road safety;road vehicles","intelligent driver assistance;warning system;sustained safety;vehicle operational safety;vehicle deterioration;neural networks;rule based system","","","","10","","","","","IEEE","IEEE Conferences"
"A safety concept for camera based ADAS based on multicore MCU","R. Tan","Infineon Technologies Asia Pacific","2014 IEEE International Conference on Vehicular Electronics and Safety","","2014","","","1","6","With the introduction of camera based ADAS systems; there is a need to consider the systems design in terms of functional safety. This is especially so in cases where system image identification results in decision to control the vehicle like in autonomous braking. Firstly, a review of functional safety is followed by a safety analysis of a camera based forward collision warning system. Potential hazards and safety goals will be described. A functional safety concept of the ECU based on multi core MCU is introduced based on image data flow from camera sensor to MCU. Safety mechanisms are introduced at each stage ensuring the correct processed image and decision based on that image. An actual MCU based design that implements these safety mechanisms is also described.","","978-1-4799-1882","10.1109/ICVES.2014.7063714","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7063714","","Cameras;Circuit faults;Random access memory;Monitoring;Hazards;Hardware","alarm systems;cameras;driver information systems;image processing;multiprocessing systems;road safety;safety systems","functional safety concept;camera based ADAS system;multicore MCU;systems design;system image identification;forward collision warning system","","","","8","","","","","IEEE","IEEE Conferences"
"Intersection safety service model using vehicle-to-vehicle communication","S. Pyo; J. Yoon; J. Lee; S. Lee","Department of Electronics and Computer Engineering, Hanyang University, Seoul, Korea; Department of Electronics and Computer Engineering, Hanyang University, Seoul, Korea; Department of Electronics and Computer Engineering, Hanyang University, Seoul, Korea; Department of Electronic Engineering, Hanyang University, Seoul, Korea","2014 International Conference on Information and Communication Technology Convergence (ICTC)","","2014","","","605","606","Vehicle-to-vehicle (V2V) communications can complement systems based on host vehicle information and are being actively researched. We suggest a safety service models using vehicle-to-vehicle communication when vehicles move in intersection. The suggested model uses wireless access in vehicular environment (WAVE) proposed by IEEE WG 802.11 and P1609 as the V2V communication protocol. This communication can provide GPS information for the surrounding vehicles. Through this method, the host vehicle recognizes other vehicles that approach from the left and right in unprotected intersection. Next, it provides the host driver with warnings through mathematical algorithms and models.","2162-1233;2162-1241","978-1-4799-6786","10.1109/ICTC.2014.6983223","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6983223","vehicle-to-vehicle communication;WAVE;safety service model","Vehicles;Mathematical model;Safety;Global Positioning System;Educational institutions;Business;Computational modeling","Global Positioning System;mobile computing;mobile radio;protocols;road safety;traffic engineering computing;wireless LAN","intersection safety service model;vehicle-to-vehicle communication;host vehicle information;wireless access;vehicular environment;WAVE;IEEE WG 802.11 communication protocol;P1609 communication protocol;GPS information","","2","","2","","","","","IEEE","IEEE Conferences"
"A new method to efficiently avoid flash crowd problem in VANET","C. Shengbin; L. Sangsun","Department of Electronics and Computer Engineering Hanyang University, Seoul, Korea; Department of Electronics and Computer Engineering Hanyang University, Seoul, Korea","2014 4th IEEE International Conference on Network Infrastructure and Digital Content","","2014","","","27","31","Currently, vehicular ad-hoc network (VANET) is one of the most successful mobile ad-hoc network (MANET) commercially. Vehicles use two kind of messages named Safety Alert Message in order to advertise their change of status. One of them is periodic safety message (PSM), the other is event driven safety message (EDS) which occurs as soon as the vehicles' status change abnormally. (i.e. change in speed or direction). As the control channel has to share the sync interval (SI) with the service channels, access to the control channel by the safety message is delayed during the service channel interval (SCHI). All safety messages generated during SCHI attempt to access as soon as control channel interval (CCHI) starts, which could result in flash crowd problem for the safety applications. In this paper, we propose group-based distributed periodic access scheme for the safety messages. This scheme uses hashing function to distribute the access time of the safety message into CCHI instead of SI within one group which is led by group leader (GL) using advanced grouping method.","2374-0272","978-1-4799-4734-8978-1-4799-5624","10.1109/ICNIDC.2014.7000259","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7000259","vanet;flash crowd problem","Vehicles;Safety;Vehicular ad hoc networks;Silicon;Synchronization;Conferences;Standards","cryptography;file organisation;telecommunication control;vehicular ad hoc networks","vehicular ad hoc network;VANET;flash crowd problem;mobile ad hoc network;MANET;safety alert message;periodic safety message;PSM;event driven safety message;EDS;sync interval;service channel interval;SCHI;control channel interval;CCHI;group-based distributed periodic access;hashing function;group leader","","","","12","","","","","IEEE","IEEE Conferences"
"Performance improvement of communication in zone based routing that uses cluster formation and bio-inspired computing in VANET","S. A. Umre; K. Mehta; L. Malik","G.H.Raisoni College of Engineering, Nagpur, India; G.H.Raisoni College of Engineering, Nagpur, India; G.H.Raisoni College of Engineering, Nagpur, India","2014 IEEE International Conference on Vehicular Electronics and Safety","","2014","","","147","151","The Vehicular Ad-hoc Networks (VANETs) is the most promising technology that can provide solution for vehicular traffic and safety. VANET establishes vehicle to vehicle communication, which can be implemented for the safety of the vehicles and for other services. The optimal utilization of VANET technology can be achieved with specially designed Routing Protocols. The enhancement in the technology asks for more efficient Routing Algorithms to be developed to meet the desired system requirements. The proposed system enables us to make maximum utilization of the VANET technology when used with Bio-Inspired computing for communication between nodes within a zone. The genetic algorithm proposed in this system can help to find out the most optimal path from source to destination. It can also help to reduce the energy consumption and delay with lesser data lost during transmission. The proposed system provides us a way to make the most utilization of the VANET technology.","","978-1-4799-1882","10.1109/ICVES.2014.7063739","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7063739","","Vehicles;Routing protocols;Routing;Vehicular ad hoc networks;Genetic algorithms;Biological system modeling","routing protocols;vehicular ad hoc networks","VANET technology;routing protocols;optimal utilization;vehicle to vehicle communication;cluster formation;bio-inspired computing;vehicular ad-hoc networks;zone based routing","","","","10","","","","","IEEE","IEEE Conferences"
"A privacy-preserving authentication and Sybil detection protocol for vehicular ad hoc networks","T. M. de Sales; H. O. Almeida; A. Perkusich; L. de Sales; M. de Sales","Federal University of Campina Grande, Brazil; Federal University of Campina Grande, Brazil; Federal University of Campina Grande, Brazil; Federal University of Campina Grande, Brazil; Intuit, Inc. San Diego, C.A, USA","2014 IEEE International Conference on Consumer Electronics (ICCE)","","2014","","","426","427","In vehicular ad hoc networks (VANETs), the trade-off between privacy and authentication leads to a harmful type of network attack called Sybil attack. The challenging is to avoid and detect such attack without compromising user (vehicle) privacy. Thus, this paper proposes a privacy-preserving authentication and Sybil detection protocol for VANETs.","2158-3994;2158-4001","978-1-4799-1291-9978-1-4799-1290","10.1109/ICCE.2014.6776070","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6776070","","Vehicles;Privacy;Protocols;Vehicular ad hoc networks;Authentication;Safety;Accidents","data privacy;message authentication;protocols;vehicular ad hoc networks","privacy preserving authentication;Sybil detection protocol;vehicular ad hoc networks;VANET","","1","","4","","","","","IEEE","IEEE Conferences"
"Impact of two realistic mobility models for vehicular safety applications","M. H. Rahman; M. Nasiruddin","Dept. of Computer Science, American International University-Bangladesh, Dhaka, Bangladesh; Dept. of Computer Science, Univ. Grenoble Alpes, France","2014 International Conference on Informatics, Electronics & Vision (ICIEV)","","2014","","","1","6","Vehicular safety applications intended for VANETs. It can be separated by inter-vehicle communication. It is needed for a vehicle can travel safety with high velocity and must interconnect quickly dependably. In this work, examined the impact of the IDM-IM and IDM-LC mobility model on AODV, AOMDV, DSDV and OLSR routing protocol using Nakagami propagation model and IEEE 802.11p MAC protocol in a particular urban scenario of Dhaka city. The periodic broadcast (PBC) agent is employed to transmit messages between vehicles in case of emergency or collision avoidance for vehicular safety communication. The simulation results recommend numerous concerns such as lower packet drop rate, delay, jitter, route cost and mean-hop is necessary to be measured before developing a robust safety application of VANET.","","978-1-4799-5180-2978-1-4799-5179-6978-1-4799-5178","10.1109/ICIEV.2014.6850709","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6850709","VANET;AODV;AOMDV;DSDV;OLSR;IDM-IM;IDM-LC;PBC;IEEE 802.11p;Nakagami","Throughput;Vehicles;Routing protocols;Routing;Jitter;Nakagami distribution;Delays","access protocols;jitter;mobility management (mobile radio);multipath channels;Nakagami channels;radiowave propagation;road safety;routing protocols;telecommunication congestion control;vehicular ad hoc networks;wireless LAN","realistic mobility models;VANET;intervehicle communication;IDM-IM mobility model;IDM-LC mobility model;AODV routing protocol;AOMDV routing protocol;DSDV routing protocol;OLSR routing protocol;Nakagami propagation model;IEEE 802.11p MAC protocol;Dhaka city;periodic broadcast agent;PBC;collision avoidance;vehicular safety communication;lower packet drop rate;delay;jitter;route cost;mean-hop;vehicular ad-hoc network;vehicle-to-infrastructure communication mode;vehicle-to-vehicle communication mode;ad-hoc on-demand distance vector;ad-hoc on-demand multipath distance vector;destination sequenced distance vector;optimized link state routing","","3","","19","","","","","IEEE","IEEE Conferences"
"Safety system of an electric vehicle for formula racing","G. S. Naga Sruthi; Rishikeshvibhute; U. Karmarkar; S. Chandra; S. M. Iyengar","Vellore Institute of Technology, India; Vellore Institute of Technology, India; Vellore Institute of Technology, India; Vellore Institute of Technology, India; Vellore Institute of Technology, India","2014 IEEE International Conference on Vehicular Electronics and Safety","","2014","","","44","49","Developing an Electric Formula car has its own challenges associated with it, perhaps what convolutes the case is the proper safety measures that needs to be in place to ensure the well being of the driver. A formula car must perform well as to achieve extremely high speed in a really small time frame, and also keep a tab on proper working of all the components which otherwise could be catastrophic. While Mechanical parts have their own safety standards and measures in place, electrical parts and safety designing should follow the stringent rules of FSAE. The paper discusses an innovative way in which safety systems of a highly safe Formula electric vehicle was achieved by Analog circuits designing and Electronic Control Unit (ECU) programming, taking into consideration different possibilities and at the same time conforming to the uncompromising rules of FSAE.","","978-1-4799-1882","10.1109/ICVES.2014.7063722","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7063722","ECU;FSAE;Safety Systems","Vehicles;Circuit faults;Latches;Batteries;Switches;Safety;Relays","automotive electronics;electric vehicles;safety systems;vehicle dynamics","Electric Formula car;safety measures;mechanical parts;safety standards;electrical parts;safety designing;FSAE;analog circuits designing;electronic control unit programming;ECU programming","","2","","4","","","","","IEEE","IEEE Conferences"
"Automated tyre pressure monitoring and regulating system","G. Petchinathan; K. S. Sricharan; R. R. Bharath; T. Thiyagarajan; S. S. Kumar","Department of Electronics and Instrumentation, Sri Sai Ram Engineering College, Chennai, India; Department of Electronics and Instrumentation, Sri Sai Ram Engineering College, Chennai, India; Department of Electronics and Instrumentation, Sri Sai Ram Engineering College, Chennai, India; Department of Electronics and Instrumentation, Sri Sai Ram Engineering College, Chennai, India; Department of Electronics and Instrumentation, Sri Sai Ram Engineering College, Chennai, India","2014 IEEE International Conference on Vehicular Electronics and Safety","","2014","","","22","27","Accurate tyre pressure is a feature that gives us the advantage of higher fuel savings, and better control of the vehicle The proposed system is designed to refill the tyre pressure even when the vehicle is in motion. In an event of a puncture the tyre pressure is still maintained at the set point until the user takes the vehicle to the repair station. The heart of the system is a combination of pistons which act together to refill the tyre. Temperature compensated pressure sensor keeps a constant vigil on the value of the tyre pressure. Separate mechanisms are included to refill and also to reduce the pressure. Thus this system allows the user to modify the set point of the tyre pressure which would prove necessary when the number of people in the vehicle change or there is a change in the type of the road in which the vehicle traverses. This system is implemented in a tyre with real time variables. This paper deals with the technology and the results of the proposed system.","","978-1-4799-1882","10.1109/ICVES.2014.7063718","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7063718","tyre pressure regulation;Green technology;Driver assistance and control system;Vehicle control;vehicular sensor","Tires;Valves;Pistons;Solenoids;Vehicles;Relays;Fuels","automotive components;automotive electrics;pressure sensors;tyres","automated tyre pressure monitoring;regulating system;temperature compensated pressure sensor","","1","","18","","","","","IEEE","IEEE Conferences"
