"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Driver classification for intelligent transportation systems using fuzzy logic","S. Fernandez; T. Ito","Nagoya Institute of technology, Gokiso-cho, Showa-ku, Japan; Nagoya Institute of technology, Gokiso-cho, Showa-ku, Japan","2016 IEEE 19th International Conference on Intelligent Transportation Systems (ITSC)","","2016","","","1212","1216","Intelligent transportation systems are a set of technological solutions used to improve the performance and safety of road transportation. A crucial element that affects road safety is driver behavior, because driver errors are usually the principal cause of traffic accidents. Therefore, understanding and modeling human driver behavior is extremely important for the safety of the road transportation. In this paper, a Fuzzy rule-based system to classify the drivers in different profiles according to their behavior is proposed. The system will be integrated in intelligent transportation architecture, which can be used to predict and avoid traffic accidents and to optimize the routing management.","2153-0017","978-1-5090-1889-5978-1-5090-1888-8978-1-5090-1890","10.1109/ITSC.2016.7795711","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7795711","inteligent transportation systems;driver behavior;fuzzy rule-based systems","Acceleration;Automobiles;Brakes;Safety;Roads;Engines","fuzzy logic;intelligent transportation systems;knowledge based systems;road accidents;road safety","routing management optimization;intelligent transportation architecture;fuzzy rule-based system;human driver behavior modelling;human driver behavior understanding;traffic accidents;driver errors;road transportation safety;road transportation performance;fuzzy logic;intelligent transportation systems;driver classification","","3","","20","","","","","IEEE","IEEE Conferences"
"Field test results analysis in urban rail transit train ground communication systems of integrated service using LTE-M","T. Tang; Keping Dai; Yanbing Zhang; Hongli Zhao; Hailin Jiang","State Key Laboratory of Rail Traffic Control and Safety, Beijing Jiaotong University, China; Beijing Rail Transit Construction and Management Co., Ltd., China; Beijing Rail Transit Construction and Management Co., Ltd., China; National Engineering Research Center of Rail Transportation Operation and Control System, Beijing Jiaotong University, China; National Engineering Research Center of Rail Transportation Operation and Control System, Beijing Jiaotong University, China","2016 IEEE 19th International Conference on Intelligent Transportation Systems (ITSC)","","2016","","","2017","2021","Different services are separated by independent train ground communication networks in existing urban rail transit systems. Most of the independent train ground communication system are using IEEE 802.11 based WLAN technologies, which has many drawbacks when used in urban rail transit system, such as high speed performance degradation, open free frequency, etc. In this paper, we design a train ground communication system for Integrated Service in urban rail transit/metro system using LTE technology (LTE-M). Dedicated frequency spectrum is used in the LTE-M based system. The real LTE-M based system is built on the ring rail line in Beijing to perform the field test. The performance of the integrated services including the CBTC, PIS, IMS and TOSM (Train Operation State Monitoring) are tested. Extensive test results show the advantages of LTE-M. The test results analysis also illustrates the disadvantages of using LTE-M in urban rail, and gives some advises for LTE-M based system design in engineering.","2153-0017","978-1-5090-1889-5978-1-5090-1888-8978-1-5090-1890","10.1109/ITSC.2016.7795882","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7795882","","Rails;Rail transportation;Wireless LAN;Monitoring;Delays;Quality of service","intelligent transportation systems;Long Term Evolution;rail traffic control;wireless LAN","urban rail transit train ground communication systems;integrated service;frequency spectrum;LTE-M based system;field test results analysis;train operation state monitoring;IEEE 802.11 based WLAN technology","","6","","12","","","","","IEEE","IEEE Conferences"
"Abnormal hotspots detection method based on region real-time congestion factor","Lingqiu Zeng; Xiaochang Hu; Qingwen Han; Lei Ye; Ruimei Wang; Xueying He; Yongbing Xu","College of Computer Science, Chongqing University, 400044 China; Chongqing Automotive Collaborative Innovation Center, Chongqing University, 400044, China; College of Communication Engineering, Chongqing University, 400044 China; College of Communication Engineering, Chongqing University, 400044 China; College of Computer Science, Chongqing University, 400044 China; College of Communication Engineering, Chongqing University, 400044 China; Department of Electronics, University of York, YO10 5DD United Kingdom","2016 IEEE 19th International Conference on Intelligent Transportation Systems (ITSC)","","2016","","","749","753","Road hotspots detection method is a key issue in the field of intelligent transportation research. Compared with normal hotspots caused by high traffic flow, abnormal hotspots, which are results of road accidents, perform an occurrence time random behavior and difficult to predict. In this paper, a region real-time congestion factor is constructed to realize road abnormal hotspots discovery. Based on taxi's GPS data of Hangzhou City, China, we analyze the relationship between proposed congestion factor and the real-time traffic data. Two accidental scenarios are built to verify the validity of the proposed method. The experiment results show that the proposed method performs well in real-time abnormal hotspot detection and analysis output could be useful in path planning and traffic management.","2153-0017","978-1-5090-1889-5978-1-5090-1888-8978-1-5090-1890","10.1109/ITSC.2016.7795638","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7795638","","Roads;Accidents;Real-time systems;Public transportation;Vehicles;Urban areas;Global Positioning System","Global Positioning System;intelligent transportation systems;research and development;road accidents;road traffic","abnormal hotspots detection method;region real-time congestion factor;road hotspots detection method;intelligent transportation research;high traffic flow;road accidents;occurrence time random behavior;taxi GPS data;Hangzhou city;China;path planning;traffic management","","","","15","","","","","IEEE","IEEE Conferences"
"Searching parking spaces in urban environments based on non-stationary Poisson process analysis","Lei Peng; Huiyun Li","Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, The Chinese University of Hong Kong, 518055 China; Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, The Chinese University of Hong Kong, 518055 China","2016 IEEE 19th International Conference on Intelligent Transportation Systems (ITSC)","","2016","","","1951","1956","Searching parking spaces in urban cities has been a problem in development of intelligent transportation system for a long time. The existing methods usually require numerous sensors to collect vacancy information, and a central server shares and updates the real-time information on request. However, this sensor-based scheme often demands huge investment on infrastructure construction and maintenance. We propose a cost-effective parking space searching method by prediction with time-varying analysis of historical data. We model the discrete occupancy rates of the parking lots as non-stationary Poisson processes, whist taking consideration of traveling cost with different directions of the parking lots. The case study on the urban city area demonstrates that the proposed search method is feasible to be applied to real world efficiently and cost-effectively.","2153-0017","978-1-5090-1889-5978-1-5090-1888-8978-1-5090-1890","10.1109/ITSC.2016.7795871","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7795871","parking space search;time-varying analysis;non-stationary Poisson process","Vehicles;Urban areas;Real-time systems;Search problems;Sensors;Space exploration","intelligent transportation systems;stochastic processes;traffic information systems","urban city area;traveling cost;nonstationary Poisson processes;parking lots;discrete occupancy rates;historical data;time-varying analysis;cost-effective parking space searching method;maintenance;infrastructure construction;real-time information;central server;vacancy information;intelligent transportation system;nonstationary Poisson process analysis;urban environments;parking spaces","","","","16","","","","","IEEE","IEEE Conferences"
"A framework for cars to join or leave a car formation","F. Zhang; S. Tang; D. Shen","College of Information Science and Technology, Beijing University of Chemical Technology, Institute of Automation, Chinese Academy of Sciences, 100190, China; Technology and System Center of Intelligent Manufacturing, the Institute of Automation, Chinese Academy of Sciences, Beijing 100190, China; College of Information Science and Technology, Beijing University of Chemical Technology, 100029, China","2016 IEEE 19th International Conference on Intelligent Transportation Systems (ITSC)","","2016","","","72","76","We design a framework for a group of autonomous smart cars that allows them to come into a formation and for one to join the formation or leave the formation (we call it CJL). We propose a concept of switching distance to make the formation change more smoothly. Because a control input of any one of cars is constrained for a CJL, we will discuss its control algorithms. Some simulations will be shown in this paper. They will prove that the ability of the framework to realize a formation control.","2153-0017","978-1-5090-1889-5978-1-5090-1888-8978-1-5090-1890","10.1109/ITSC.2016.7795534","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7795534","framework;formation control;autonomous smart car;switching distance;simulation","Conferences;Intelligent transportation systems","control system synthesis;mobile robots;multi-robot systems;road traffic control;road vehicles","formation control;control algorithms;switching distance;CJL;autonomous smart cars;car formation","","","","14","","","","","IEEE","IEEE Conferences"
"Towards blockchain-based intelligent transportation systems","Y. Yuan; F. Wang","State Key Laboratory of Management and Control for Complex Systems, Institute of Automation, Chinese Academy of Sciences (SKL-MCCS, CASIA), Beijing, 100190, China; SKL-MCCS, CASIA, China","2016 IEEE 19th International Conference on Intelligent Transportation Systems (ITSC)","","2016","","","2663","2668","Blockchain, widely known as one of the disruptive technologies emerged in recent years, is experiencing rapid development and has the full potential of revolutionizing the increasingly centralized intelligent transportation systems (ITS) in applications. Blockchain can be utilized to establish a secured, trusted and decentralized autonomous ITS ecosystem, creating better usage of the legacy ITS infrastructure and resources, especially effective for crowdsourcing technology. This paper conducts a preliminary study of Blockchain-based ITS (B<sup>2</sup>ITS). We outline an ITS-oriented, seven-layer conceptual model for blockchain, and on this basis address the key research issues in B<sup>2</sup>ITS. We consider that blockchain is one of the secured and trusted architectures for building the newly developed parallel transportation management systems (PtMS) , and thereby discuss the relationship between B<sup>2</sup>ITS and PtMS. Finally, we present a case study for blockchain-based realtime ride-sharing services. In our viewpoint, B<sup>2</sup>ITS represents the future trend of ITS research and practice, and this paper is aimed at stimulating further effort and providing helpful guidance and reference for future research works.","2153-0017","978-1-5090-1889-5978-1-5090-1888-8978-1-5090-1890","10.1109/ITSC.2016.7795984","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7795984","","Peer-to-peer computing;Ecosystems;Cryptography;Vehicles;Complexity theory","intelligent transportation systems","blockchain-based realtime ride-sharing service;PtMS;parallel transportation management system;ITS-oriented seven-layer conceptual model;B<sup>2</sup>ITS;crowdsourcing technology;autonomous ITS ecosystem;blockchain-based intelligent transportation system","","53","","32","","","","","IEEE","IEEE Conferences"
"PID control applied on a line-follower AGV using a RGB camera","M. V. Gomes; L. A. Bássora; O. Morandin; K. C. T. Vivaldini","Department of Computer Science, Federal University of São Carlos, SP, Brazil; Department of Electrical Engineering, North of São Paulo University Center, São Jos do Rio Preto, Brazil; Department of Computer Science, Federal University of São Carlos, SP, Brazil; Department of Computer Science, Federal University of São Carlos, SP, Brazil","2016 IEEE 19th International Conference on Intelligent Transportation Systems (ITSC)","","2016","","","194","198","This paper aims to develop a control algorithm for a unicycle type AGV (Automated Guided Vehicle) to follow a trajectory predefined by a line avoiding oscillation on its movements. At the first tests the PID controller will be applied. On some applications cameras are used to help a robot follow a track (instead of infra red sensors), determining if it should keep a forward movement or turn to any sides. On this application, the camera is used in the PID control loop as a sensor to give feedback information, thus evaluating the efficiency of the control system allied with computer vision. This type of application simplifies the sensing system of a line follower AGV and makes possible to use the camera to other means, such as token and color identification. Considering a simplified model and a classic control technique, the results presented have showed stability on lower speeds.","2153-0017","978-1-5090-1889-5978-1-5090-1888-8978-1-5090-1890","10.1109/ITSC.2016.7795553","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7795553","","Cameras;Vehicles;Mathematical model;Robot vision systems;Trajectory","automatic guided vehicles;CCD image sensors;computer vision;intelligent transportation systems;three-term control","computer vision;automated guided vehicle;RGB camera;line-follower AGV;PID control","","2","","16","","","","","IEEE","IEEE Conferences"
"Real-time planning for adjacent consecutive intersections","F. Garrido; D. González; V. Milanés; J. Pérez; F. Nashashibi","Inria Paris, Robotics and Intelligent Transportation Systems (RITS) Team, 2 Rue Simone IFF, 75012, France; Inria Paris, Robotics and Intelligent Transportation Systems (RITS) Team, 2 Rue Simone IFF, 75012, France; Inria Paris, Robotics and Intelligent Transportation Systems (RITS) Team, 2 Rue Simone IFF, 75012, France; Tecnalia, Calle Geldo, Edificio 700, Parque Cientfico y Tecnolgico de Bizkaia, E-48160 Derio, Spain; Inria Paris, Robotics and Intelligent Transportation Systems (RITS) Team, 2 Rue Simone IFF, 75012, France","2016 IEEE 19th International Conference on Intelligent Transportation Systems (ITSC)","","2016","","","1108","1113","Real-time path planning constitutes one of the hot topics when developing automated driving. Different path planning techniques have been studied in both the robotics and automated vehicles fields trying to improve the trajectory generation and its tracking. In this paper, a novel local path planning algorithm combining both off-line and real-time generation for automated vehicles in urban environments is presented. It takes advantage of an off-line planning strategy to achieve a smooth and continuous trajectory generation with adjacent consecutive intersections. Therefore, this approach allows a smooth and continuous trajectory by means of planning consecutive curves concurrently, i.e., it will plan the upcoming curve and the following one in advance, taking into account the constraints of the infrastructure and the physical limitations of the vehicle. The real-time planning algorithm has been tested in simulation based on the INRIA-RITS vehicles architecture. The results obtained show an improvement in the smoothness, continuity and comfort of the generated paths.","2153-0017","978-1-5090-1889-5978-1-5090-1888-8978-1-5090-1890","10.1109/ITSC.2016.7795695","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7795695","","Vehicles;Trajectory;Planning;Roads;Real-time systems;Databases","intelligent transportation systems;road traffic control","real-time planning;adjacent consecutive intersections;automated vehicles;urban environments;INRIA-RITS vehicles architecture","","","","22","","","","","IEEE","IEEE Conferences"
"A study of vehicle detector generalization on U.S. highway","R. N. Rajaram; E. Ohn-Bar; M. M. Trivedi","Laboratory for Intelligent and Safe Automobiles, University of California, San Diego, United States; Laboratory for Intelligent and Safe Automobiles, University of California, San Diego, United States; Laboratory for Intelligent and Safe Automobiles, University of California, San Diego, United States","2016 IEEE 19th International Conference on Intelligent Transportation Systems (ITSC)","","2016","","","277","282","Vehicle detection is an essential task in an intelligent vehicle. Despite being a well-studied vision problem, it is unclear how well vehicle detectors generalize to new settings. Specifically, this paper studies the generalization capability of vehicle detectors on a U.S. highway dataset. Two types of models are employed in the experimental analysis, a subcategory aggregate channel features model and a region-based convolutional neural network model. The experiments demonstrate limited generalization capability of pre-trained models when evaluated on a dataset captured in new settings. This observation motivates technical modifications in order to improve generalization to the new dataset. By exploring novel training techniques, we significantly improve detection performance by up to 10%, demonstrating the importance of studying cross-dataset generalization.","2153-0017","978-1-5090-1889-5978-1-5090-1888-8978-1-5090-1890","10.1109/ITSC.2016.7795567","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7795567","","Detectors;Vehicles;Road transportation;Training;Testing;Data models;Vehicle detection","feedforward neural nets;learning (artificial intelligence);object detection;traffic engineering computing","vehicle detector generalization;US highway;intelligent vehicle;vision problem;region-based convolutional neural network model;subcategory aggregate channel features model;training techniques;cross-dataset generalization;generalization capability","","1","","18","","","","","IEEE","IEEE Conferences"
"Intelligent transport systems and visible light communication applications: An overview","R. M. Marè; C. E. Cugnasca; C. L. Marte; G. Gentile","Digital Systems and Computer Engineering Department, Engineering School of the University of São Paulo, 05508-900 Brazil; Digital Systems and Computer Engineering Department, Engineering School of the University of São Paulo, 05508-900 Brazil; Transportation Department, Engineering School of the University of São Paulo, 05508-010 Brazil; Transportation Department, Sapienza University, Rome, 00185 Italy","2016 IEEE 19th International Conference on Intelligent Transportation Systems (ITSC)","","2016","","","2101","2106","The context of the Internet of Things and the growing use of mobile devices have demanded wireless communication alternatives, complementary to radio frequency. As a promising alternative, optical wireless communication has emerged, due to significant deployments in solid-state lighting technology. Light-emitting diodes have been adopted in many domains, both indoors and outdoors. In this case, they can be seen in traffic lights, vehicles, and public lighting. Since this lighting component is the base of the visible light communication, there are many opportunities to be explored regarding intelligent transport systems, some of them, already proposed or developed worldwide. As presented in this article, visible light communication has the potential to provide a significant contribution to the communication demands in the intelligent transport systems scenario.","2153-0017","978-1-5090-1889-5978-1-5090-1888-8978-1-5090-1890","10.1109/ITSC.2016.7795896","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7795896","","Vehicles;Wireless communication;Roads;Light emitting diodes;Context;Data communication;Digital video broadcasting","free-space optical communication;intelligent transportation systems","lighting component;vehicles;public lighting;traffic light;light-emitting diode;solid-state lighting technology;optical wireless communication;mobile device;Internet of Things;visible light communication applications;intelligent transport system","","1","","45","","","","","IEEE","IEEE Conferences"
