"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Design of passivity-based controllers for lateral dynamics of intelligent vehicles","G. Tagne; R. Talj; A. Charara","Heudiasyc Laboratory, UMR CNRS 7253, Universit&#x00E9; de Technologie de Compi&#x00E8;gne, BP 20529, 60205 Compi&#x00E8;gne, France; Heudiasyc Laboratory, UMR CNRS 7253, Universit&#x00E9; de Technologie de Compi&#x00E8;gne, BP 20529, 60205 Compi&#x00E8;gne, France; Heudiasyc Laboratory, UMR CNRS 7253, Universit&#x00E9; de Technologie de Compi&#x00E8;gne, BP 20529, 60205 Compi&#x00E8;gne, France","2015 IEEE Intelligent Vehicles Symposium (IV)","","2015","","","1044","1049","This paper deals with the lateral control of intelligent vehicles. It is based on the passivity results presented recently in [1]. It shows how the intrinsic properties of the lateral dynamics can be used to design robust controllers for tracking of a reference trajectory. The additional passivity properties proved in this paper allow to theoretically explain some previous results in the literature. Then a PI controller based on the state feedback of passive outputs is proposed. Simulation validation was performed using real data representing common driving situations. Data acquisition has been made using the vehicle DYNA of Heudiasyc laboratory. This validation serves to highlight the improvement provided by the proposed approach.","1931-0587","978-1-4673-7266-4978-1-4673-7265","10.1109/IVS.2015.7225822","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7225822","","Vehicles;Vehicle dynamics;Robustness;Data models;Tires;Closed loop systems;Intelligent vehicles","control system synthesis;mobile robots;PI control;road vehicles;robot dynamics;robust control;state feedback;trajectory control;vehicle dynamics","passivity-based controller design;lateral dynamics;intelligent vehicles;robust controller design;reference trajectory tracking;PI controller;state feedback;driving situation;DYNA vehicle;Heudiasyc laboratory","","","","","","","","","IEEE","IEEE Conferences"
"A proposal for Neuro-ITS over the connected vehicles network","M. Sasaki","Advanced Research div, of DENSO CORPORATION, 500-1, Minamiyama Komenoki-cho, Nisshin-shi, Aichi-ken 470-0111, Japan","2015 IEEE Intelligent Vehicles Symposium (IV)","","2015","","","1","6","On the basis of the recent technical trend of automated vehicles and connected vehicles, we have been proposing the new application concept Neuro-ITS which has three major technical features such as multi-viewpoint tracking, human appearance prediction, and collective intelligence. Especially by combining the collective intelligence with sensing control, we will drastically reduce the hectic tasks to collect and teach huge size of GT (ground truth) which has been serious bottleneck of conventional machine learning. Also it will greatly improve the performance of environment understanding beyond perception. In this article, we focus on the collective intelligence and investigate the technical realization regarding the evolutionary process of ET (estimated truth) towards GT.","1931-0587","978-1-4673-7266-4978-1-4673-7265","10.1109/IVS.2015.7225653","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7225653","","Vehicles;Roads;Trajectory;Spatiotemporal phenomena;Cameras;Mobile communication","evolutionary computation;intelligent transportation systems;learning (artificial intelligence);neural nets;road vehicles","neuro-ITS;connected vehicle network;automated vehicles;connected vehicles;multiviewpoint tracking;human appearance prediction;collective intelligence;sensing control;GT;ground truth;machine learning;evolutionary process;ET;estimated truth","","","","3","","","","","IEEE","IEEE Conferences"
"Using EEG to recognize emergency situations for brain-controlled vehicles","T. Teng; L. Bi; X. Fan","School of Mechanical Engineering, Beijing Institute of Technology, Beijing 100081 China; School of Mechanical Engineering, Beijing Institute of Technology, Beijing 100081 China; School of Mechanical Engineering, Beijing Institute of Technology, Beijing 100081 China","2015 IEEE Intelligent Vehicles Symposium (IV)","","2015","","","1305","1309","This paper proposes a novel method to recognize an emergency situation by translating EEG signals of a disabled driver while he or she uses a brain-machine interface without using his or her limbs to drive a vehicle. EEG signals were first filtered by independent component analysis along with information entropy. And then the sums of powers of theta wave in the power spectrum of EEG signals from 13 channels were used as features of the classifier built by linear discriminant analysis. The pilot experimental results from two participants in a driving simulator indicated that the model recognized emergency situations (e.g., pedestrian sudden occurrence) 400 ms earlier than the response of drivers with a hit rate of 76.4%, suggesting that the proposed method is feasible. The proposed method can be used as a complementary method to the existing ones based on detecting external objects with sensors.","1931-0587","978-1-4673-7266-4978-1-4673-7265","10.1109/IVS.2015.7225896","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7225896","EEG;emergency situations;disabled individuals;brain-controlled vehicles","Electroencephalography;Vehicles;Feature extraction;Brain modeling;Bismuth;Filtering;Roads","brain-computer interfaces;electroencephalography;handicapped aids;independent component analysis;intelligent transportation systems","emergency situations;brain-controlled vehicles;EEG signals;disabled driver;brain-machine interface;independent component analysis;information entropy;linear discriminant analysis","","6","","15","","","","","IEEE","IEEE Conferences"
"Distributed graph-based convoy control for networked intelligent vehicles","A. Marjovi; M. Vasic; J. Lemaitre; A. Martinoli","Distributed Intelligent Systems and Algorithms Laboratory, School of Architecture, Civil and Environmental Engineering, École Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland; Distributed Intelligent Systems and Algorithms Laboratory, School of Architecture, Civil and Environmental Engineering, École Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland; Distributed Intelligent Systems and Algorithms Laboratory, School of Architecture, Civil and Environmental Engineering, École Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland; Distributed Intelligent Systems and Algorithms Laboratory, School of Architecture, Civil and Environmental Engineering, École Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland","2015 IEEE Intelligent Vehicles Symposium (IV)","","2015","","","138","143","This paper presents an approach for formation control of multi-lane vehicular convoys in highways. We extend a Laplacian graph-based, distributed control law such that networked intelligent vehicles can join or leave the formation dynamically without jeopardizing the ensemble's stability. Additionally, we integrate two essential control behaviors for lane-keeping and obstacle avoidance into the controller. To increase the performance of the convoy controller in terms of formation maintenance and fuel economy, the parameters of the controller are optimized in realistic scenarios using Particle Swarm Optimization (PSO), a powerful metaheuristic optimization method well-suited for large parameter spaces. The performances of the optimized controllers are evaluated in high-fidelity multi-vehicle simulations outlining the efficiency and robustness of the proposed strategy.","1931-0587","978-1-4673-7266-4978-1-4673-7265","10.1109/IVS.2015.7225676","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7225676","","Vehicles;Vehicle dynamics;Collision avoidance;Roads;Intelligent vehicles;Laplace equations","collision avoidance;distributed control;graph theory;particle swarm optimisation;road traffic control;road vehicles","distributed graph-based convoy control;high-fidelity multivehicle simulation;metaheuristic optimization method;PSO;particle swarm optimization;controller parameters;fuel economy;formation maintenance;obstacle avoidance;lane-keeping behavior;Laplacian graph-based distributed control law;multilane vehicular convoys;formation control;networked intelligent vehicles","","11","","20","","","","","IEEE","IEEE Conferences"
"Compensation of wireless communication delay for integrated risk management of automated vehicle","D. Shin; K. Yi","Seoul National University, Seoul, Korea; Seoul National University, Seoul, Korea","2015 IEEE Intelligent Vehicles Symposium (IV)","","2015","","","1355","1360","For the generic assessment and the total management of collision risks in urban driving situations, it is important to estimate and represent the target vehicles' behavior such as yaw rate, absolute velocity and acceleration which are state of the target vehicle. To achieve this, this paper presents a compensation of wireless communication delay for integrated risk management of automated vehicle. Recent developments in vehicle onboard computers and wireless communications devices, also known as dedicated short-range communication (DSRC) devices allow the exchange of information between vehicles (inter-vehicle communications). In an application of vehicle to vehicle (V2V) communication, the most important issue is to handle delay which has a negative impact on safety issue since communication networks generally introduce delays. To cope with this problem, the inter-vehicle communication system is firstly modelled by reflecting signal characteristic. To compensate the communication delay, state augmented estimation algorithm is used based on extended Kalman filters (EKF). The performance of the proposed estimation algorithm is verified via real time simulations.","1931-0587","978-1-4673-7266-4978-1-4673-7265","10.1109/IVS.2015.7225904","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7225904","","Vehicles;Delays;Estimation;Wireless communication;Acceleration;Delay effects;Roads","accident prevention;Kalman filters;nonlinear filters;risk management;vehicular ad hoc networks","automated vehicle integrated risk management;wireless communication delay compensation;collision risk management;urban driving situation;vehicle onboard computer;dedicated short-range communication;wireless communication device;intervehicle communication;vehicle to vehicle communication;V2V communication;vehicle safety issue;state augmented estimation algorithm;extended Kalman filter;EKF","","1","","15","","","","","IEEE","IEEE Conferences"
"Map free lane following based on low-cost laser scanner for near future autonomous service vehicle","S. Zhiwei; H. Weiwei; W. Ning; W. Xiaojun; W. C. Y. Anthony; V. B. Saputra; B. C. H. Quan; C. J. Simon; Z. Qun; Y. Susu; H. B. Siew","Autonomous Vehicle Department, Institute for Infocomm Research (I2R), Agency for Science, Technology and Research (A∗STAR), 1 Fusionopolis Way, Singapore 138632; Autonomous Vehicle Department, Institute for Infocomm Research (I2R), Agency for Science, Technology and Research (A∗STAR), 1 Fusionopolis Way, Singapore 138632; Autonomous Vehicle Department, Institute for Infocomm Research (I2R), Agency for Science, Technology and Research (A∗STAR), 1 Fusionopolis Way, Singapore 138632; Autonomous Vehicle Department, Institute for Infocomm Research (I2R), Agency for Science, Technology and Research (A∗STAR), 1 Fusionopolis Way, Singapore 138632; Autonomous Vehicle Department, Institute for Infocomm Research (I2R), Agency for Science, Technology and Research (A∗STAR), 1 Fusionopolis Way, Singapore 138632; Autonomous Vehicle Department, Institute for Infocomm Research (I2R), Agency for Science, Technology and Research (A∗STAR), 1 Fusionopolis Way, Singapore 138632; Autonomous Vehicle Department, Institute for Infocomm Research (I2R), Agency for Science, Technology and Research (A∗STAR), 1 Fusionopolis Way, Singapore 138632; Autonomous Vehicle Department, Institute for Infocomm Research (I2R), Agency for Science, Technology and Research (A∗STAR), 1 Fusionopolis Way, Singapore 138632; Autonomous Vehicle Department, Institute for Infocomm Research (I2R), Agency for Science, Technology and Research (A∗STAR), 1 Fusionopolis Way, Singapore 138632; Autonomous Vehicle Department, Institute for Infocomm Research (I2R), Agency for Science, Technology and Research (A∗STAR), 1 Fusionopolis Way, Singapore 138632; Autonomous Vehicle Department, Institute for Infocomm Research (I2R), Agency for Science, Technology and Research (A∗STAR), 1 Fusionopolis Way, Singapore 138632","2015 IEEE Intelligent Vehicles Symposium (IV)","","2015","","","706","711","This paper proposes a map free lane following solution based on low-cost 2D laser scanners for Autonomous Service Vehicle to fill the gap between future driverless car and the lane keeping assistant. The applications of autonomous service vehicle include feeder bus in a local residential area, shuttle bus in a park or playground, sprinkler car, sweeper car, and transporter in airport or container terminal. As autonomous service vehicle is running only in a limited area and its speed is slow compared to normal vehicles, we can further simplify the problem regardless of the issues of road infrastructure detection/communication and V2I maps which prevent the popularization of driverless car, and to propose a unique map free solution. The features of our approach include: 1) an innovative configuration for two 2D laser scanners to detect the lane with sharp curve; 2) a fast and accurate lane detection algorithm based on 2D laser's raw date directly; 3) a reliable and smooth path planning based on local lane fitting and prediction; and 4) a self-built unique drive-by-wire system for electronic car. We successfully tested our vehicle with autonomous driving in the testing field. The experiments show that the vehicle's trajectory matched the planned path accurately.","1931-0587","978-1-4673-7266-4978-1-4673-7265","10.1109/IVS.2015.7225767","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7225767","","Vehicles;Roads;Wheels;Path planning;Mobile robots;Laser radar;Testing","automobiles;feature extraction;intelligent transportation systems;mobile robots;optical scanners;path planning;trajectory control","map free lane following;laser scanner;autonomous service vehicle;driverless car;lane keeping assistant;lane detection algorithm;path planning;drive-by-wire system;electronic car;vehicle trajectory","","2","","16","","","","","IEEE","IEEE Conferences"
"Development and implement of an inspection robot for power substation","H. Zhang; B. Su; H. Song; W. Xiong","Unmanned Ground Vehicle Research &amp; Development Center, China North Vehicle Research Institute; Unmanned Ground Vehicle Research &amp; Development Center, China North Vehicle Research Institute; Department of Information and Control Technology, China North Vehicle Research Institute; Unmanned Ground Vehicle Research &amp; Development Center, China North Vehicle Research Institute","2015 IEEE Intelligent Vehicles Symposium (IV)","","2015","","","121","125","Along with the development demand of intelligent power substation, mobile robot is implemented to serve power substations. The robot is equipped with inspecting sensors, such as CCD camera and thermal infrared imager which are together referred to as workload. These inspecting sensors are used to detect the environment parameters e.g. reading meter, measuring temperature etc., inside the substation. However, due to the strong electromagnetic interference inside substation, accurate localization of the workload and inspection robot is still a difficult problem to be solved. Existing methods solve the problem by paving magnetic strips or rail. However, in this way, the working area of the robot is limited by the paved infrastructures. In this paper, an inspection robot system is developed for working in substation. In the proposed system, the localization of the robot is realized using adaptive Monte-Carlo localization based on the known environment model. A visual servo system is designed to realize the high accuracy localization of the workload. The proposed robot system should guarantee to obtain fine inspecting results of equipments in substation.","1931-0587","978-1-4673-7266-4978-1-4673-7265","10.1109/IVS.2015.7225673","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7225673","","Inspection;Robot kinematics;Substations;Cameras;Mobile robots;Radiofrequency identification","adaptive control;electromagnetic interference;inspection;mobile robots;Monte Carlo methods;servomechanisms;substation automation","intelligent power substation;mobile robot;inspecting sensor;environment parameter detection;strong electromagnetic interference;workload robot localization;paving magnetic strip;inspection robot system;adaptive Monte Carlo localization;visual servo system","","5","","10","","","","","IEEE","IEEE Conferences"
"Adaptive dynamic preview control for autonomous vehicle trajectory following with DDP based path planner","N. Wu; W. Huang; Z. Song; X. Wu; Q. Zhang; S. Yao","Autonomous Vehicle Department, Institute for Infocom-m Research, Singapore; Autonomous Vehicle Department, Institute for Infocom-m Research, Singapore; Autonomous Vehicle Department, Institute for Infocom-m Research, Singapore; Autonomous Vehicle Department, Institute for Infocom-m Research, Singapore; Autonomous Vehicle Department, Institute for Infocom-m Research, Singapore; Autonomous Vehicle Department, Institute for Infocom-m Research, Singapore","2015 IEEE Intelligent Vehicles Symposium (IV)","","2015","","","1012","1017","For autonomous navigation system of intelligent vehicle, robust and stable control with accurate tracking ability is one of the key requirements. In this paper, we present a systematic controller design approach for autonomous vehicle navigation system. The proposed controller integrates dynamic vehicle model and online updated path model by quadratic programming (QP) cost function, which considers both tracking error and stability. A novel path planner based on the differential dynamic programming (DDP) with consideration of the kinematic feasibility is used. The path tracking accuracy has been improved by utilizing the proposed dynamic preview controller. Promising experimental results showed that the overall navigation system is robust and stable.","1931-0587","978-1-4673-7266-4978-1-4673-7265","10.1109/IVS.2015.7225817","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7225817","","Vehicles;Trajectory;Vehicle dynamics;Roads;Navigation;Mathematical model","adaptive control;control system synthesis;dynamic programming;path planning;predictive control;quadratic programming;remotely operated vehicles;robust control;trajectory control","adaptive dynamic preview control;autonomous vehicle trajectory following;DDP based path planner;differential dynamic programming;autonomous navigation system;systematic controller design approach;dynamic vehicle model;online updated path model;QP cost function;quadratic programming;tracking error;stability;kinematic feasibility","","2","","19","","","","","IEEE","IEEE Conferences"
"A constrained VFH algorithm for motion planning of autonomous vehicles","P. Qu; J. Xue; L. Ma; C. Ma","Lab of Visual Cognitive Computing and Intelligent Vehicle, Xi'an Jiaotong University, Xi'an 710049, China; Lab of Visual Cognitive Computing and Intelligent Vehicle, Xi'an Jiaotong University, Xi'an 710049, China; Lab of Visual Cognitive Computing and Intelligent Vehicle, Xi'an Jiaotong University, Xi'an 710049, China; Lab of Visual Cognitive Computing and Intelligent Vehicle, Xi'an Jiaotong University, Xi'an 710049, China","2015 IEEE Intelligent Vehicles Symposium (IV)","","2015","","","700","705","The Vector Field Histogram (VFH) is a classical motion planning algorithm which is widely used to handle the trajectory planning problem of mobile robots. However, the traditional VFH algorithm is rarely applied to autonomous vehicles due to the vehicle's well-known non-holonomic constraints, especially in urban environments. To address this problem, we propose a constrained VFH algorithm which takes both kinematic and dynamic constraints of the vehicle into consideration. The goal is achieved via two contributions that concern both kinematic and dynamic constraints of the vehicle. First, we develop a new active region for VFH to guarantee that all states within the region are reachable for the vehicle. Second, we improve the cost function to guide the search to favor feasible motion direction for the vehicle. The proposed algorithm is extensively tested in various simulated urban environments, and experimental results validate its efficiency.","1931-0587","978-1-4673-7266-4978-1-4673-7265","10.1109/IVS.2015.7225766","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7225766","","Vehicles;Mobile robots;Planning;Trajectory;Histograms;Heuristic algorithms;Cost function","mobile robots;motion control;path planning;robot kinematics;trajectory control","constrained VFH algorithm;autonomous vehicles;vector field histogram;motion planning algorithm;trajectory planning problem;mobile robot;nonholonomic constraint;urban environment;kinematic constraint;dynamic constraint;motion direction","","3","","15","","","","","IEEE","IEEE Conferences"
"State-statistical model based trajectory-band planning in urban environment","C. Ma; J. Yang; J. Xue; Y. Liu; L. Ma","Institute of Artificial Intelligence and Robotics, Xi'an Jiaotong University, Xi'an, Shaanxi, 710049, China; Institute of Artificial Intelligence and Robotics, Xi'an Jiaotong University, Xi'an, Shaanxi, 710049, China; Institute of Artificial Intelligence and Robotics, Xi'an Jiaotong University, Xi'an, Shaanxi, 710049, China; Institute of Artificial Intelligence and Robotics, Xi'an Jiaotong University, Xi'an, Shaanxi, 710049, China; Institute of Artificial Intelligence and Robotics, Xi'an Jiaotong University, Xi'an, Shaanxi, 710049, China","2015 IEEE Intelligent Vehicles Symposium (IV)","","2015","","","400","405","In the traditional trajectory planning methods, a feasible, collision-free trajectory is generated to guide the vehicle. But generally the vehicle cannot follow the trajectory without tracking deviation because of the vehicle kinematical constraints and the performance of control algorithm. In this paper, State-Statistical Model (SSM) based trajectory-band planning method is proposed to predict the vehicle motion during the vehicle tracks the trajectory. In this method, the statistics of historical states are used to build the SSM which is a normal distribution model of tracking deviation in different segments of curvature radius and velocity. According to the SSM, the inaccessible states of vehicle can be obtained to search the best trajectory and the tracking deviation boundary can be calculated on the trajectory. Then the best trajectory is used as the base line to generate the trajectory-band of which the halfband width is the deviation boundary value. As a result, the trajectory-band can represent the maximum range of vehicle motion accurately.","1931-0587","978-1-4673-7266-4978-1-4673-7265","10.1109/IVS.2015.7225718","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7225718","","Vehicles;Trajectory;Planning;Tracking;Standards;Predictive models;Gaussian distribution","mobile robots;motion control;normal distribution;path planning;road vehicles;trajectory control","state-statistical model;SSM;trajectory-band planning method;urban environment;collision-free trajectory tracking;vehicle kinematical constraint;vehicle motion;normal distribution model;autonomous vehicle","","1","","10","","","","","IEEE","IEEE Conferences"
