# alliance-name list-of-airlines
Star Alliance	9I A3 AC AI AV BR CA CM ET JP LH LO LR LX MS NH NZ O6 OA OS OU OZ P5 SA SG SK SN SQ TA TG TK TP UA WC WE ZH
oneworld	4M AA AY BA CJ CX EC EZ GH IB JC JJ JL KA LA LP MH MN N7 NU QF QR RJ S7 UL XL XM
SkyTeam 	5D A5 AE AF AM AR AU AZ CI CT DL FM GA KE KL KQ ME MF MU OK RO SU SV UX VN WA WX
Alaska	AA AS AY BA CX DE EI EK FI FJ HU JL KE KS QF SQ
British Airways	4M AA AY AZ BA CJ CX EC EI EZ GH IB JC JJ JL KA LA LP MH MN N7 NU QF QR RJ S7 UL XL XM
Cathay Pacific	4M 9W AA AS AY BA CA CJ CX EC EI EZ GF GH IB JC JJ JL KA LA LH LP LX MH MN N7 NU NZ OS PH QF QR RJ S7 UL XL XM ZH
China Southern	3U AF AM AR AZ CZ DL FM KE GA KL KQ MU OK RO SU SV VN
Etihad	9W AA AT AZ EY G3 GA HU HM JU KE MH NH NZ OK OZ PG PR SK SN UL VA WY
Emirates	AS B6 CI EK FZ G3 JL JQ KE ME MF MH MK QF S7 SA SV TP
Lufthansa	9I A3 AC AI AV BR CA CX CM DE EW EN ET JP KC KM LG LH LO LR LX MS NH NZ O6 OA OS OU OZ P5 SA SG SK SN SQ TA TG TK TP UA WC WE ZH
Singaproe Airlines	9I A3 AC AI AS AV B6 BR CA CM ET HO JP LH LO LR LX MI MS NH NZ O6 OA OS OU OZ P5 SA SG SK SN SQ TA TG TK TP TR UA UK VA VS WC WE ZH
QANTAS	4M 4N 9W AA AS AY BA CJ CX EC EK EZ GH IB JC JJ JL JQ KA LA LP LY MH MN MU N7 NF NU PX QF QR RJ S7 UL WS XL XM
Qatar	4M AA AT AY BA CJ CX EC EZ G3 GH IB JC JJ JL KA LA LP ME MH MN N7 NU PG QF QR RJ S7 UL XL XM
Virgin	9W CA DL HA SQ NH NZ SA SK VA VS
