Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,,,,,
Tracing the Source of News Based on Blockchain,W. Shang; M. Liu; W. Lin; M. Jia,"School of Computer Science, Communication University of China, Beijing, China; School of Computer Science, Communication University of China, Beijing, China; School of Computer Science, Communication University of China, Beijing, China; Department of Information Engineering, Beijing Polytechnic College, Beijing, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,377,381,"With the rapid development of the Internet, there are more and more ways of spreading news, and it's spreading faster and faster. This creates a lot of fake news that confuses the reader's vision. In order to construct a healthy news communication environment, it is necessary to suppress fake news and to crack down on the source of fake news, so it is necessary to trace the source of news. This paper tracks the news based on the distributed storage, decentralization and other features of the blockchain, with the technology of consensus algorithm and intelligent contract.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466516,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466516,Blockchain;Tracing the source of News;Distributed network,Media;Bitcoin;Data structures;Contracts;Distributed databases,social networking (online),blockchain;fake news;healthy news communication environment;consensus algorithm;intelligent contract,,,12,,,,,IEEE,IEEE Conferences,,,,,,
A Positive Real Order Strengthening Buffer Operator and Its Application in Data Prediction,Y. Qi; Z. Wu; L. Wu; X. Liu,"Faculty of Science and Technology, Communication University of China, Beijing, China; Faculty of Science and Technology, Communication University of China, Beijing, China; Faculty of Science and Technology, Communication University of China, Beijing, China; Faculty of Science and Technology, Communication University of China, Beijing, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,732,735,"Buffer operator in grey system prediction model can help to balance the influence of disturbance components and the parameter estimation tracking speed. It can also improve the prediction precision. Some famous buffer operators have been proposed such as Average Strengthening Buffer operator, Arithmetic Average Strengthening Buffer operator and so on. They can be viewed as integer-order buffer operators from the accumulative system opinion. We try to extend them into positive real order and construct the corresponding strengthening buffer operators in this paper. The calculation results show that the proposed buffer operator can improve the prediction accuracy effectively.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466520,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466520,data prediction;gray system;strengthening buffer operator;positive real order,Data models;Mathematical model;Predictive models;Parameter estimation;Market research;Information systems,data analysis;grey systems,grey system prediction model;parameter estimation tracking speed;prediction precision;famous buffer operators;integer-order buffer operators;accumulative system opinion;corresponding strengthening buffer operators;prediction accuracy;data prediction,,,13,,,,,IEEE,IEEE Conferences,,,,,,
The Experimental Implementation of GrabCut for Hardcode Subtitle Extraction,D. Wang; Aimoerfu,"Innovation and Entrepreneurship Education Center, Dalian University of Foreign Languages, Dalian, P.R. China; School of Computer Science, Communication University of China, Beijing, P.R. China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,1,4,"In this paper, we describe a relatively convenient way to extract and recognize text from a background in various circumstances of complicity. One general purpose in many applications is to extract hardcode subtitles from videos. Popular hardcode subtitle-rip tools (applications) nowadays follow a similar procedure from text location settings, customized image post-editing to OCR process. The quality of results usually may not be satisfied, and the supporting video formats are limited. Thanks to ""GrabCut"" image segmentation algorithm and ""Tesseract-OCR"" technology, we have developed a more augmented version in python for hardcode subtitle extraction on a fixed location, based on many attempts of experimental practice and research. The method we proposed outperforms most of the competitive tools on the quality of results.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466484,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466484,interactive text extraction;hardcode subtitle;GrabCut;Tesseract;Python,Image segmentation;Videos;Image edge detection;Text recognition;Image color analysis;Minimization;Labeling,document image processing;image segmentation;optical character recognition;text analysis,popular hardcode subtitle-rip tools;text location settings;customized image post-editing;supporting video formats;hardcode subtitle extraction;GrabCut image segmentation algorithm;OCR process,,,10,,,,,IEEE,IEEE Conferences,,,,,,
Application of AES and RSA Hybrid Algorithm in E-mail,Y. Liu; W. Gong; W. Fan,"School of Computer Science, Community University of China, Beijing, China; School of Computer Science, Community University of China, Beijing, China; School of Computer Science, Community University of China, Beijing, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,701,703,"In the information age, a number of data are interacted on the Internet every day. It is becoming more and more important to protect the safe transmission of data in the network communication.This paper comprehensively analyzes the encryption speed, security, key management and application direction of AES and RSA algorithms, and proposes to use AES and RSA hybrid encryption agorithm for email communication and successful simulation in Java language.The hybrid encryption algorithm combines the advantages of fast encryption speed of AES algorithm, easy management of RSA algorithm key, and digital signature to ensure the secure transmission of confidential documents.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466380,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466380,AES algorithm;RSA algorithm;hybrid encryption algorithm;E-mail,,cryptography;digital signatures;electronic mail;Internet;Java,RSA hybrid algorithm;network communication;email communication;hybrid encryption algorithm;fast encryption speed;AES algorithm;secure transmission;Internet;Java language;digital signature;confidential documents;data transmission,,,8,,,,,IEEE,IEEE Conferences,,,,,,
Feasibility of dictionary-based sparse coding for data compression in machine condition-based monitoring,W. L. Goh; N. Sadjoli,"School of Electrical and Electronic Engineering Nanyang Technological University Singapore, 50 Nanyang Avenue, 639798; School of Electrical and Electronic Engineering Nanyang Technological University Singapore, 50 Nanyang Avenue, 639798",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,1,6,"On-time machine maintenance and upkeep are critical to ensure on-time production. In recent years, Condition-Based Monitoring (CBM) has been regarded as one of the most state-of- the-art machine maintenance techniques that can significantly lower unscheduled maintenance cost and provide greater efficiency. This however means that more data needs to be streamed and stored for CBM to work properly, which might prove costly in the long run in terms of data storage. This paper therefore focuses on the feasibility of using Sparse Coding as a method for signal compression for CBM purposes. Specifically, the feasibility of the method will be measured for vibration signals coming from the spindle component of machines.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8671663,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8671663,Signal Compression;Spindle;Real-Time;Condition-Based Monitoring;Sparse Coding;K-SVD;OMP;Matching Pursuit,Discrete cosine transforms;Discrete wavelet transforms;Encoding;Matching pursuit algorithms;Random access memory;Wavelet analysis,condition monitoring;data compression;machine tool spindles;maintenance engineering;vibrational signal processing;vibrations,unscheduled maintenance cost;signal compression;dictionary-based sparse coding;data compression;condition-based monitoring;machine maintenance techniques;vibration signals;machine spindle component;K-SVD,,,,,,,,IEEE,IEEE Conferences,,,,,,
Design of Audio system for the 4K-UHD Studio of Communication University of China,L. Jiefeng; B. Xiaolong; Y. Jia,"Communication University of China, Practical and Experimental Teaching Center, Beijing, China; Communication University of China, Practical and Experimental Teaching Center, Beijing, China; Communication University of China, Practical and Experimental Teaching Center, Beijing, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,613,616,"The Communication University of China is the highest institution for training talents in media industry. The 4K-UHD Studio of Communication University of China is the first 4K ultrahigh-definition studio in the whole world. This paper describes the design concept of the audio system in the 4K-UHD studio of Communication University of China including equipment selection, system design scheme, acoustic scheme and construction scheme. All the details of this system are in line with the concept of practicability, flexiblity, convenient practical teaching and unlimited possibilities.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466447,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466447,audio system;audio system design;audio studio design,Microphones;Wireless communication;Loudspeakers;Mixers;Monitoring;Education,computer aided instruction;continuing professional development;teaching;telecommunication computing;telecommunication engineering education,system design scheme;audio system;4K ultrahigh-definition studio;design concept;4K-UHD Studio of Communication University of China;equipment selection;acoustic scheme;construction scheme;teaching,,,8,,,,,IEEE,IEEE Conferences,,,,,,
Trademark Image Retrieval System Based on SIFT Algorithm,Z. Chen; X. Wang,"School of Computer Science, Communication University of China, Beijing, China; School of Computer Science, Communication University of China, Beijing, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,740,743,"In this paper, the theory of bag of view words model and sift algorithm is introduced for image retrieval, Try to use this model and algorithm to achieve trademark image matching. and the most dissimilarity coefficient is used for vector comparison to improve the accuracy. Based on this image matching algorithm, an image retrieval system is constructed for trademark image. The system matches the pictures with the corresponding trademark from the gallery, Help people get trademark information to a certain extent.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466451,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466451,image retrieval;bag of view words;sift;most dissimilarity coefficient,Feature extraction;Trademarks;Libraries;Visualization;Image retrieval;Image matching;Computational modeling,feature extraction;image matching;image retrieval;trademarks,trademark information;trademark image retrieval system;trademark image matching;dissimilarity coefficient;vector comparison;image matching algorithm;SIFT algorithm;bag of view words model,,,7,,,,,IEEE,IEEE Conferences,,,,,,
Microblog Label Recommendation Based on Matrix Decomposition Model,Z. Gao; Y. Wen; H. Zhu,"New Media Institute Communication, University of China, Beijing, China; New Media Institute Communication, University of China, Beijing, China; New Media Institute Communication, University of China, Beijing, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,664,667,"Recent years, with the development and popularization of mobile devices and network technologies, Microblog has become a socialized media, users not only participate in self-expression, interpersonal relationships, but also access to a variety of news and hot events. Label is to help the system understand the user, thereby pushing content and friends to the user may be interested in. This paper proposes to get information such as mutual attention, one-way attention, existing labels and so on from user data, use the matrix decomposition model to recommend the label to the user after analysis.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466518,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466518,Microblog;Label;Data Mining;Hypernym,Matrix decomposition;Data mining;Collaboration;Mathematical model;Filtering;Feature extraction;Classification algorithms,matrix decomposition;recommender systems;social networking (online),matrix decomposition model;socialized media;microblog label recommendation,,,16,,,,,IEEE,IEEE Conferences,,,,,,
New Words Discovery Method Based On Word Segmentation Result,H. Liu; P. Gao; Y. Xiao,"School of Computer Science, Communication University of China, Beijing, China; Laboratory of Media Audio & Video, Communication University of China, Beijing, China; School of Computer Science, Communication University of China, Beijing, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,645,648,"A kind of new words discovery method based on word segmentation result is presented in this paper. Word segmentation is an important part of many Chinese Natural language processing (NLP) tasks. Improving the accuracy of Chinese word segmentation is a matter of great concern. With the increasing number of web text, more and more Chinese NLP tasks need to use micro-blog, movie review and other web text. The content of web text changes very fast and often contains a large number of new words. It is an important factor affecting the accuracy of word segmentation that word segmentation tools can not identify these new words. One way to solve this problem is to discover new words in the text to use and add these new words to the dictionaries on which the word segmentation tool depends. The traditional method of new words discovery can only find the words that do not exist in word segmentation tool's dictionary. But these words do not necessarily affect the result of the word segmentation. That is, the words may be correctly segmented even if they are not added to the word segmentation tool's dictionary. To address this issue, we propose to build a collection of candidate new words based on segmentation result. All the new words discovered in this way segmented by the word segmentation tool by mistake. Adding these new words to the word segmentation tool's dictionary can improve the accuracy of the word segmentation more than traditional methods. Experiments on the DouBan movie review dataset show that our method can get better new words to improve the accuracy on movie review sentiment classification.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466490,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466490,new words discovery;word segmentation;sentiment classification,Dictionaries;Motion pictures;Tools;Manuals;Natural language processing;Text categorization;Task analysis,data mining;natural language processing;pattern classification;social networking (online);text analysis;Web sites,new words discovery method;word segmentation result;Chinese word segmentation;word segmentation tool;Chinese Natural language processing tasks;NLP;DouBan movie review dataset;movie review sentiment classification,,,6,,,,,IEEE,IEEE Conferences,,,,,,
Matrix Operation and Its Application in Computer Engineering,F. Dong; Y. Lv,"Beijing Eightieth Middle School, Beijing, China; Beijing Eightieth Middle School, Beijing, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,604,607,"Mathematics is fundamental to natural science. Its content is extensive and profound, and the matrix is an important part of mathematics. It can be seen in many fields. For example, in game theory and economics, the payoff matrix is used to represent the payoff of two game objects in various decision modes. Early cryptographic techniques, such as the Hill code, also used matrix. In the field of chemistry, where quantum theory is used to discuss molecular bonds and spectra, the matrix is applied. In physics, matrices have applications in electronics, mechanics, optics and quantum physics. In the field of computer engineering, it is more widely used, such as computer image processing, 3D animation production, text mining and its' inverted index technology. Therefore, this paper mainly focuses on matrix operations and its application in personalized recommendation methods. This paper adopts recommendation method based on bipartite graph. This method improves the accuracy of recommendation effectively. The experimental results verify its feasibility.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466378,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466378,Matrix operation;Personalized recommendation;Collaborative filtering;Bipartite graph,Bipartite graph;Collaboration;Internet;Filtering algorithms;Search engines,graph theory;matrix algebra;recommender systems,matrix operation;computer engineering;natural science;Hill code;quantum theory;molecular bonds;quantum physics;cryptographic techniques;inverted index technology;personalized recommendation methods;bipartite graph,,,10,,,,,IEEE,IEEE Conferences,,,,,,
