"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Implementing an OPC UA interface for legacy PLC-based automation systems using the Azure cloud: An ICPS-architecture with a retrofitted RFID system","H. Haskamp; F. Orth; J. Wermann; A. W. Colombo","Institute for Industrial Informatics, Automation and Robotics (I2AR), Department of Technology, University of Applied Sciences Emden/Leer, Emden, Germany; Institute for Industrial Informatics, Automation and Robotics (I2AR), Department of Technology, University of Applied Sciences Emden/Leer, Emden, Germany; Institute for Industrial Informatics, Automation and Robotics (I2AR), Department of Technology, University of Applied Sciences Emden/Leer, Emden, Germany; Institute for Industrial Informatics, Automation and Robotics (I2AR), Department of Technology, University of Applied Sciences Emden/Leer, Emden, Germany","2018 IEEE Industrial Cyber-Physical Systems (ICPS)","","2018","","","115","121","Companies often have legacy systems within production processes. Many of these systems use proprietary information-communication-control-technologies (ICCT), among others, and for that reason it is difficult to integrate them into new industrial environments that require Industrie 4.0-compliances. The migration process of such industrial systems, i.e., retrofitting it into an Industrie 4.0-compliant, ICPS-Infrastructure, leads to the necessity of new features and components in the legacy architecture. This paper summarizes the process for retrofitting a flexible manufacturing system located at the Institute for Industrial Informatics, Automation and Robotics (I<sup>2</sup>AR) of the University of Applied Sciences Emden/Leer, integrating legacy PLCs, RFID and commercial cloud technology on the basis of an Industry 4.0-compliant digitalization of components with OPC UA interfaces. With the use of common technologies recommended for migrating legacy industrial systems into Industrie 4.0-compliant systems, the authors describe the major specifications and characteristics of a migration approach and resulted novel ICPS-architecture that allows the operator and/or other legacy automation and management systems to monitor and control the PLC component via a RAMI4.0-compliant digital interface, via a retrofitted RFID System.","","978-1-5386-6531-2978-1-5386-6530-5978-1-5386-6532","10.1109/ICPHYS.2018.8387646","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8387646","OPC UA;Azure;Cloud Computing;Industrie 4.0;RFID;Industrial Digitalization;RAMI4.0;ICPS Architecture","Industries;Cloud computing;Radiofrequency identification;Servers;Automation;Computer architecture;Manufacturing","cloud computing;control engineering computing;flexible manufacturing systems;production engineering computing;programmable controllers;radiofrequency identification;software maintenance","industrial environments;Industrie 4.0-compliances;migration process;ICPS-Infrastructure;legacy architecture;flexible manufacturing system;Industrial Informatics;commercial cloud technology;OPC UA interface;migrating legacy industrial systems;novel ICPS-architecture;operator;management systems;RAMI4.0-compliant digital interface;retrofitted RFID System;legacy PLC-based automation systems;Azure cloud;retrofitted RFID system;legacy systems;production processes;proprietary information-communication-control-technologies","","2","23","","","","","IEEE","IEEE Conferences"
"Low cost solution for calibration in absolute accuracy of an industrial robot for iCPS applications","R. C. Luo; H. Wang; M. Kuo","International Center of Excellence in Intelligent Robotics and Automation Research, National Taiwan University, Taipei, Taiwan; International Center of Excellence in Intelligent Robotics and Automation Research, National Taiwan University, Taipei, Taiwan; International Center of Excellence in Intelligent Robotics and Automation Research, National Taiwan University, Taipei, Taiwan","2018 IEEE Industrial Cyber-Physical Systems (ICPS)","","2018","","","428","433","The development of industrial cyber-physical systems (iCPS) and its extended application, many of the functions and applications of industrial robots will require self-control improvements. Due to the need in the industry, this paper presents a calibration method to resolve the absolute accuracy of robot TCP movement in a limited workspace problem. We implement this low-cost method with camera tracking which in a much lower cost fashion than general purpose laser tracking device. We use Rectified Linear Unit (ReLU) method based on deep neural network (DNN) which can be more efficient than traditional empirical compensation method in improving the error offset calculation and calibration accuracy. In addition, the justification for selecting training data, the methods for designing DNN models and the schemes for improving DNN models are also described in details.","","978-1-5386-6531-2978-1-5386-6530-5978-1-5386-6532","10.1109/ICPHYS.2018.8390743","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8390743","cyber-physical systems;calibration;camera tracking;deep neural network","Calibration;Cameras;Robot vision systems;Robot kinematics;Service robots;Probes","calibration;industrial robots;neural nets;neurocontrollers;object tracking","absolute accuracy;industrial robot;iCPS applications;industrial cyber-physical systems;self-control improvements;calibration method;robot TCP movement;low-cost method;camera tracking;general purpose laser tracking device;Rectified Linear Unit method;calibration accuracy;low cost solution;DNN models","","2","26","","","","","IEEE","IEEE Conferences"
"Measurement validation for ICPS: Matrix pencil method for coriolis metering with liquid/gas flow","O. Ibryaeva; A. Semenov; M. Henry","School of Electrical Engineering and Computer Science, South Ural State University, Chelyabinsk, Russia; School of Electrical Engineering and Computer Science, South Ural State University, Chelyabinsk, Russia; School of Electrical Engineering and Computer Science, South Ural State University, Chelyabinsk, Russia","2018 IEEE Industrial Cyber-Physical Systems (ICPS)","","2018","","","440","445","A key requirement for Industrial Cyber-Physical System (ICPS) instrumentation is measurement validation i.e. assessing measurement quality, including detecting and correcting for fault conditions. Coriolis Mass flow meters are used widely throughout industry, but commonly only for single-phase fluids, i.e. either liquids or gases, since accuracy is degraded by gas/liquid flows. The provision of robust measurement in non-ideal conditions is an increasingly important requirement. Here we propose that a modified Matrix Pencil Method is able to track the modes of flowtube vibration excited by gas/liquid flow, and show the results of applying the technique to numerically simulated data.","","978-1-5386-6531-2978-1-5386-6530-5978-1-5386-6532","10.1109/ICPHYS.2018.8390745","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8390745","Industrial cyber-physical systems;measurement validation;oil and gas;Coriolis mass flow meter;signal processing;matrix pencil method;two-phase flow","Signal processing;Sensors;Vibrations;Matrix decomposition;Eigenvalues and eigenfunctions;Fluid flow measurement;Robustness","Coriolis force;flow control;flow measurement;flowmeters;numerical analysis;pipe flow;pipes;two-phase flow;vibrations","measurement validation;measurement quality;fault conditions;single-phase fluids;nonideal conditions;ICPS;Industrial Cyber-Physical System instrumentation;gas-liquid flow;liquid-gas flow;modified matrix pencil method;coriolis metering;Coriolis mass flow meters;flow tube vibration;numerical simulation","","1","27","","","","","IEEE","IEEE Conferences"
"Keynote speeches","","","2018 IEEE Industrial Cyber-Physical Systems (ICPS)","","2018","","","9","10","Provides an abstract for each of the keynote presentations and may include a brief professional biography of each presenter. The complete presentations were not made available for publication as part of the conference proceedings.","","978-1-5386-6531-2978-1-5386-6530-5978-1-5386-6532","10.1109/ICPHYS.2018.8387628","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8387628","","","","","","","","","","","","IEEE","IEEE Conferences"
"Predictive offloading in mobile-fog-cloud enabled cyber-manufacturing systems","X. Chen; L. Wang; C. Wang; R. Jin","Grado Department of Industrial and Systems Engineering, Virginia Tech, Blacksburg, VA 24061, USA; Grado Department of Industrial and Systems Engineering, Virginia Tech, Blacksburg, VA 24061, USA; Grado Department of Industrial and Systems Engineering, Virginia Tech, Blacksburg, VA 24061, USA; Grado Department of Industrial and Systems Engineering, Virginia Tech, Blacksburg, VA 24061, USA","2018 IEEE Industrial Cyber-Physical Systems (ICPS)","","2018","","","167","172","An industrial cyber-physical system (ICPS) integrates the physical processes, systems and networks with the computation resources to provide reliable and responsive computation services. A cyber-manufacturing system (CMS), which is generated from ICPS, poses significant challenges on reliability, accuracy and responsiveness of computation services for manufacturing decision making. In this paper, we focus on reliability and responsiveness. Due to the heterogeneities of the computation and communication capacities and conditions, demanding computation services may not be completed in a timely manner. To facilitate reliable and responsive computation services, we propose a deadline constrained predictive offloading method based on a mobile-fog-cloud (MFC) network. This method optimizes the offloading decisions by solving a quadratically constrained integer linear programming constrained by latency requirements and predicted availability of devices. A newly constructed hybrid cyber-additive manufacturing network is used to test the performance of the proposed predictive offloading method and the MFC network. The results show that the proposed method outperforms mobile computing, fog computing, cloud computing, and fog-cloud computing benchmarks to minimize resource consumption and comply with latency requirements.","","978-1-5386-6531-2978-1-5386-6530-5978-1-5386-6532","10.1109/ICPHYS.2018.8387654","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8387654","computation offloading;fog computing;cloud computing;industrial cyber-physical systems;smart manufacturing","Handheld computers;Edge computing;Cloud computing;Cyber-physical systems;Smart manufacturing;Iterative closest point algorithm","cloud computing;cyber-physical systems;decision making;integer programming;linear programming;manufacturing systems;mobile computing;production engineering computing","mobile computing;fog-cloud computing benchmarks;industrial cyber-physical system;ICPS;physical processes;computation resources;reliable computation services;responsive computation services;reliability;communication capacities;predictive offloading method;mobile-fog-cloud network;offloading decisions;newly constructed hybrid cyber-additive manufacturing network;mobile-fog-cloud enabled cyber-manufacturing system","","1","37","","","","","IEEE","IEEE Conferences"
"Multiscale modeling and simulation for industrial cyber-physical systems","N. Demkovich; E. Yablochnikov; G. Abaev","Dept. of Instrumentation Technologies, ITMO University, Saint Petersburg, Russia; Dept. of Instrumentation Technologies, ITMO University, Saint Petersburg, Russia; Head of technical support, PLM dept., Bee Pitron SP, Ltd., Saint Petersburg, Russia","2018 IEEE Industrial Cyber-Physical Systems (ICPS)","","2018","","","291","296","The article deals with the creation and application of virtual ICPS objects. Ensuring flexibility of the production system and, accordingly, its timely reconfiguration requires the preparation of numerous technological and production parameters, which are formed on the basis of modeling at various levels - from a single technological operation to the production system as a whole. The article gives practical examples of creating virtual ICPS objects, shows both vertical links between modeling levels and their horizontal linkages with related technologies and real-world objects.","","978-1-5386-6531-2978-1-5386-6530-5978-1-5386-6532","10.1109/ICPHYS.2018.8387674","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8387674","digital manufacturing;simulation;Industrie 4.0;digital twin","Manufacturing processes;Data models;Solid modeling;Computational modeling","cyber-physical systems;flexible manufacturing systems;lean production;production planning;virtual manufacturing","simulation;industrial cyber-physical systems;virtual ICPS objects;single technological operation;modeling levels;flexible production system;production parameters;multiscale modeling;vertical links;horizontal linkages","","","14","","","","","IEEE","IEEE Conferences"
"Distributed ledger technology for decentralization of manufacturing processes","M. Isaja; J. Soldatos","Research & Development Unit, Engineering Ingegneria Informatica (ENG), Rome, Italy; IoT Group, Athens Information Technology (AIT), Maroussi, Greece","2018 IEEE Industrial Cyber-Physical Systems (ICPS)","","2018","","","696","701","Distributed Ledger Technology (DLT) is probably going, in the near future, to disrupt B2B and B2C interactions even more than the advent of the World Wide Web, thanks to the transfer of trust from personal and commercial relationships to computing algorithms. However, a less commonly perceived property of DLT is that of enabler of decentralized computing. In this paper, we explore the use of DLT to innovate Industrial Cyber-Physical Systems.","","978-1-5386-6531-2978-1-5386-6530-5978-1-5386-6532","10.1109/ICPHYS.2018.8390792","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8390792","DLT;Blockchain;Manufacturing;ICPS;Decentralization","Peer-to-peer computing;Bitcoin;Iterative closest point algorithm;Stakeholders","cyber-physical systems;manufacturing processes;production engineering computing;trusted computing","DLT;B2B;personal relationships;commercial relationships;decentralized computing;distributed ledger technology;industrial cyber-physical systems;manufacturing processes decentralization;B2C","","1","18","","","","","IEEE","IEEE Conferences"
"A component framework as an enabler for industrial cyber physical systems","L. Neto; A. L. Madsen; N. S⊘ndberg-Jeppesen; R. Silva; J. Reis; P. McIntyre; G. Gonçalves","ISR-P, Instituto de Sistemas e Robótica, Porto, Portugal; HUGIN EXPERT A/S, Denmark; HUGIN EXPERT A/S, Denmark; ISR-P, Instituto de Sistemas e Robótica, Porto, Portugal; ISR-P, Instituto de Sistemas e Robótica, Porto, Portugal; Ford Motor Company, Powertrain Manufacturing Engineering Europe; ISR-P, Instituto de Sistemas e Robótica, Porto, Portugal","2018 IEEE Industrial Cyber-Physical Systems (ICPS)","","2018","","","339","344","In this paper we show how Component Based Software Engineering (CBSE) concepts were applied to design the Sensor SelComp. Therefore, a component framework to address the abstraction of Component Level within the SelSus European Project ICPS. We show how the framework can be used to tackle IPCS virtualization of sensors, machines and data processing. Moreover, we show the applicability of Sensor SelComp to a real case scenario where a Bayesian Network model was applied to a SelSus demonstrator to perform runtime fault detection in a RTV dispenser machine from Ford Motor Company.","","978-1-5386-6531-2978-1-5386-6530-5978-1-5386-6532","10.1109/ICPHYS.2018.8387682","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8387682","Industrial Cyber Physical Systems;Component-Based Software Engineering;Bayesian Networks;Smart Component;Smart Manufacturing","Iterative closest point algorithm;Production;Feeds;Robot sensing systems;Runtime;Software;Data models","automobile industry;belief networks;fault diagnosis;manufacturing systems;object-oriented programming;virtualisation","component framework;industrial cyber physical systems;Sensor SelComp;Component Level;SelSus European Project ICPS;component based software engineering concepts;IPCS virtualization;sensors;data processing;runtime fault detection;RTV dispenser machine;Ford Motor Company","","","27","","","","","IEEE","IEEE Conferences"
"Design and feasibility study of health related devices using COTS components","R. Parveen; S. Pradhan; N. Goveas","Dept. of Computer Science & Information Systems, BITS Pilani K K Birla Goa Campus, Goa, India; Dept. of Computer Science & Information Systems, BITS Pilani K K Birla Goa Campus, Goa, India; Dept. of Computer Science & Information Systems, BITS Pilani K K Birla Goa Campus, Goa, India","2018 IEEE Industrial Cyber-Physical Systems (ICPS)","","2018","","","529","533","With a growing demand for smart devices in CPS health related area, there is a need for building devices using efficient design methodologies. This can be achieved using commercial off-the-shelf (COTS) components which provide customizability as per user's specific requirements and flexibility with regards to technological evolution. There is a need for a simple methodology which will help in the designing, development, testing and verification of the correct operations of health related systems. In this paper, we present a model based approach to do a feasibility study of the use of COTS components for device development. We present a case study of modeling a Holter Monitor. We devise the procedure using the modeling tools Ptolemy-II and UPPAAL. Our procedure is successful in abstracting the state and behavior of the device and in validating the suitability of the components used.","","978-1-5386-6531-2978-1-5386-6530-5978-1-5386-6532","10.1109/ICPHYS.2018.8390761","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8390761","Holter Monitor;COTS;Ptolemy-II;UPPAAL","Monitoring;Biomedical monitoring;Electrocardiography;Object oriented modeling;Accelerometers;Data models;Light emitting diodes","electrocardiography;health care;medical information systems;patient monitoring","COTS components;smart devices;testing;verification;device development;CPS health related devices;design methodology;commercial off-the-shelf components;technology evolution;Holter monitor;Ptolemy-II tools;UPPAAL tools","","","15","","","","","IEEE","IEEE Conferences"
"A traffic-in-loop simulation system for validation of emission control strategy in diesel engine","F. Xu; T. Shen","Dept. of engineering and applied sciences, Sophia University, Tokyo, Japan; Dept. of engineering and applied sciences, Sophia University, Tokyo, Japan","2018 IEEE Industrial Cyber-Physical Systems (ICPS)","","2018","","","85","90","A traffic-in-loop powertrain simulation framework, aiming at real time driving simulation validation, is presented in this paper. Traffic scenario and powertrain model are built in different platforms with capability of information interchange. This bidirectional co-simulation is capable to imitate I2V (infrastructure to vehicle)communication, connected vehicle communication and to capture driver behavior under stochastic traffic environment. With these real driving information, interaction influence between traffic and powertrain could be reflected online. An application example of optimal control design for diesel engine with after-treatment system is illustrated. Simulation validation on deterministic and stochastic traffic scenario are conducted, respectively. It could be concluded the necessity of onboard control scheme for powertrain in real-world traffic consideration.","","978-1-5386-6531-2978-1-5386-6530-5978-1-5386-6532","10.1109/ICPHYS.2018.8387642","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8387642","Traffic-in-loop powertrain system;connected vehicle;Engine control;NOx emission;Optimal control scheme","Mechanical power transmission;Mathematical model;Fuels;Vehicles;Optimal control;Diesel engines","control engineering computing;control system synthesis;diesel engines;digital simulation;optimal control;power transmission (mechanical);road safety;road traffic control;stochastic processes","real time driving simulation validation;I2V communication;infrastructure to vehicle communication;driver behavior;real-world traffic consideration;onboard control scheme;stochastic traffic scenario;deterministic traffic scenario;after-treatment system;optimal control design;driving information;stochastic traffic environment;connected vehicle communication;bidirectional co-simulation;information interchange;traffic-in-loop powertrain simulation framework;diesel engine;emission control strategy","","","17","","","","","IEEE","IEEE Conferences"
