,admin_name,capital,city,city_ascii,country,id,iso2,iso3,lat,lng,population
6303,Lower Saxony,minor,Emden,Emden,Germany,1276309938.0,DE,DEU,53.3667,7.2167,51526.0
3441,Taipei,primary,Taipei,Taipei,Taiwan,1158881289.0,TW,TWN,25.0358,121.5683,6900273.0
2664,Chelyabinskaya Oblast’,admin,Chelyabinsk,Chelyabinsk,Russia,1643224011.0,RU,RUS,55.155,61.4387,1091000.0
8202,Virginia,,Blacksburg,Blacksburg,United States,1840006446.0,US,USA,37.23,-80.4277,93560.0
2160,Sankt-Peterburg,admin,St. Petersburg,St. Petersburg,Russia,1643616350.0,RU,RUS,59.939,30.316,4553000.0
7711,Lazio,primary,Rome,Rome,Italy,1380382862.0,IT,ITA,41.896,12.4833,3339000.0
1860,Porto,admin,Porto,Porto,Portugal,1620356810.0,PT,PRT,41.15,-8.62,1337000.0
2035,Inđija,admin,Inđija,Indija,Serbia,1688349740.0,RS,SRB,45.0482,20.0816,
7808,Tōkyō,primary,Tokyo,Tokyo,Japan,1392685764.0,JP,JPN,35.685,139.7514,35676000.0
4972,Ceará,,Russas,Russas,Brazil,1076843360.0,BR,BRA,-4.94,-37.98,39465.0
3441,Taipei,primary,Taipei,Taipei,Taiwan,1158881289.0,TW,TWN,25.0358,121.5683,6900273.0
2160,Sankt-Peterburg,admin,St. Petersburg,St. Petersburg,Russia,1643616350.0,RU,RUS,59.939,30.316,4553000.0
4011,Syunik’,admin,Kapan,Kapan,Armenia,1051527958.0,AM,ARM,39.2075,46.4058,
2664,Chelyabinskaya Oblast’,admin,Chelyabinsk,Chelyabinsk,Russia,1643224011.0,RU,RUS,55.155,61.4387,1091000.0
5757,Jilin,,Jilin,Jilin,China,1156646448.0,CN,CHN,43.85,126.55,2396000.0
6900,Devon,admin,Exeter,Exeter,United Kingdom,1826840903.0,GB,GBR,50.7004,-3.53,113118.0
6756,Oxfordshire,admin,Oxford,Oxford,United Kingdom,1826689568.0,GB,GBR,51.7704,-1.25,192796.0
3441,Taipei,primary,Taipei,Taipei,Taiwan,1158881289.0,TW,TWN,25.0358,121.5683,6900273.0
2160,Sankt-Peterburg,admin,St. Petersburg,St. Petersburg,Russia,1643616350.0,RU,RUS,59.939,30.316,4553000.0
8023,Gyeongbuk,minor,Pohang,Pohang,"Korea, South",1410983252.0,KR,KOR,36.0209,129.3715,435266.0
6756,Oxfordshire,admin,Oxford,Oxford,United Kingdom,1826689568.0,GB,GBR,51.7704,-1.25,192796.0
4224,Steiermark,admin,Graz,Graz,Austria,1040184559.0,AT,AUT,47.0778,15.41,263234.0
6225,Matanzas,admin,Matanzas,Matanzas,Cuba,1192888416.0,CU,CUB,23.0415,-81.5775,146733.0
6109,Zhejiang,admin,Hangzhou,Hangzhou,China,1156275243.0,CN,CHN,30.25,120.17,3007000.0
2160,Sankt-Peterburg,admin,St. Petersburg,St. Petersburg,Russia,1643616350.0,RU,RUS,59.939,30.316,4553000.0
7724,Lombardy,admin,Milan,Milan,Italy,1380724377.0,IT,ITA,45.47,9.205,2945000.0
7093,Dytikí Elláda,admin,Patra,Patra,Greece,1300201099.0,GR,GRC,38.23,21.73,163360.0
4226,Wien,primary,Vienna,Vienna,Austria,1040261752.0,AT,AUT,48.2,16.3666,2400000.0
6725,Auvergne-Rhône-Alpes,minor,Grenoble,Grenoble,France,1250071647.0,FR,FRA,45.1804,5.72,388574.0
8553,Florida,,Destin,Destin,United States,1840015008.0,US,USA,30.395,-86.4701,13654.0
7748,Tuscany,minor,Pisa,Pisa,Italy,1380310225.0,IT,ITA,43.7205,10.4,203336.0
4367,Queensland,,Warwick,Warwick,Australia,1036412726.0,AU,AUS,-28.2292,152.0203,12347.0
1421,Oslo,primary,Oslo,Oslo,Norway,1578324706.0,NO,NOR,59.9167,10.75,835000.0
2160,Sankt-Peterburg,admin,St. Petersburg,St. Petersburg,Russia,1643616350.0,RU,RUS,59.939,30.316,4553000.0
1860,Porto,admin,Porto,Porto,Portugal,1620356810.0,PT,PRT,41.15,-8.62,1337000.0
7650,Kermān,admin,Kerman,Kerman,Iran,1364554896.0,IR,IRN,30.3,57.08,577514.0
6279,Bavaria,admin,Munich,Munich,Germany,1276692352.0,DE,DEU,48.1299,11.575,1275000.0
2227,Samarskaya Oblast’,admin,Samara,Samara,Russia,1643205757.0,RU,RUS,53.195,50.1513,1137000.0
4221,Oberösterreich,admin,Linz,Linz,Austria,1040261171.0,AT,AUT,48.3192,14.2888,349161.0
1866,Bragança,admin,Bragança,Braganca,Portugal,1620281131.0,PT,PRT,41.808,-6.755,34375.0
4226,Wien,primary,Vienna,Vienna,Austria,1040261752.0,AT,AUT,48.2,16.3666,2400000.0
5059,São Paulo,,Franca,Franca,Brazil,1076740256.0,BR,BRA,-20.53,-47.39,305041.0
4217,Burgenland,admin,Eisenstadt,Eisenstadt,Austria,1040751740.0,AT,AUT,47.8333,16.5333,13165.0
6294,Mecklenburg-Western Pomerania,,Rostock,Rostock,Germany,1276210265.0,DE,DEU,54.0704,12.15,203080.0
5757,Jilin,,Jilin,Jilin,China,1156646448.0,CN,CHN,43.85,126.55,2396000.0
9664,New York,,Walden,Walden,United States,1840004880.0,US,USA,41.5603,-74.1879,11138.0
5059,São Paulo,,Franca,Franca,Brazil,1076740256.0,BR,BRA,-20.53,-47.39,305041.0
10315,California,,Berkeley,Berkeley,United States,1840018914.0,US,USA,37.8723,-122.276,121240.0
7860,Saitama,admin,Saitama,Saitama,Japan,1392017719.0,JP,JPN,35.9,139.65,
4226,Wien,primary,Vienna,Vienna,Austria,1040261752.0,AT,AUT,48.2,16.3666,2400000.0
1438,Møre og Romsdal,minor,Ålesund,Alesund,Norway,1578050516.0,NO,NOR,62.5454,6.388,47772.0
2787,Norrbotten,admin,Luleå,Lulea,Sweden,1752765449.0,SE,SWE,65.5966,22.1584,48638.0
5823,Fujian,admin,Fuzhou,Fuzhou,China,1156188037.0,CN,CHN,26.08,119.3,2606000.0
5059,São Paulo,,Franca,Franca,Brazil,1076740256.0,BR,BRA,-20.53,-47.39,305041.0
5558,Basel-Stadt,admin,Basel,Basel,Switzerland,1756731313.0,CH,CHE,47.5804,7.59,830000.0
2160,Sankt-Peterburg,admin,St. Petersburg,St. Petersburg,Russia,1643616350.0,RU,RUS,59.939,30.316,4553000.0
5748,Shaanxi,admin,Xian,Xian,China,1156244079.0,CN,CHN,34.275,108.895,4009000.0
7735,Emilia-Romagna,minor,Modena,Modena,Italy,1380306270.0,IT,ITA,44.65,10.92,175502.0
