"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"IROS 2018 Fan Challenge - Team DLR Augsburg","M. Schönheits; A. Schuster; P. Gänswürger; L. Larsen","Center for Lightweight-Production-Technology (ZLP), German Aerospace Center (DLR), Am Technologiezentrum 4, Augsburg, D-86159, Germany; Center for Lightweight-Production-Technology (ZLP), German Aerospace Center (DLR), Am Technologiezentrum 4, Augsburg, D-86159, Germany; Center for Lightweight-Production-Technology (ZLP), German Aerospace Center (DLR), Am Technologiezentrum 4, Augsburg, D-86159, Germany; Center for Lightweight-Production-Technology (ZLP), German Aerospace Center (DLR), Am Technologiezentrum 4, Augsburg, D-86159, Germany","2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","2018","","","4158","4163","It's a hot summer in 2021 and the blistering sun is shining upon Madrid. You are enjoying some tinto de verano on your terraza. Sizzling in the scorching heat, you are trying to relax. With a simple gesture you call your robotic assistant to help you cool down a little bit. Without further ado, your robot provides some relaxing shade holding a parasol for you, picks up a fan autonomously and starts waving it and the gentle breeze brings you some light relief.","2153-0866;2153-0858","978-1-5386-8094-0978-1-5386-8093-3978-1-5386-8095","10.1109/IROS.2018.8593792","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8593792","","Fans;Grippers;Robot kinematics;End effectors;Cameras;Servomotors","human-robot interaction;service robots","hot summer;blistering sun;Madrid;scorching heat;simple gesture;robotic assistant;relaxing shade;team DLR Augsburg;IROS 2018 fan challenge;tinto de verano","","","11","","","","","IEEE","IEEE Conferences"
"Active Model Learning and Diverse Action Sampling for Task and Motion Planning","Z. Wang; C. R. Garrett; L. P. Kaelbling; T. Lozano-Pérez","IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS, MIT CSAIL, Madrid, Spain; IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS, MIT CSAIL, Madrid, Spain; IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS, MIT CSAIL, Madrid, Spain; IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS, MIT CSAIL, Madrid, Spain","2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","2018","","","4107","4114","The objective of this work is to augment the basic abilities of a robot by learning to use new sensorimotor primitives to enable the solution of complex long-horizon problems. Solving long-horizon problems in complex domains requires flexible generative planning that can combine primitive abilities in novel combinations to solve problems as they arise in the world. In order to plan to combine primitive actions, we must have models of the preconditions and effects of those actions: under what circumstances will executing this primitive achieve some particular effect in the world? We use, and develop novel improvements on, state-of-the-art methods for active learning and sampling. We use Gaussian process methods for learning the conditions of operator effectiveness from small numbers of expensive training examples collected by experimentation on a robot. We develop adaptive sampling methods for generating diverse elements of continuous sets (such as robot configurations and object poses) during planning for solving a new task, so that planning is as efficient as possible. We demonstrate these methods in an integrated system, combining newly learned models with an efficient continuous-space robot task and motion planner to learn to solve long horizon problems more efficiently than was previously possible.","2153-0866;2153-0858","978-1-5386-8094-0978-1-5386-8093-3978-1-5386-8095","10.1109/IROS.2018.8594027","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8594027","","Planning;Task analysis;Level set;Robot sensing systems;Gaussian processes;Training","Gaussian processes;learning (artificial intelligence);mobile robots;path planning;sampling methods","complex domains;flexible generative planning;state-of-the-art methods;active learning;Gaussian process methods;operator effectiveness;adaptive sampling methods;diverse elements;robot configurations;object poses;newly learned models;long horizon problems;active model learning;action sampling;motion planning;sensorimotor primitives;complex long-horizon problems;continuous-space robot task","","1","33","","","","","IEEE","IEEE Conferences"
"An Extrinsic Dexterity Approach to the IROS 2018 Fan Robotic Challenge","J. Kwiatkowski; J. Roberge; N. A. Nadeau; L. L'Écuyer-Lapierre; V. Duchaine","Ecole de technologie supérieure, Dept. of Automated Manufacturing Engineering, 1100 Notre-Dame Ouest, Montréal, Québec, Canada; Ecole de technologie supérieure, Dept. of Automated Manufacturing Engineering, 1100 Notre-Dame Ouest, Montréal, Québec, Canada; Ecole de technologie supérieure, Dept. of Automated Manufacturing Engineering, 1100 Notre-Dame Ouest, Montréal, Québec, Canada; Ecole de technologie supérieure, Dept. of Automated Manufacturing Engineering, 1100 Notre-Dame Ouest, Montréal, Québec, Canada; Ecole de technologie supérieure, Dept. of Automated Manufacturing Engineering, 1100 Notre-Dame Ouest, Montréal, Québec, Canada","2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","2018","","","4139","4144","The 2018 IROS Fan Robotic Challenge tasked participants with programming a robot to autonomously open and close a Spanish folding fan, highlighting the obstacles still associated with the dexterous manipulation of objects for robotic systems. Since high DoFs grippers are complex to coordinate and overkill for many industrial processes, our approach used an under-actuated parallel gripper with a 3D-printed adaptation to precisely grasp the fan in such a manner that gravity could be leveraged to act on the fan to produce an extrinsic, or external, dexterity. With our approach, we completed the challenge in 12.38 seconds, resulting in a top three finish. Furthermore, using a multi-modal tactile sensor, we analyzed the vibrations in the grasp during the manipulation and were able to distinguish the opening and closing of the fan from the motion of the robot with a 83% accuracy.","2153-0866;2153-0858","978-1-5386-8094-0978-1-5386-8093-3978-1-5386-8095","10.1109/IROS.2018.8594224","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8594224","","Fans;Grippers;Robot kinematics;Service robots;Task analysis;End effectors","dexterous manipulators;grippers;motion control;tactile sensors;vibrations","extrinsic dexterity approach;IROS 2018 fan robotic challenge;Spanish folding fan;dexterous manipulation;robotic systems;external dexterity;high DoF grippers;3D-printed adaptation;multimodal tactile sensor","","","20","","","","","IEEE","IEEE Conferences"
"Forums","","","2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","2018","","","55","65","Provides an abstract for each of the Forum presentations and may include a brief professional biography of each presenter. The complete presentations were not made available for publication as part of the conference proceedings.","2153-0866;2153-0858","978-1-5386-8094-0978-1-5386-8093-3978-1-5386-8095","10.1109/IROS.2018.8594044","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8594044","","Service robots;Artificial intelligence;Companies;Europe;Smart cities","","","","","","","","","","IEEE","IEEE Conferences"
"Deformation Capture via Self-Sensing Capacitive Arrays (Video)","O. Glauser; D. Panozzo; O. Hilliges; O. Sorkine-Hornung","Department of Computer Science, ETH Zurich, Switzerland; New York University, Courant Institute of Mathematical Sciences, USA; Department of Computer Science, ETH Zurich, Switzerland; Department of Computer Science, ETH Zurich, Switzerland","2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","2018","","","5545","5545","In this video we present soft self-sensing capacitive arrays and demonstrate their use in capturing dense surface deformations without requiring line of sight. The capacitive arrays are made of two electrode patterns embedded into a single silicone compound. The overlaps of the electrode strip patterns form local capacitors. As the sensor is stretched the local capacitance measurements change. We introduce a fabrication technique that allows to produce such sensors while only requiring hardware readily available in modern fablabs. The resulting sensors are able to densely capture area changes as they deform. Since they do not directly measure bend, a prior is required to fully reconstruct the underlying motion. We propose a deep neural network regressing the sensor geometry from the local area measurements. A motion capture system is used for training data acquisition. At runtime vertex positions are predicted and used as positional constraints to deform a mesh using a state-of-the-art elastic surface energy. The flexibility and accuracy of the introduced sensors is demonstrated in a series of controlled experiments and by fabricating a prototype sensor and applying it to capture deforming skeletal and non-skeletal objects.","2153-0866;2153-0858","978-1-5386-8094-0978-1-5386-8093-3978-1-5386-8095","10.1109/IROS.2018.8594203","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8594203","","Robot sensing systems;Strain;Electrodes;Fabrication;Intelligent robots;Compounds;Capacitors","capacitance;capacitance measurement;capacitive sensors;computerised instrumentation;data acquisition;deformation;mesh generation;neural nets","deformation capture;soft self-sensing capacitive arrays;dense surface deformations;electrode patterns;single silicone compound;electrode strip patterns;local capacitors;local capacitance measurements change;fabrication technique;modern fablabs;resulting sensors;area changes;underlying motion;deep neural network;sensor geometry;local area measurements;motion capture system;runtime vertex positions;state-of-the-art elastic surface energy;prototype sensor;deforming skeletal","","","0","","","","","IEEE","IEEE Conferences"
"Research on Carved Turns of a Skiing Humanoid Robot on a Real-World Slope","J. Han; D. Yoon; H. Song; B. Kim; Y. Kim; C. Park; Y. Eum; J. Moon","Department of Robotics, Hanyang University, Ansan, Gyeonggi-do, 15588, South Korea; Hanyang University, ERICA IUCF, Ansan, Gyeonggi-do, 15588, South Korea; Hanyang University, ERICA IUCF, Ansan, Gyeonggi-do, 15588, South Korea; Department if Interdisciplinary Engineering Systems, Hanyang University, Ansan, Gyeonggi-do, 15588, South Korea; Department if Interdisciplinary Engineering Systems, Hanyang University, Ansan, Gyeonggi-do, 15588, South Korea; Sookmyung Women´s University, PRIME Project Group, Seoul, 04310, South Korea; Department of Physical Education, Seoul National University, Seoul, 08826, South Korea; Department of Physical Education, Seoul National University, Seoul, 08826, South Korea","2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","2018","","","1","9","Humans play sports to improve their athletic ability. The robot, especially humanoid robot, is also able to improve its athletic performances, such as reaction speed and balancing, through robot sports. Therefore, robots have been developed through performing various robot sports events such as robot soccer, robot marathon, robot fight and so on. In this reason, The Ski Robot Challenge was held in South Korea in commemoration of the PyeongChang 2018 Winter Olympic Games. The event was an Alpine slalom skiing competition in the almost same rules to human's but on a relatively short course (80m). To participate in this ski tournament, the skiing robot DIANA has been developed. In this video, the skiing robot technologies were introduced. At first, she must be able to recognize the flags. The deep learning method was used to recognize them. Secondly, she had a motion pattern to perform the carving turn, the most difficult and fastest skiing technique. In order to improve the stability, she compensated her motion to follow reference COP, based on the measured F/T sensor data. In addition, IMU sensor was used to remove instantaneous disturbance. Using these methods, the humanoid robot, DIANA, that can perform the carved turn on a realworld slope was successfully developed.","2153-0866;2153-0858","978-1-5386-8094-0978-1-5386-8093-3978-1-5386-8095","10.1109/IROS.2018.8593796","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8593796","","Humanoid robots;Sports;Robot sensing systems;Moon;Service robots;Intelligent robots","humanoid robots;learning (artificial intelligence);mobile robots;motion control;sport","South Korea;deep learning method;motion pattern;IMU sensor;skiing humanoid Robot;realworld slope;carved turn;skiing robot DIANA;Alpine slalom skiing competition;PyeongChang 2018 Winter Olympic Games;robot sports events","","","0","","","","","IEEE","IEEE Conferences"
"Autonomous Underwater Vehicle Navigation in Structured Environment","D. Park; Y. Lee; K. Jung; H. Kang; H. Ki; J. Lee; Y. Choi; J. Li; H. Myung; H. Choi; J. Suh","Korea Institute of Robot convergence (KIRO); Korea Research Institute of Ship and Ocean Engineering (KRISO); Dept. of Civil and Environmental Eng, Korea Advanced Institute of Science and Technology (KAIST); Korea Institute of Robot convergence (KIRO); Korea Institute of Robot convergence (KIRO); Korea Institute of Robot convergence (KIRO); Korea Institute of Robot convergence (KIRO); Korea Institute of Robot convergence (KIRO); Dept. of Civil and Environmental Eng, Korea Advanced Institute of Science and Technology (KAIST); Korea Research Institute of Ship and Ocean Engineering (KRISO); Dept. of Mechanical System Eng, Pukyong National University","2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","2018","","","5039","5039","With the increase in developments in underwater infrastructure, the demand for development of autonomous vehicle navigation system in structured environment is also increased. However, the localization in a structured environment is a challenging problem due to signal uncertainties and distortions. In order to overcome these problems, we propose the camera and sonar aided integrated navigation system. In the proposed sensor-fusion-based localization scheme, the AUV estimates its own position continuously using artificial landmarks. The artificial landmarks for image sonar is deployed along the path to guide the AUV to the structure. The active vision markers are installed on the jacket structure, and they function as both landmarks and waypoints. This approach prevents the inherent drift of dead-reckoning velocities and collision with structures. The proposed approach was verified through a real sea experiment. The AUV conducted the full autonomous navigation from the dock to the jacket structure, and then returned to the dock without collision or significant localization error. These results show the feasibility of full autonomous navigation in a structured environment.","2153-0866;2153-0858","978-1-5386-8094-0978-1-5386-8093-3978-1-5386-8095","10.1109/IROS.2018.8594429","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8594429","","Sonar navigation;Oceans;Sonar;Autonomous robots;Industries;Intelligent robots;Autonomous underwater vehicles","autonomous underwater vehicles;cameras;geophysical image processing;image sensors;marine navigation;oceanographic techniques;position measurement;sensor fusion;sonar","AUV navigation system;autonomous underwater vehicle navigation system;signal uncertainties;signal distortion;cameras;position estimation;image sonar aided integrated navigation system;active vision markers;inherent drift of dead-reckoning velocities;jacket structure;artificial landmarks;sensor-fusion-based localization scheme;integrated navigation system","","","","","","","","IEEE","IEEE Conferences"
"Blade-Type Crawler Capable of Running on the Surface of Water as Bio-Inspired by a Basilisk Lizard","Y. Yamada; T. Nakamura","Chuo University, Faculty of Science and Engineering, Bunkyo-ku, Tokyo, 1-13-27 Kasuga, 112-8551, Japan; Chuo University, Faculty of Science and Engineering, Bunkyo-ku, Tokyo, 1-13-27 Kasuga, 112-8551, Japan","2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","2018","","","1","9","For unmanned rescue, observation, and/or research, vehicles with high terrain adaptability, high speed, and high reliability are needed to reach hard-to-reach-locations. In order to extend the areas that can be explored, we propose a method and a robot capable of running on the surface of water without having to bypass the puddles and streams that exist on uneven terrain. The method that enables the robot to run on the water surface is bio-inspired by the basilisk lizard that can walk on the surface of water. We developed a blade-type crawler robot with a simple and reliable mechanism, capable of traversing uneven terrain at high speed. The robot with the method was tested on a real water surface and the result confirmed the ability of the robot to run on the water surface.","2153-0866;2153-0858","978-1-5386-8094-0978-1-5386-8093-3978-1-5386-8095","10.1109/IROS.2018.8594397","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8594397","","Crawlers;Blades;Wheels;Rough surfaces;Surface roughness;Legged locomotion","blades;legged locomotion;motion control;robot dynamics","hard-to-reach-locations;water surface;basilisk lizard;blade-type crawler robot;terrain adaptability","","","18","","","","","IEEE","IEEE Conferences"
"Visual-Inertial Teach and Repeat Powered by Google Tango","M. Fehr; T. Schneider; R. Siegwart","ETH Zurich, Autonomous Systems Lab, Leonhardstrasse 21, 8092 Zurich, Switzerland; ETH Zurich, Autonomous Systems Lab, Leonhardstrasse 21, 8092 Zurich, Switzerland; ETH Zurich, Autonomous Systems Lab, Leonhardstrasse 21, 8092 Zurich, Switzerland","2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","2018","","","1","9","Many industrial facilities require periodic visual inspections. Often the points of interest are out of reach or in potentially hazardous environment. Multi-copters are ideal platforms to automate this expensive and tedious task. This video presents a system that enables a human operator to teach a visual inspection task to an autonomous aerial vehicle by simply demonstrating the task using a tablet. The system employs the Google Tango visual-inertial mapping framework as the only source of pose estimates, thus enabling operation in GPS-denied environments. In a first step the operator records the desired inspection path using the tablet. Inspection points are automatically inserted if the operator pauses, holding a viewpoint. The mapping framework then computes a feature-based localization map, which is shared with the robot. After take-off, the robot estimates its pose based on this map and plans a smooth trajectory through the way points defined by the operator. Furthermore, the system is able to track the global pose of other robots or the operator, localized in the same map, and follow them in real-time, while avoiding collision. This was demonstrated in the second part of the video, where the robot is following the operator in real-time through a hedge maze.","2153-0866;2153-0858","978-1-5386-8094-0978-1-5386-8093-3978-1-5386-8095","10.1109/IROS.2018.8593416","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8593416","","Robots;Inspection;Task analysis;Collision avoidance;Google;Autonomous systems;Visualization","automatic optical inspection;autonomous aerial vehicles;collision avoidance;control engineering computing;Global Positioning System;mobile robots;pose estimation;robot vision;trajectory control","human operator;visual inspection task;autonomous aerial vehicle;Google Tango visual-inertial mapping framework;pose estimates;GPS-denied environments;inspection points;feature-based localization map;industrial facilities;multicopters;visual-inertial teach;hedge maze","","","0","","","","","IEEE","IEEE Conferences"
"On-Chip Virtual Vortex Gear and Its Application","T. Takayama; C. Dylan Tsai; M. Kaneko","The Department of Mechanical Engineering, Osaka University, Suita, Japan; The Department of Mechanical Engineering, National Chiao Tung University, Hsinchu, Taiwan; The Department of Mechanical Engineering, Osaka University, Suita, Japan","2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","2018","","","5544","5544","This video presents a microfluidic phenomenon called “Virtual Vortex Gear (VVG)” and an application of it. The video contains 4 parts and is described as follows: The 1st part shows an application of VVG as a controllable valve in a micro fluidic system and the on and off of the valve are controlled by different flow speeds. The valve is turned on when the flow speed is high enough, and vice versa. The 2nd part shows the generation of VVG and its mechanism. When the flow speed, which is proportional to Reynolds Number, is gradually increased, the flow pattern evolves in the order as (1)parallel streamlines, (2)one vortex, (3)two vortices and eventually (4)three vortices including the last vortex inside the circular chamber. The evolution indicates the transmission of flow energy from the main stream to the inside of the chamber when the flow speed is over a certain range. In addition, every two adjacent vortices rotate in opposite directions which is just like a set of gears, and that is why we named it “VVG”. In the 3rd part, an application of VVG for chemical injection is demonstrated. A colored liquid is represented for the chemical and is surrounded by different sheath flow for the control of injection locations. It is found that only the fluid in a particular pinpoint can be injected into the target chamber. Furthermore, the complex but stable 3D flow patterns are visualized from the video. The last part of the video shows that different amount of chemical injection can be performed in different chambers along the same main stream and the distribution of the color is gradually become uniform by spontaneous diffusing.","2153-0866;2153-0858","978-1-5386-8094-0978-1-5386-8093-3978-1-5386-8095","10.1109/IROS.2018.8593418","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8593418","","Gears;Valves;Chemicals;Mechanical engineering;Microfluidics;Conferences;Intelligent robots","flow visualisation;microchannel flow;pattern formation;valves;vortices","VVG;controllable valve;microfluidic system;flow speed;flow energy;chemical injection;sheath flow;3D flow patterns;On-Chip Virtual Vortex Gear;Reynolds number;parallel streamlines;circular chamber;target chamber;spontaneous diffusing","","","","","","","","IEEE","IEEE Conferences"
