"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Pricing as a tool to influence behaviour: Behavioral change workshop, IEEE ITSC 2017","D. R. Lupton","David Lupton & Associates Ltd, Wanganui, New Zealand","2017 IEEE 20th International Conference on Intelligent Transportation Systems (ITSC)","","2017","","","686","689","The most effective way an intelligent transportation system can interact with travellers and modify behaviour is through price. The question is “Can an ITS use data generated from historic and current travel activity to generate and communicate a price to the traveller that will influence travel behaviour in a way that promotes sustainable transportation behaviours and decisions? (ie reduces congestion)”. Economists have known what to do about congestion for half a century, but only now is the technology available with which such solutions could be implemented.","2153-0017","978-1-5386-1526-3978-1-5386-1525-6978-1-5386-1527","10.1109/ITSC.2017.8317964","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8317964","pricing;congestion;economics","Conferences;Pricing;Roads;Genetic algorithms;Vehicles","intelligent transportation systems;pricing;travel industry","travel behaviour;behavioral change workshop;IEEE ITSC;historic travel activity;intelligent transportation system;pricing tool;sustainable transportation behaviours","","","","15","","","","","IEEE","IEEE Conferences"
"Safety and mobility trade-off assessment of a microscopic variable speed limit model","C. Conran; M. Abbas","Charles E. Via, Jr. Department of Civil and Environmental Engineering, Virginia Tech, Blacksburg, Virginia, USA; Charles E. Via, Jr. Department of Civil and Environmental Engineering, Virginia Tech, Blacksburg, Virginia, USA","2017 IEEE 20th International Conference on Intelligent Transportation Systems (ITSC)","","2017","","","1","6","In this paper a three part traffic simulation environment is utilized to quantify the multi-objective optimization frontier of variable speed limit (VSL) control. Specifically the trade-off between safety and mobility performance is quantified for a VSL control algorithm designed to homogenize vehicle speeds within a freeway incident region. A microscopic driver model for VSL traffic previously developed by the authors is implemented in VISSIM's API module and simulation is controlled via a MATLAB COM interface. Results indicate an inverse relationship between safety and mobility performance, forcing jurisdictions designing VSL systems to either conduct multi-objective optimization or set a dominant policy objective (safety versus mobility). Control algorithm parameters that invoke VSL adjustment more frequently produce greater safety benefits but also greater mobility impairments. Freeway volume had no significant effect on VSL performance in this study.","2153-0017","978-1-5386-1526-3978-1-5386-1525-6978-1-5386-1527","10.1109/ITSC.2017.8317816","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8317816","automated highways;computer simulation","Safety;Mathematical model;Vehicles;Computational modeling;Microscopy;Traffic control;Acceleration","application program interfaces;road safety;road traffic control;road vehicles","traffic simulation environment;multiobjective optimization;VISSIM API module;MATLAB COM interface;control algorithm parameters;VSL traffic;microscopic driver model;freeway incident region;VSL control algorithm;mobility performance;microscopic variable speed limit model;mobility trade-off assessment","","","","24","","","","","IEEE","IEEE Conferences"
"Basic study of the estimation of the cognitive level using senior driver's driving behaviors","C. Takahashi; Y. Iribe; H. K. Wanaka; K. Oguri","Graduate School of Information Science and Technology, Aichi Prefectural University, Nagakute, Aichi Japan; Graduate School of lnformation Science and Technology, Aichi Prefectural University, Nagakute, Aichi Japan; Graduate School of lnformation Science and Technology, Aichi Prefectural University, Nagakute, Aichi Japan; Graduate School of lnformation Science and Technology, Aichi Prefectural University, Nagakute, Aichi Japan","2017 IEEE 20th International Conference on Intelligent Transportation Systems (ITSC)","","2017","","","1","6","Japan is one of the leading country of the aging society. For traffic as well, the number of the traffic accidents caused by senior driver is increasing year by year. One of the reason is, number of the senior drivers who have cognitive impairment getting increasing because of length life-span. Currently, Japanese government moved into actions for example to have the campaign for returning of the senior drivers' licenses, or oblige senior driver who doesn't want to return his/her license to take a driving lessons at the driving school each 3 years. But to resolve this problem, society have to take a radically-new way to support senior drivers they can drive much more safely. It would be help for the senior people to keep healthy life. We thought, if we can find the driver who seems to have cognitive impairment, we should provide some advice and prevention training to retard progression. For this motivation, we consider the way to estimate drivers' cognition level from driving behavior. In this paper, we created estimation model to estimate cognition level. We analyzed and compared 654 senior drivers' driving data and cognition test result for the estimation. From driving data, mainly we extract 3 parameters which have significant difference between unimpaired senior driver and slightly impaired. Estimation was performed by RUS-Boost and study data were the 3 parameters. The estimation result was 77.2%. It seemed good result to recognize. It shows, there is possibility to estimate driver's cognition level by driving behavior then if impaired driver is found, some support can be adopted in early stage. It would become important strategy to make health longer and keep safely senior drivers' driving.","2153-0017","978-1-5386-1526-3978-1-5386-1525-6978-1-5386-1527","10.1109/ITSC.2017.8317614","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8317614","Aging Society;Senior Driver;Traffic Accident;Cognitive Impairment","Vehicles;Multitasking;Aging;Life estimation;Licenses;Task analysis","cognition;driver information systems;road accidents;road safety;road traffic","cognitive level estimation;cognition test;driving school;traffic accidents;Japan;impaired driver;unimpaired senior driver;cognition level;driving behavior;senior people;driving lessons;cognitive impairment","","","","20","","","","","IEEE","IEEE Conferences"
"Step up/down motion for a four-wheel-type vehicle","S. Nakajima","Dept. of Systems Engineering, Wakayama University, Japan","2017 IEEE 20th International Conference on Intelligent Transportation Systems (ITSC)","","2017","","","1","6","A demand for developing a personal mobility vehicle (PMV) is increasing. Backgrounds of this include aging society, usage of automobiles, climate change and more. We have developed the PMV, called RT-Mover PType WA (P-WA) for daily activities. In this paper, we propose an algorithm for climbing a step up/down for P-WA. Through simulation and experiment, the availability of the algorithm is evaluated.","2153-0017","978-1-5386-1526-3978-1-5386-1525-6978-1-5386-1527","10.1109/ITSC.2017.8317584","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8317584","personal mobility vehicle;mobility performance;algorithm for climbing a step;RT-Mover","Wheels;Legged locomotion;Sensors;Wheelchairs;Stability analysis;Image edge detection;Trajectory","mobile robots;motion control;road vehicles;wheelchairs","RT-Mover PType WA;P-WA;daily activities;PType;climate change;aging society;PMV;personal mobility vehicle;four-wheel-type vehicle","","","","10","","","","","IEEE","IEEE Conferences"
"A car-following model for connected vehicles under the bidirectional-leader following topology","Y. Li; H. Zhao","College of Automation Chongqing, University of Posts and Telecommunication, Chongqing, China; College of Automation Chongqing, University of Posts and Telecommunication, Chongqing, China","2017 IEEE 20th International Conference on Intelligent Transportation Systems (ITSC)","","2017","","","1","5","This study proposes a new car-following model to capture the characteristics of the connected vehicles (CVs) traffic stream under the bidirectional-leader following topology. To this end, the connection relationship between vehicles through vehicle-to-vehicle communication is described by a bidirectional-leader following topology. Then, the communication topology is characterized using the adjacent matrix. Consequently, a new car-following model is developed to capture the interactions between vehicles. In addition, the stability of the proposed model is analyzed using the perturbation method. Finally, numerical experiments are conducted. Results show that the stable region of the proposed model varies with the size of the traffic stream.","2153-0017","978-1-5386-1526-3978-1-5386-1525-6978-1-5386-1527","10.1109/ITSC.2017.8317663","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8317663","Car-following model;connected vehicles;bidirectional-leader following topology;stability analysis","Topology;Numerical models;Stability analysis;Integrated circuits;Analytical models;Vehicular ad hoc networks;Numerical stability","matrix algebra;road traffic;topology","car-following model;bidirectional-leader following topology;connected vehicle traffic stream characteristics;CV;vehicle-to-vehicle communication topology","","1","","22","","","","","IEEE","IEEE Conferences"
"Compensating drift of mono-visual odometry using road direction sign database","C. Jang; J. E. Park; Y. Kim","School of Mechanical and Control Engineering Handong Global University, Rep. Korea; School of Mechanical and Control Engineering Handong Global University, Rep. Korea; School of Mechanical and Control Engineering Handong Global University, Rep. Korea","2017 IEEE 20th International Conference on Intelligent Transportation Systems (ITSC)","","2017","","","1","4","Mono-Visual odometry (Mono VO) is a widely implemented method to locate the ego-motion of a camera on a mobile platform. Since it is based on concatenating relative motions between image frames, it has a weakness of error accumulation that results erroneous drift for a long-range navigation. In this paper, we propose a drift compensation method for Mono VO by leveraging publicly available road sign database. In the first process of the proposed algorithm, it estimates the relative position of the camera on a vehicle with respect to the road sign using an online database that provides the positions and dimensions of the corresponding road signs. Then, the estimated positions are integrated in the Mono VO pipeline to update the current positions to compensate the accumulated drift. Unlike the previous research, the proposed solution neither uses a post-processing of optimization nor requires a loop closure, not to mention that the required database are easily available on online. Experiments are conducted to compare the proposed method with a Mono VO algorithm and results showed that the relative position drift is bounded within 0.5% for a 3km trajectory.","2153-0017","978-1-5386-1526-3978-1-5386-1525-6978-1-5386-1527","10.1109/ITSC.2017.8317705","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8317705","","Roads;Cameras;Trajectory;Databases;Visual odometry;Pose estimation;Pipelines","distance measurement;mobile robots;motion estimation;navigation;object detection;optimisation;path planning;road vehicles;robot vision;traffic engineering computing","accumulated drift;Mono VO algorithm;relative position drift;mono-visual odometry;road direction sign database;ego-motion;mobile platform;relative motions;image frames;long-range navigation;drift compensation method;online database;size 3.0 km","","","","20","","","","","IEEE","IEEE Conferences"
"Bus arrival time prediction at any distance of bus route using deep neural network model","W. Treethidtaphat; W. Pattara-Atikom; S. Khaimook","National Electronics and Computer Technology Center, 112 Phahonyothin Road, Khlong Nueng, Khlong Luang 12120, Pathum Thani, Thailand; National Electronics and Computer Technology Center, 112 Phahonyothin Road, Khlong Nueng, Khlong Luang 12120, Pathum Thani, Thailand; National Electronics and Computer Technology Center, 112 Phahonyothin Road, Khlong Nueng, Khlong Luang 12120, Pathum Thani, Thailand","2017 IEEE 20th International Conference on Intelligent Transportation Systems (ITSC)","","2017","","","988","992","A precise prediction of transportation time is important to help both passengers to plan their trips and bus operations control to make an effective fleet management. In this study, we make use of GPS data from a public transportation bus line to develop a public bus arrival time prediction at any distance along the route. With large and complex information, deep neural network model (DNN) is used to get high prediction accuracy. In this paper, variables and structures of the proposed DNN model are presented. The performance of the proposed model is evaluated by conducting real BMTA-8 bus data in Bangkok, Thailand, and comparing the result with the currently used ordinary least square (OLS) regression model. The result shows that the proposed DNN model is more accurate than the OLS regression model around 55% for mean absolute percentage error (MAPE). It outperforms the current prediction method of the studied bus line, and it is feasible and applicable for bus travel time prediction of any route.","2153-0017","978-1-5386-1526-3978-1-5386-1525-6978-1-5386-1527","10.1109/ITSC.2017.8317891","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8317891","Bus arrival time prediction;Deep neural network (DNN);Ordinary least square regression (OLS);Intelligent Transportation Systems (ITS)","Predictive models;Data models;Adaptation models;Conferences;Computational modeling;Neural networks;Roads","Global Positioning System;least squares approximations;neural nets;regression analysis;traffic engineering computing;transportation","bus route;deep neural network model;transportation time;bus operations control;GPS data;public transportation bus line;public bus arrival time prediction;DNN model;BMTA-8 bus data;OLS regression model;bus travel time prediction;fleet management;bus line;mean absolute percentage error;ordinary least square","","","","12","","","","","IEEE","IEEE Conferences"
"Hypovigilance in limited self-driving automation: Peripheral visual stimulus for a balanced level of automation and cognitive workload","J. Çapalar; C. Olaverri-Monreal","University of Applied Sciences Technikum Wien, Department of Information Engineering and Security, Vienna, Austria; University of Applied Sciences Technikum Wien, Department of Information Engineering and Security, Vienna, Austria","2017 IEEE 20th International Conference on Intelligent Transportation Systems (ITSC)","","2017","","","27","31","Higher levels of vehicle automation might lead to a reduction in driver situational awareness, as driver intervention to control the vehicle is only demanded in novel, previously unencountered situations that the automation might not be able to handle. In this paper we address this question by presenting a study on continuous, in-vehicle visual stimulus to reduce driver reaction time after a period of hypovigilance. We relied on peripheral vision, which is processed subconsciously, to implement an unobtrusive method based on luminescence. Data analysis showed a tendency among drivers to respond faster to a Take Over Request when their peripheral vision detected the stimulus.","2153-0017","978-1-5386-1526-3978-1-5386-1525-6978-1-5386-1527","10.1109/ITSC.2017.8317925","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8317925","","Vehicles;Luminescence;Automation;Visualization;Roads;Conferences;Task analysis","cognition;computer vision;data analysis;driver information systems;neurophysiology;road safety;road vehicles","limited self-driving automation;data analysis;Take Over Request;peripheral vision;driver reaction time;in-vehicle visual stimulus;unencountered situations;driver intervention;driver situational awareness;vehicle automation;cognitive workload;balanced level;Peripheral visual stimulus;hypovigilance","","","","26","","","","","IEEE","IEEE Conferences"
"Implementation of dynamic boundary on multiple Kalman trackings using radar","M. Hsieh; S. Luo; P. Liao; D. Ye","Automotive Research and Testing Center, Changhua County, Taiwan 50544; Automotive Research and Testing Center, Changhua County, Taiwan 50544; Automotive Research and Testing Center, Changhua County, Taiwan 50544; Automotive Research and Testing Center, Changhua County, Taiwan 50544","2017 IEEE 20th International Conference on Intelligent Transportation Systems (ITSC)","","2017","","","1","6","The development of advanced driver assistance systems (ADAS) is of importance to prevent the potential driving risks on the road, which relies on the perceptive sensors to detect and identify the traffic conditions. This paper examines a method to track multiple objects and determine the high risk obstacles using radar. We experiment the scenarios as the vehicle and pedestrians in front, as well as the pedestrian crossing the street. The multiple tracks are achieved based on the Kalman filter. This work implements the state prediction model to compensate the missing targets, and the false positives are excluded through a threshold of bad tracks. To identify the potential obstacles, we impose two boundaries, i.e., lane and dynamic boundaries as the region of interest on the multiple tracks. It is demonstrated that the dynamic boundary benefits the finding of high risk obstacles and excludes most of the background noises. The lane boundary takes the advantage of tracking objects along the driving path: however, it could underestimate the risk of transverse moving objects in which the tracks are not continuous crossing the lanes.","2153-0017","978-1-5386-1526-3978-1-5386-1525-6978-1-5386-1527","10.1109/ITSC.2017.8317677","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8317677","","Radar tracking;Target tracking;Sensors;Kalman filters;Vehicle dynamics;Radar detection","driver information systems;Kalman filters;object detection;radar detection;radar receivers;radar tracking","advanced driver assistance systems;perceptive sensors;Kalman filter;Kalman tracking","","","","11","","","","","IEEE","IEEE Conferences"
"Detection method of wide-area incident with massive probe vehicle data","T. Kusakabe","Center for Spatial Information Science, The University of Tokyo, Kashiwa, Japan","2017 IEEE 20th International Conference on Intelligent Transportation Systems (ITSC)","","2017","","","1","6","Recent advances in information and communication technologies enable us to collect large spatio-temporal data of road traffic and to provide continuous, specific, historical, and wide-area datasets. Probe vehicle data are one of the most widely used passive datasets that can potentially observe wide ranges in the network, as they do not require fixed sensors. Such datasets potentially observe various phenomena which are caused by various reasons. However, it is not easy to detect significant incidents from such phenomenon due to the multi-dimensional form of the dataset and the large size required to scan the entire dataset. Incident detection is one of the significant approaches for monitoring of traffic flow and data cleansing to acquire “typical traffic situation” for analysis of measures and calibrations of models. Several previous studies have attempted to determine the local changes in the traffic flow. However, a few studies investigated a method to explore the significant incidents influencing wide-ranges of the spatio-temporal dimension which are possibly caused by the changes on either or both the service and demand side. This study proposes a data mining method to detect unusual situations in large-scale road network from a large volume of probe vehicle dataset. The method employs a nonparametric probabilistic function and the Markov random field to consider the spatio-temporal correlations in the probe vehicle dataset. The method is applied to an actual dataset provided by 40000 commercial vehicles all over Japan.","2153-0017","978-1-5386-1526-3978-1-5386-1525-6978-1-5386-1527","10.1109/ITSC.2017.8317717","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8317717","probe vehicle;incident detection;Markov random field (MRF);k-means++","Probes;Roads;Traffic control;Conferences;Correlation;Global Positioning System","data mining;Markov processes;road traffic;spatiotemporal phenomena;traffic engineering computing","detection method;wide-area incident;massive probe vehicle data;spatio-temporal data;road traffic;wide-area datasets;multidimensional form;entire dataset;incident detection;traffic flow;spatio-temporal dimension;data mining method;large-scale road network;probe vehicle dataset;spatio-temporal correlations;actual dataset;information and communication technologies;traffic situation;commercial vehicles;passive datasets","","","","9","","","","","IEEE","IEEE Conferences"
