"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Queuing Analysis at Toll Stations under the Toll-free Policy in Holidays in Shanghai","Q. He; Y. Li; J. Li; X. Liang; J. Shen; J. Sun","Engineering of the Ministry of Education, Tongji University, Key Laboratory of Road and Traffic, Shanghai, China; Engineering of the Ministry of Education, Tongji University, Key Laboratory of Road and Traffic, Shanghai, China; Engineering of the Ministry of Education, Tongji University, Key Laboratory of Road and Traffic, Shanghai, China; Engineering of the Ministry of Education, Tongji University, Key Laboratory of Road and Traffic, Shanghai, China; Engineering of the Ministry of Education, Tongji University, Key Laboratory of Road and Traffic, Shanghai, China; Engineering of the Ministry of Education, Tongji University, Key Laboratory of Road and Traffic, Shanghai, China","2018 21st International Conference on Intelligent Transportation Systems (ITSC)","","2018","","","755","758","In order to stimulate the holiday economy and ensure smooth travel, the Chinese government decided to exempt the tolls of small passenger cars on major holidays since the National Day on October 1st, 2012. Taking a toll station in Shanghai as a case study, this paper analyzed its queuing situation on the first day of Tomb-sweeping day holiday before and after the toll-free policy with a queuing theory model. How to balance the induced traffic and the limited highway capacity with optimal toll strategies was also discussed. The results show that with total departure traffic volume increasing and an average service time decreasing, the average queue length and congestion duration became longer for the first year after the implementation of the policy. But then queuing situations were improved markedly in later years with increasing percentage of ETC users. The conclusions may benefit policy makers for transition process of different toll strategies around the world.","2153-0017;2153-0009","978-1-7281-0323-5978-1-7281-0321-1978-1-7281-0322-8978-1-7281-0324","10.1109/ITSC.2018.8569390","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8569390","highway capacity;toll;queuing theory model;electronic toll collection","Roads;Automobiles;Queueing analysis;Urban areas;Government;Solid modeling","queueing theory;road pricing (tolls);road traffic","smooth travel;Chinese government;passenger cars;National Day;toll station;Shanghai;queuing situation;Tomb-sweeping day holiday;toll-free policy;queuing theory model;optimal toll strategies;total departure traffic volume;average queue length;policy makers;holiday economy","","","5","","","","","IEEE","IEEE Conferences"
"A possible new system for the non-invasive assessment of thermal stress in continuous welded rails","A. Nasrollahi; P. Rizzo","Department of Civil & Environmental Engineering, University of Pittsburgh, Pittsburgh, PA, USA; Department of Civil & Environmental Engineering, University of Pittsburgh, Pittsburgh, PA, USA","2018 21st International Conference on Intelligent Transportation Systems (ITSC)","","2018","","","1580","1584","This paper describes a new nondestructive evaluation method to measure the axial stress of thick beams with the aim of developing a new intelligent system to monitor continuous welded rails subjected to thermal stress. The method relies on the propagation of highly nonlinear solitary waves within a granular medium made of a monoperiodic chain of spherical particles. The hypothesis of the investigation is that, while one end of the chain is in contact with the rail or beam to be probed, a solitary wave is triggered in the chain and the amplitude and speed of the waves reflected at the chain/structure interface is affected by the axial stress. To verify this hypothesis a finite element model of thermally stressed beams was developed and coupled to a discrete finite element model able to predict the propagation of the solitary waves along a L-shaped granular medium. The models were validated experimentally and the results show that the amplitude and the time of flight of the reflected waves are a function of the axial stress. In the future, these findings may be used to develop a new intelligent sensing system to increase the safety or rail transportation.","2153-0017;2153-0009","978-1-7281-0323-5978-1-7281-0321-1978-1-7281-0322-8978-1-7281-0324","10.1109/ITSC.2018.8569937","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8569937","rail transportation;highly nonlinear solitary waves;buckling;sensing systems;nondestructive evaluation","Stress;Rails;Transducers;Finite element analysis;Temperature measurement;Mathematical model;Thermal stresses","beams (structures);condition monitoring;finite element analysis;mechanical contact;nondestructive testing;rails;railways;thermal stresses","thermally stressed beams;discrete finite element model;solitary wave;granular medium;intelligent sensing system;noninvasive assessment;continuous welded rails;nondestructive evaluation method;monoperiodic chain;nonlinear solitary waves;chain-structure interface;rail transportation","","","21","","","","","IEEE","IEEE Conferences"
"Danger Degree Evaluation Method of Crossroad Scenario Based on Naturalistic Driving Analysis","Y. Yan; X. Zhu; M. Liao; Z. Ma","School of Automotive Studies, Tongji University, Shanghai, China; School of Automotive Studies, Tongji University, Shanghai, China; School of Automotive Studies, Tongji University, Shanghai, China; School of Automotive Studies, Tongji University, Shanghai, China","2018 21st International Conference on Intelligent Transportation Systems (ITSC)","","2018","","","1435","1440","Danger level of Intersections is particularly high because numerous vehicle trajectories converge here. The commonly used parameter TTC (Time to Collision) does not evaluate crossroad scenario exactly. EPET (Estimating Post Encroachment Time) and TTC can more effectively assess the danger degree in this scenario. In order to promote the development of active safety products at crossings, the trajectories of the two vehicles in crossroad scenario in the natural driving data are reproduced through image processing method. Features of monocular camera used in the data collecting process were considered and the picture distortion was corrected. The `EPET-TTC' method is applied to divide hazard area into pieces of this kind of scenario. The evaluation method can be an advanced reference for automated vehicle products at intersections. Moreover, this article describes the procedure of utilizing Naturalistic Driving Data.","2153-0017;2153-0009","978-1-7281-0323-5978-1-7281-0321-1978-1-7281-0322-8978-1-7281-0324","10.1109/ITSC.2018.8569328","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8569328","naturalistic driving;crossroad scenario;image processing;EPET","Trajectory;Cameras;Automobiles;Image processing;Mathematical model;Risk management","driver information systems;image reconstruction;road traffic;road vehicles;traffic engineering computing","data collecting process;EPET-TTC method;Naturalistic Driving Data;crossroad scenario;Naturalistic Driving analysis;Time to Collision;Estimating Post Encroachment Time;image processing;intersection danger level;danger degree evaluation;monocular camera features;picture distortion correction;intersection ADAS","","","7","","","","","IEEE","IEEE Conferences"
"A Revealed Preference Time of Day Model for Departure Time of Delivery Trucks in the Netherlands","A. G. J. Vegelien; E. R. Dugundji","Faculty of Science, Department of Mathematics, Vrije Universiteit, Amsterdam, 1081 HV, Netherlands; Faculty of Science, Department of Mathematics, Vrije Universiteit, Amsterdam, 1081 HV, Netherlands","2018 21st International Conference on Intelligent Transportation Systems (ITSC)","","2018","","","1770","1774","This paper presents one of the first discrete choice models regarding truck departure time for road freight transport using revealed preference electronic trace data. The data containing 1447 logistical routes was obtained from GPS units in trucks of a large European retailer in June 2016. Detailed historical link speed data of the road network is used to compute trip durations for non-chosen departure times for each specific recorded route. A baseline multinomial logit model is initially estimated solely based upon trip duration as an explanatory variable. Next, product type is added as an observed variable, improving the multinomial logit model fit. Finally, the model is flexibly extended to incorporate unobserved heterogeneity by nesting departure time alternatives into time blocks for morning, afternoon, and night, further improving the model fit.","2153-0017;2153-0009","978-1-7281-0323-5978-1-7281-0321-1978-1-7281-0322-8978-1-7281-0324","10.1109/ITSC.2018.8569509","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8569509","","Roads;Global Positioning System;Systematics;Computational modeling;Estimation;Europe;Histograms","freight handling;Global Positioning System;logistics;transportation","Netherlands;discrete choice models;road freight transport;revealed preference electronic trace data;GPS units;European retailer;road network;trip duration;baseline multinomial logit model;time blocks;historical link speed data;revealed preference time of day model;delivery truck departure time;logistical routes;departure time alternatives","","","12","","","","","IEEE","IEEE Conferences"
"Performance Analysis of UWB Positioning System at the Crossing","A. Nakamura; N. Shimada; M. Itami","Department of Applied Electronics, Tokyo University of Science, Japan, 6-3-1 Niijuku, Katsushika-ku, Tokyo, 125-8585, Japan; Department of Applied Electronics, Tokyo University of Science, Japan, 6-3-1 Niijuku, Katsushika-ku, Tokyo, 125-8585, Japan; Department of Applied Electronics, Tokyo University of Science, Japan, 6-3-1 Niijuku, Katsushika-ku, Tokyo, 125-8585, Japan","2018 21st International Conference on Intelligent Transportation Systems (ITSC)","","2018","","","786","791","Currently, the measures to traffic accident are advanced with the spread of the automobile. This paper discusses the pedestrian positioning system based on UWB(Ultra-Wide Band) ranging. In this system, base stations to receive UWB signal that is transmitted from pedestrians are attached to a traffic light for pedestrians. Positions of pedestrians are estimated by LSM(Least Square Method) using the ranging value that is estimated by UWB ranging scheme. The slotted ALOHA scheme is adopted for multiple access to access control. UWB positioning estimation system can detect positions with the error of 40cm. However, detailed characteristics of UWB positioning estimation system is not analyzed. In this paper, positioning error and PSR(Positioning Successful Rate) of estimation system are evaluated and analyzed by computer simulations. Also, positioning error and PSR are depended on the number of base stations. Thus, the effect of increasing the number of base stations is evaluated and analyzed. As the results of computer simulations, it is shown that the position of the pedestrian can be accurately estimated by using UWB positioning system.","2153-0017;2153-0009","978-1-7281-0323-5978-1-7281-0321-1978-1-7281-0322-8978-1-7281-0324","10.1109/ITSC.2018.8569309","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8569309","UWB;Positioning;Slotted ALOHA","Base stations;Estimation;Distance measurement;Transmitters;IEEE 802.15 Standard;Computer simulation;Accidents","access protocols;time-of-arrival estimation;ultra wideband communication","pedestrian positioning system;UWB signal;UWB ranging scheme;UWB positioning estimation system;positioning error;UWB positioning system;positioning successful rate","","","7","","","","","IEEE","IEEE Conferences"
"Effect of Sliding Window Time on the Classification of Driver Mental Workload Performance Using Near-Infrared Spectroscopy (NIRS)","A. S. LE; H. AOKI","Vietnam National University of Agriculture; Institutes of Innovation for Future Society, Nagoya University, Nagoya, 464-8601, Japan","2018 21st International Conference on Intelligent Transportation Systems (ITSC)","","2018","","","1815","1819","Near-infrared spectroscopy (NIRS) is a promising solution for classifying mental workload while driving, which is important for creating a support system and preventing traffic accidents. Most of the existing research classified mental workload levels via machine learning or deep learning algorithms, where the sliding window time plays an important role in obtaining the features. This study investigated a novel classification of mental workload level using NIRS data by the difference of sliding window time in both channel-independent and subject-independent scenarios. Five sliding times from 1 to 5 s were tested for classification of the mental workload level in 60 experiments in the naturalistic condition. The results indicated that the sliding times were not significantly related to the accuracy of classification using NIRS data when the sample size was just enough. Furthermore, this study succeeded in indicating the driver mental workload using NIRS information in the naturalistic situation with autocross and car-following conditions with an accuracy of over 80%.","2153-0017;2153-0009","978-1-7281-0323-5978-1-7281-0321-1978-1-7281-0322-8978-1-7281-0324","10.1109/ITSC.2018.8569996","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8569996","NIRS;machine learning;classification;driver mental workload","Task analysis;Technological innovation;Vehicles;Machine learning;Training;Spectroscopy;Classification algorithms","electroencephalography;human computer interaction;learning (artificial intelligence);medical signal processing;signal classification;traffic engineering computing","sliding window time;driver mental workload performance;near-infrared spectroscopy;support system;mental workload level;deep learning algorithms;NIRS data;sliding times;NIRS information;traffic accident prevention;autocross condition;car-following condition;time 1.0 s to 5.0 s","","","28","","","","","IEEE","IEEE Conferences"
"Anomaly Detection of Roads from Driving Data Using a Statistical Discrepancy Measure","K. Ikeda; T. Kubo; H. Sasaki; M. Mori; K. Hitomi; K. Takenaka; K. Muto","Division of Information Science, Nara Institute of Science and Technology, Takayama, Ikoma, Nara, Japan; Division of Information Science, Nara Institute of Science and Technology, Takayama, Ikoma, Nara, Japan; Division of Information Science, Nara Institute of Science and Technology, Takayama, Ikoma, Nara, Japan; DENSO CORPORATION, Kariya, Aichi, Japan; NA; DENSO CORPORATION, Kariya, Aichi, Japan; DENSO CORPORATION, Kariya, Aichi, Japan","2018 21st International Conference on Intelligent Transportation Systems (ITSC)","","2018","","","2064","2067","Anomalies in roads such as obstacles and accidents often cause fatal accidents and should be detected as soon as possible. We formulated the problem of detecting obstacles from driving behaviors as a change-point detection, not an anomaly detection problem, because driving behaviors are too distributed to make a `standard driving' model. To model the distribution of driving states at each location at each time, we employed a nonparametric method due to a wide variety of the distribution and applied a change-point detection method called the maximum mean discrepancy to our synthetic data made using a traffic simulator. As a result, we successfully detected the existence of obstacles with high accuracy.","2153-0017;2153-0009","978-1-7281-0323-5978-1-7281-0321-1978-1-7281-0322-8978-1-7281-0324","10.1109/ITSC.2018.8569458","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8569458","","Roads;Automobiles;Principal component analysis;Kernel;Accidents;Feature extraction","nonparametric statistics;road traffic;statistical analysis;traffic engineering computing","statistical discrepancy measure;fatal accidents;driving behaviors;nonparametric method;change-point detection method;maximum mean discrepancy;synthetic data;roads anomaly detection;standard driving model;traffic simulator;obstacles detection","","","13","","","","","IEEE","IEEE Conferences"
"Virginia Tech Comprehensive Powered-based Fuel Consumption Model: Modeling Compressed Natural Gas Buses","J. Wang; H. A. Rakha","Center for Sustainable Mobility, Virginia Tech Transportation Institute, Blacksburg, VA, 24061, USA; Center for Sustainable Mobility, Virginia Tech Transportation Institute, Blacksburg, VA, 24061, USA","2018 21st International Conference on Intelligent Transportation Systems (ITSC)","","2018","","","1882","1887","The paper develops a compressed natural gas (CNG) bus fuel consumption model based on the Virgina Tech Comprehensive Power-based Fuel Consumption Model (VT-CPFM) approach. The model is calibrated using GPS data and MOtor Vehicle Emissions Simulator (MOVES) energy inventory. Validation effort is first made by comparing model predictions against MOVES estimates at an instantaneous level, followed by analysis on the sensitivity of estimated optimum fuel economy cruise speeds to road grade and vehicle weight. The results demonstrate that calibrated models significantly differ from those of diesel buses. Model testing work demonstrates a good agreement between model estimates and MOVES results. The study also indicates that the optimum fuel economy cruise speed ranges between 40 to 50 km/h with road grade varying from 0% to 8%, which is similar to diesel buses. Sensitivity analysis provides valuable insights that steeper roads and heavier CNG buses result in lower optimum cruise speeds, and that optimum cruise speeds are more sensitive to vehicle weight at higher grade levels. The proposed model will greatly support ITS applications in terms of fuel efficiency improvement.","2153-0017;2153-0009","978-1-7281-0323-5978-1-7281-0321-1978-1-7281-0322-8978-1-7281-0324","10.1109/ITSC.2018.8569252","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8569252","","Data models;Roads;Testing;Fuel economy;Conferences","air pollution;energy consumption;fuel economy;hybrid electric vehicles;natural gas technology;road vehicles;sensitivity analysis;vehicle dynamics","fuel efficiency improvement;compressed natural gas bus fuel consumption model;Virgina Tech Comprehensive Power-based Fuel Consumption Model approach;MOtor Vehicle Emissions Simulator energy inventory;GPS data;sensitivity analysis","","","14","","","","","IEEE","IEEE Conferences"
"On Using Drivers' Eyes to Predict Accident-Causing Drowsiness Levels","A. Byrnes; C. Sturton","University of North Carolina, Chapel Hill; University of North Carolina, Chapel Hill","2018 21st International Conference on Intelligent Transportation Systems (ITSC)","","2018","","","2092","2097","We examine the use of video data to determine a driver's drowsiness level. We conduct a user study to collect video of a user reading, watching a driving simulation, and playing a video game that simulates driving. Alongside each video is the user's sleepiness as measured by the Stanford Sleepiness Scale, the Epworth Sleepiness Scale, and eight questions that have been shown to coincide with unsafe driving. Using this data, we replicate the results of prior art, showing that on average, changes in eye movement do correlate with drowsiness. We find however, that the measurements appear to have no predictive value for the drowsiness metrics that are known to coincide with unsafe driving. We determine that additional research in detecting driver drowsiness is needed. Our user study data is publicly available.","2153-0017;2153-0009","978-1-7281-0323-5978-1-7281-0321-1978-1-7281-0322-8978-1-7281-0324","10.1109/ITSC.2018.8569293","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8569293","","Sleep;Vehicles;Measurement;Accidents;Correlation;Brain modeling;Eyelids","biomechanics;biomedical measurement;computer games;eye;medical computing;road accidents;road safety;sleep","drowsiness metrics;driver drowsiness;video data;user reading;driving simulation;video game;Stanford Sleepiness Scale;Epworth Sleepiness Scale;eye movement;accident-causing drowsiness levels","","","15","","","","","IEEE","IEEE Conferences"
"Design of Optimal Phase Plans for Isolated Intersections Using Vertex Coloring and Binary Integer Linear Programming","T. A. Ambili; S. Devi Kumaravel; M. S. Thilagavathy; R. Ayyagari","Department of Instrumentation and Control Engineering, NIT, Tiruchirappalli, India; Department of Instrumentation and Control Engineering, NIT, Tiruchirappalli, India; Department of Instrumentation and Control Engineering, NIT, Tiruchirappalli, India; Department of Instrumentation and Control Engineering, NIT, Tiruchirappalli, India","2018 21st International Conference on Intelligent Transportation Systems (ITSC)","","2018","","","3591","3595","In this paper, a novel optimization technique is proposed to minimize the total number of phases in a traffic signal cycle at isolated intersections for safer and efficient traffic signal allocation. Each phase consists of traffic movements with no conflicts and includes all pedestrian crosswalks once in the signal cycle. The traffic movements and associated conflicting relations are converted to an incompatibility graph. Two vertices in the graph are assigned the same color if they are not connected by an edge. A vertex coloring algorithm has been employed to find the minimum number of colors that can identify and group the nonconflicting vertices. We formulate it as a Linear programming problem with appropriate constraints to obtain the minimum possible colors. The color class sets obtained constitutes the optimal phases which ensure safety at an isolated intersection.","2153-0017;2153-0009","978-1-7281-0323-5978-1-7281-0321-1978-1-7281-0322-8978-1-7281-0324","10.1109/ITSC.2018.8569736","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8569736","","Color;Legged locomotion;Optimization;Linear programming;Roads;Urban areas","graph colouring;integer programming;linear programming;pedestrians;road traffic;traffic engineering computing","optimal phase plans;isolated intersection;novel optimization technique;traffic signal cycle;traffic movements;pedestrian crosswalks;incompatibility graph;vertex coloring algorithm;color class;binary integer linear programming;traffic signal allocation","","","9","","","","","IEEE","IEEE Conferences"
