,admin_name,capital,city,city_ascii,country,id,iso2,iso3,lat,lng,population
5734,Shanghai,admin,Shanghai,Shanghai,China,1156073548.0,CN,CHN,31.2165,121.4365,14987000.0
9955,Pennsylvania,,Pittsburgh,Pittsburgh,United States,1840001254.0,US,USA,40.4396,-79.9763,1722206.0
5734,Shanghai,admin,Shanghai,Shanghai,China,1156073548.0,CN,CHN,31.2165,121.4365,14987000.0
1405,Noord-Holland,primary,Amsterdam,Amsterdam,Netherlands,1528355309.0,NL,NLD,52.35,4.9166,1031000.0
7810,Tōkyō,primary,Tokyo,Tokyo,Japan,1392685764.0,JP,JPN,35.685,139.7514,35676000.0
7842,Aichi,admin,Nagoya,Nagoya,Japan,1392407472.0,JP,JPN,35.155,136.915,3230000.0
786,Koulikoro,minor,Nara,Nara,Mali,1466925477.0,ML,MLI,15.18,-7.28,18459.0
8206,Virginia,,Blacksburg,Blacksburg,United States,1840006446.0,US,USA,37.23,-80.4277,93560.0
4390,Western Australia,,Northam,Northam,Australia,1036868267.0,AU,AUS,-31.6566,116.6534,5855.0
7606,Tamil Nādu ,,Tiruchirappalli,Tiruchirappalli,India,1356884472.0,IN,IND,10.81,78.69,951000.0
7862,Saitama,admin,Saitama,Saitama,Japan,1392017719.0,JP,JPN,35.9,139.65,
10322,California,,Berkeley,Berkeley,United States,1840018914.0,US,USA,37.8723,-122.276,121240.0
10322,California,,Berkeley,Berkeley,United States,1840018914.0,US,USA,37.8723,-122.276,121240.0
4983,São Paulo,,Campinas,Campinas,Brazil,1076145766.0,BR,BRA,-22.9,-47.1,2791000.0
2789,Stockholm,primary,Stockholm,Stockholm,Sweden,1752425602.0,SE,SWE,59.3508,18.0973,1264000.0
1744,Biliran,admin,Naval,Naval,Philippines,1608929611.0,PH,PHL,11.5612,124.3952,
9166,Texas,,Universal City,Universal City,United States,1840022225.0,US,USA,29.5521,-98.3074,20359.0
8010,Seoul,primary,Seoul,Seoul,"Korea, South",1410836482.0,KR,KOR,37.5663,126.9997,9796000.0
9166,Texas,,Universal City,Universal City,United States,1840022225.0,US,USA,29.5521,-98.3074,20359.0
6311,Lower Saxony,minor,Braunschweig,Braunschweig,Germany,1276941443.0,DE,DEU,52.25,10.5,244715.0
9166,Texas,,Universal City,Universal City,United States,1840022225.0,US,USA,29.5521,-98.3074,20359.0
8249,District of Columbia,primary,Washington,Washington,United States,1840006060.0,US,USA,38.9047,-77.0163,5191844.0
9166,Texas,,Universal City,Universal City,United States,1840022225.0,US,USA,29.5521,-98.3074,20359.0
6314,Baden-Württemberg,minor,Karlsruhe,Karlsruhe,Germany,1276923210.0,DE,DEU,49.0,8.4,377487.0
1480,Canterbury,,Christchurch,Christchurch,New Zealand,1554377228.0,NZ,NZL,-43.535,172.63,363200.0
7842,Aichi,admin,Nagoya,Nagoya,Japan,1392407472.0,JP,JPN,35.155,136.915,3230000.0
6536,Al Qāhirah,primary,Cairo,Cairo,Egypt,1818253931.0,EG,EGY,30.05,31.25,11893000.0
6324,Baden-Württemberg,minor,Ulm,Ulm,Germany,1276002212.0,DE,DEU,48.4004,10.0,172955.0
1955,Cluj,admin,Cluj-Napoca,Cluj-Napoca,Romania,1642503974.0,RO,ROU,46.7884,23.5984,316748.0
6280,Bavaria,admin,Munich,Munich,Germany,1276692352.0,DE,DEU,48.1299,11.575,1275000.0
8067,Washington,,Pacific,Pacific,United States,1840019834.0,US,USA,47.261,-122.2507,7122.0
4545,Brussels-Capital Region,primary,Brussels,Brussels,Belgium,1056469830.0,BE,BEL,50.8333,4.3333,1743000.0
7055,Labé,admin,Labé,Labe,Guinea,1324900784.0,GN,GIN,11.32,-12.3,140575.0
3724,Florida,admin,Florida,Florida,Uruguay,1858077099.0,UY,URY,-34.099,-56.215,32234.0
789,Ségou,minor,San,San,Mali,1466198810.0,ML,MLI,13.3004,-4.9,41386.0
1391,Granada,admin,Granada‎,Granada,Nicaragua,1558101678.0,NI,NIC,11.9337,-85.95,105219.0
7510,Delhi,admin,Delhi,Delhi,India,1356872604.0,IN,IND,28.67,77.23,15926000.0
7377,Dublin,primary,Dublin,Dublin,Ireland,1372595407.0,IE,IRL,53.3331,-6.2489,1059000.0
6685,Île-de-France,primary,Paris,Paris,France,1250015082.0,FR,FRA,48.8667,2.3333,9904000.0
5743,Jiangxi,admin,Nanchang,Nanchang,China,1156198892.0,CN,CHN,28.68,115.88,2350000.0
7842,Aichi,admin,Nagoya,Nagoya,Japan,1392407472.0,JP,JPN,35.155,136.915,3230000.0
6570,Galicia,,Vigo,Vigo,Spain,1724045676.0,ES,ESP,42.22,-8.73,378952.0
6600,Madrid,primary,Madrid,Madrid,Spain,1724616994.0,ES,ESP,40.4,-3.6834,5567000.0
