,admin_name,capital,city,city_ascii,country,id,iso2,iso3,lat,lng,population
2665,Chelyabinskaya Oblast’,admin,Chelyabinsk,Chelyabinsk,Russia,1643224011.0,RU,RUS,55.155,61.4387,1091000.0
8206,Virginia,,Blacksburg,Blacksburg,United States,1840006446.0,US,USA,37.23,-80.4277,93560.0
8188,Virginia,,Petersburg,Petersburg,United States,1840003861.0,US,USA,37.2042,-77.3914,31882.0
7093,Attikí,primary,Athens,Athens,Greece,1300715560.0,GR,GRC,37.9833,23.7333,3242000.0
3442,Taipei,primary,Taipei,Taipei,Taiwan,1158881289.0,TW,TWN,25.0358,121.5683,6900273.0
8188,Virginia,,Petersburg,Petersburg,United States,1840003861.0,US,USA,37.2042,-77.3914,31882.0
2665,Chelyabinskaya Oblast’,admin,Chelyabinsk,Chelyabinsk,Russia,1643224011.0,RU,RUS,55.155,61.4387,1091000.0
5758,Jilin,,Jilin,Jilin,China,1156646448.0,CN,CHN,43.85,126.55,2396000.0
2665,Chelyabinskaya Oblast’,admin,Chelyabinsk,Chelyabinsk,Russia,1643224011.0,RU,RUS,55.155,61.4387,1091000.0
8188,Virginia,,Petersburg,Petersburg,United States,1840003861.0,US,USA,37.2042,-77.3914,31882.0
2665,Chelyabinskaya Oblast’,admin,Chelyabinsk,Chelyabinsk,Russia,1643224011.0,RU,RUS,55.155,61.4387,1091000.0
4225,Steiermark,admin,Graz,Graz,Austria,1040184559.0,AT,AUT,47.0778,15.41,263234.0
6110,Zhejiang,admin,Hangzhou,Hangzhou,China,1156275243.0,CN,CHN,30.25,120.17,3007000.0
8188,Virginia,,Petersburg,Petersburg,United States,1840003861.0,US,USA,37.2042,-77.3914,31882.0
1861,Porto,admin,Porto,Porto,Portugal,1620356810.0,PT,PRT,41.15,-8.62,1337000.0
8188,Virginia,,Petersburg,Petersburg,United States,1840003861.0,US,USA,37.2042,-77.3914,31882.0
2228,Samarskaya Oblast’,admin,Samara,Samara,Russia,1643205757.0,RU,RUS,53.195,50.1513,1137000.0
4227,Wien,primary,Vienna,Vienna,Austria,1040261752.0,AT,AUT,48.2,16.3666,2400000.0
4218,Burgenland,admin,Eisenstadt,Eisenstadt,Austria,1040751740.0,AT,AUT,47.8333,16.5333,13165.0
5758,Jilin,,Jilin,Jilin,China,1156646448.0,CN,CHN,43.85,126.55,2396000.0
10323,California,,Berkeley,Berkeley,United States,1840018914.0,US,USA,37.8723,-122.276,121240.0
3452,Taoyuan,admin,Taoyuan,Taoyuan,Taiwan,1158127875.0,TW,TWN,24.9889,121.3111,500000.0
6600,Madrid,primary,Madrid,Madrid,Spain,1724616994.0,ES,ESP,40.4,-3.6834,5567000.0
8188,Virginia,,Petersburg,Petersburg,United States,1840003861.0,US,USA,37.2042,-77.3914,31882.0
7737,Emilia-Romagna,minor,Modena,Modena,Italy,1380306270.0,IT,ITA,44.65,10.92,175502.0
432,Luxembourg,primary,Luxembourg,Luxembourg,Luxembourg,1442262731.0,LU,LUX,49.6117,6.13,107260.0
4218,Burgenland,admin,Eisenstadt,Eisenstadt,Austria,1040751740.0,AT,AUT,47.8333,16.5333,13165.0
7810,Tōkyō,primary,Tokyo,Tokyo,Japan,1392685764.0,JP,JPN,35.685,139.7514,35676000.0
8525,Florida,,Saint Petersburg,Saint Petersburg,United States,1840015977.0,US,USA,27.7931,-82.6652,260999.0
6649,Pirkanmaa,admin,Tampere,Tampere,Finland,1246964318.0,FI,FIN,61.5,23.75,259279.0
6285,Bremen,admin,Bremen,Bremen,Germany,1276376509.0,DE,DEU,53.08,8.8,724909.0
6110,Zhejiang,admin,Hangzhou,Hangzhou,China,1156275243.0,CN,CHN,30.25,120.17,3007000.0
7229,Budapest,primary,Budapest,Budapest,Hungary,1348611435.0,HU,HUN,47.5,19.0833,1679000.0
326,Western,primary,Colombo,Colombo,Sri Lanka,1144251314.0,LK,LKA,6.932,79.8578,217000.0
5783,Heilongjiang,admin,Harbin,Harbin,China,1156241528.0,CN,CHN,45.75,126.65,3621000.0
2413,Tatarstan,admin,Kazan,Kazan,Russia,1643101260.0,RU,RUS,55.7499,49.1263,1115000.0
6649,Pirkanmaa,admin,Tampere,Tampere,Finland,1246964318.0,FI,FIN,61.5,23.75,259279.0
