,admin_name,capital,city,city_ascii,country,id,iso2,iso3,lat,lng,population
6304,Lower Saxony,minor,Emden,Emden,Germany,1276309938.0,DE,DEU,53.3667,7.2167,51526.0
3442,Taipei,primary,Taipei,Taipei,Taiwan,1158881289.0,TW,TWN,25.0358,121.5683,6900273.0
2665,Chelyabinskaya Oblast’,admin,Chelyabinsk,Chelyabinsk,Russia,1643224011.0,RU,RUS,55.155,61.4387,1091000.0
8206,Virginia,,Blacksburg,Blacksburg,United States,1840006446.0,US,USA,37.23,-80.4277,93560.0
8525,Florida,,Saint Petersburg,Saint Petersburg,United States,1840015977.0,US,USA,27.7931,-82.6652,260999.0
1861,Porto,admin,Porto,Porto,Portugal,1620356810.0,PT,PRT,41.15,-8.62,1337000.0
7058,Kindia,admin,Kindia,Kindia,Guinea,1324348910.0,GN,GIN,10.06,-12.87,117062.0
7810,Tōkyō,primary,Tokyo,Tokyo,Japan,1392685764.0,JP,JPN,35.685,139.7514,35676000.0
8525,Florida,,Saint Petersburg,Saint Petersburg,United States,1840015977.0,US,USA,27.7931,-82.6652,260999.0
2161,Sankt-Peterburg,admin,St. Petersburg,St. Petersburg,Russia,1643616350.0,RU,RUS,59.939,30.316,4553000.0
2665,Chelyabinskaya Oblast’,admin,Chelyabinsk,Chelyabinsk,Russia,1643224011.0,RU,RUS,55.155,61.4387,1091000.0
5940,Jilin,admin,Changchun,Changchun,China,1156078103.0,CN,CHN,43.865,125.34,3183000.0
2215,Moskva,primary,Moscow,Moscow,Russia,1643318494.0,RU,RUS,55.7522,37.6155,10452000.0
2665,Chelyabinskaya Oblast’,admin,Chelyabinsk,Chelyabinsk,Russia,1643224011.0,RU,RUS,55.155,61.4387,1091000.0
3442,Taipei,primary,Taipei,Taipei,Taiwan,1158881289.0,TW,TWN,25.0358,121.5683,6900273.0
2161,Sankt-Peterburg,admin,St. Petersburg,St. Petersburg,Russia,1643616350.0,RU,RUS,59.939,30.316,4553000.0
